Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,51.413462,[  9 134] ; [29 29],[ 27.03482587 115.96517413] ; [10.96517413 47.03482587],1
p7,1,0.0082,6.989232,[ 42 101] ; [28 29],[50.05 92.95] ; [19.95 37.05],0
s7,1,0.015799,5.825141,[ 21 117] ; [16 36],[ 26.87368421 111.12631579] ; [10.12631579 41.87368421],0
a2,1,0.034461,4.471708,[ 27 117] ; [ 4 54],[ 22.0990099 121.9009901] ; [ 8.9009901 49.0990099],0
s8,1,0.035215,4.434716,[ 14 130] ; [12 46],[ 18.53465347 125.46534653] ; [ 7.46534653 50.53465347],0
d5,1,0.048369,3.89711,[102  41] ; [33 25],[96.04477612 46.95522388] ; [38.95522388 19.04477612],0
p3,1,0.062829,3.461097,[ 30 114] ; [19 38],[ 35.10447761 108.89552239] ; [13.89552239 43.10447761],0
n2,1,0.092138,2.836626,[28 23] ; [16  5],[31.16666667 19.83333333] ; [12.83333333  8.16666667],0
n6,1,0.101884,2.675804,[98 44] ; [33 25],[93.01 48.99] ; [37.99 20.01],0
n1,1,0.144111,2.133509,[15 37] ; [ 9 10],[17.57746479 34.42253521] ; [ 6.42253521 12.57746479],0
p4,1,0.15046,2.067585,[ 36 108] ; [20 37],[ 40.11940299 103.88059701] ; [15.88059701 41.11940299],0
s1,1,0.169161,1.890361,[  4 139] ; [ 4 53],[  5.72 137.28] ; [ 2.28 54.72],0
b5,1,0.180004,1.797591,[82 62] ; [27 31],[77.7029703 66.2970297] ; [31.2970297 26.7029703],0
p10,1,0.199051,1.649325,[74 68] ; [36 22],[78.1 63.9] ; [31.9 26.1],0
s5,1,0.222388,1.488895,[ 13 128] ; [ 8 44],[ 15.34196891 125.65803109] ; [ 5.65803109 46.34196891],0
n3,1,0.236724,1.4,[30 20] ; [15  5],[32.14285714 17.85714286] ; [12.85714286  7.14285714],0
s4,1,0.239825,1.381622,[ 12 132] ; [ 8 50],[ 14.25742574 129.74257426] ; [ 5.74257426 52.25742574],0
