Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,2e-06,22.287568,[ 21 218] ; [15 28],[ 30.5106383 208.4893617] ; [ 5.4893617 37.5106383],1
p8,1,3e-06,21.843288,[125 113] ; [39  4],[138.90391459  99.09608541] ; [25.09608541 17.90391459],1
p1,1,1.2e-05,19.1945,[ 18 221] ; [13 30],[ 26.27304965 212.72695035] ; [ 4.72695035 38.27304965],1
p4,1,1.4e-05,18.876587,[155  85] ; [42  1],[167.06713781  72.93286219] ; [29.93286219 13.06713781],1
p3,1,0.000446,12.329656,[133 108] ; [36  7],[143.41197183  97.58802817] ; [25.58802817 17.41197183],1
p6,1,0.000623,11.706504,[108 131] ; [31 11],[118.22419929 120.77580071] ; [20.77580071 21.22419929],1
s5,1,0.000842,11.146438,[110 119] ; [30  9],[119.62686567 109.37313433] ; [20.37313433 18.62686567],1
v1,1,0.001697,9.85177,[141  92] ; [36  6],[149.96727273  83.03272727] ; [27.03272727 14.96727273],0
a1,1,0.002011,9.539887,[ 10 231] ; [ 7 36],[ 14.42605634 226.57394366] ; [ 2.57394366 40.42605634],0
n4,1,0.002676,9.016283,[187  52] ; [42  1],[194.08156028  44.91843972] ; [34.91843972  8.08156028],0
b5,1,0.003188,8.696673,[158  83] ; [18 25],[149.35211268  91.64788732] ; [26.64788732 16.35211268],0
s1,1,0.009276,6.768817,[  7 232] ; [ 5 38],[ 10.17021277 228.82978723] ; [ 1.82978723 41.17021277],0
s7,1,0.011592,6.372204,[187  40] ; [41  1],[192.40148699  34.59851301] ; [35.59851301  6.40148699],0
p7,1,0.016146,5.786863,[156  76] ; [36  6],[162.56934307  69.43065693] ; [29.43065693 12.56934307],0
v3,1,0.019975,5.414045,[103 127] ; [27 15],[109.92647059 120.07352941] ; [20.07352941 21.92647059],0
u4,1,0.027627,4.851183,[  9 232] ; [ 5 38],[ 11.88028169 229.11971831] ; [ 2.11971831 40.88028169],0
n1,1,0.029361,4.746299,[24 28] ; [7 1],[26.86666667 25.13333333] ; [4.13333333 3.86666667],0
a2,1,0.106747,2.601733,[ 74 167] ; [ 8 35],[ 69.58450704 171.41549296] ; [12.41549296 30.58450704],0
n3,1,0.134184,2.243416,[40 13] ; [4 4],[38.2295082 14.7704918] ; [5.7704918 2.2295082],0
a3,1,0.144713,2.127117,[189  51] ; [38  5],[192.50883392  47.49116608] ; [34.49116608  8.50883392],0
r1,1,0.159268,1.981162,[196  43] ; [39  4],[199.16666667  39.83333333] ; [35.83333333  7.16666667],0
u1,1,0.166871,1.910833,[ 63 178] ; [ 7 36],[ 59.40140845 181.59859155] ; [10.59859155 32.40140845],0
d3,1,0.177423,1.819078,[166  75] ; [34  9],[169.71830986  71.28169014] ; [30.28169014 12.71830986],0
