Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.002413,9.205633,[15 15] ; [62 16],[21.38888889  8.61111111] ; [55.61111111 22.38888889],0
a6,1,0.005254,7.78981,[12 18] ; [54 24],[18.33333333 11.66666667] ; [47.66666667 30.33333333],0
v4,1,0.006517,7.401399,[24  6] ; [75  3],[27.5  2.5] ; [71.5  6.5],0
p2,1,0.006534,7.396745,[18 12] ; [65 12],[23.27102804  6.72897196] ; [59.72897196 17.27102804],0
r1,1,0.026934,4.89501,[16 14] ; [58 19],[20.74766355  9.25233645] ; [53.25233645 23.74766355],0
a2,1,0.028109,4.821361,[ 1 29] ; [16 62],[ 4.72222222 25.27777778] ; [12.27777778 65.72222222],0
n6,1,0.040527,4.195683,[15 15] ; [54 22],[19.52830189 10.47169811] ; [49.47169811 26.52830189],0
v2,1,0.045973,3.982595,[11 19] ; [42 30],[15.58823529 14.41176471] ; [37.41176471 34.58823529],0
r4,1,0.058101,3.590793,[20 10] ; [65 13],[23.61111111  6.38888889] ; [61.38888889 16.61111111],0
b1,1,0.098583,2.728322,[16 14] ; [28 50],[12.22222222 17.77777778] ; [31.77777778 46.22222222],0
s1,1,0.099514,2.713308,[ 3 27] ; [ 2 76],[ 1.38888889 28.61111111] ; [ 3.61111111 74.38888889],0
r3,1,0.099551,2.712716,[25  5] ; [73  5],[27.22222222  2.77777778] ; [70.77777778  7.22222222],0
n2,1,0.110058,2.553393,[10  1] ; [17  9],[8.02702703 2.97297297] ; [18.97297297  7.02702703],0
p10,1,0.116498,2.463786,[18 12] ; [58 19],[21.30841121  8.69158879] ; [54.69158879 22.30841121],0
p9,1,0.12304,2.37819,[19 11] ; [60 17],[22.14953271  7.85046729] ; [56.85046729 20.14953271],0
d1,1,0.13861,2.193322,[11 19] ; [41 37],[14.44444444 15.55555556] ; [37.55555556 40.44444444],0
n1,1,0.164765,1.929938,[5 5] ; [ 7 20],[3.24324324 6.75675676] ; [ 8.75675676 18.24324324],0
r2,1,0.176939,1.823147,[24  6] ; [70  8],[26.11111111  3.88888889] ; [67.88888889 10.11111111],0
p5,1,0.182303,1.778749,[ 1 29] ; [ 9 68],[ 2.80373832 27.19626168] ; [ 7.19626168 69.80373832],0
v3,1,0.211945,1.55809,[ 5 23] ; [22 51],[ 7.48514851 20.51485149] ; [19.51485149 53.48514851],0
p11,1,0.217832,1.518597,[17 13] ; [54 24],[19.72222222 10.27777778] ; [51.27777778 26.72222222],0
p1,1,0.261087,1.262985,[ 4 26] ; [ 5 71],[ 2.54716981 27.45283019] ; [ 6.45283019 69.54716981],0
b4,1,0.275973,1.186813,[15 15] ; [48 30],[17.5 12.5] ; [45.5 32.5],0
d4,1,0.295098,1.096215,[21  9] ; [62 16],[23.05555556  6.94444444] ; [59.94444444 18.05555556],0
u2,1,0.299625,1.075862,[8 2] ; [18 11],[6.66666667 3.33333333] ; [19.33333333  9.66666667],0
a1,1,0.31193,1.022485,[ 2 28] ; [ 2 76],[ 1.11111111 28.88888889] ; [ 2.88888889 75.11111111],0
p3,1,0.399465,0.709935,[15 15] ; [46 32],[16.94444444 13.05555556] ; [44.05555556 33.94444444],0
s6,1,0.43561,0.607818,[18 12] ; [53 25],[19.72222222 10.27777778] ; [51.27777778 26.72222222],0
b5,1,0.436982,0.604196,[16 14] ; [48 30],[17.77777778 12.22222222] ; [46.22222222 31.77777778],0
s4,1,0.45675,0.553846,[ 9 21] ; [18 60],[ 7.5 22.5] ; [19.5 58.5],0
n5,1,0.507987,0.438212,[10 20] ; [31 46],[11.4953271 18.5046729] ; [29.5046729 47.4953271],0
a3,1,0.621086,0.244344,[20 10] ; [48 30],[18.88888889 11.11111111] ; [49.11111111 28.88888889],0
b3,1,0.629773,0.232369,[ 5 14] ; [13 27],[ 5.79661017 13.20338983] ; [12.20338983 27.79661017],0
b2,1,0.629773,0.232369,[ 5 14] ; [13 27],[ 5.79661017 13.20338983] ; [12.20338983 27.79661017],0
d5,1,0.647084,0.209596,[21  9] ; [58 20],[21.94444444  8.05555556] ; [57.05555556 20.94444444],0
v1,1,0.668318,0.183576,[12 18] ; [33 41],[12.98076923 17.01923077] ; [32.01923077 41.98076923],0
s3,1,0.672073,0.179187,[15 15] ; [42 35],[15.98130841 14.01869159] ; [41.01869159 35.98130841],0
d2,1,0.692511,0.15638,[12 18] ; [28 50],[11.11111111 18.88888889] ; [28.88888889 49.11111111],0
a5,1,0.740256,0.109902,[21  9] ; [52 26],[20.27777778  9.72222222] ; [52.72222222 25.27777778],0
