Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5.1e-05,16.399244,[14 37] ; [35 17],[24.26213592 26.73786408] ; [24.73786408 27.26213592],1
v3,1,0.001025,10.781589,[ 9 42] ; [25 27],[16.83495146 34.16504854] ; [17.16504854 34.83495146],0
d4,1,0.001317,10.318244,[36 17] ; [50  4],[42.59813084 10.40186916] ; [43.40186916 10.59813084],0
p3,1,0.009067,6.809558,[20 33] ; [34 20],[26.74766355 26.25233645] ; [27.25233645 26.74766355],0
s4,1,0.014227,6.009747,[20 33] ; [ 9 45],[14.36448598 38.63551402] ; [14.63551402 39.36448598],0
d1,1,0.024741,5.041942,[18 35] ; [30 24],[23.77570093 29.22429907] ; [24.22429907 29.77570093],0
d5,1,0.047724,3.919689,[33 20] ; [43 11],[37.64485981 15.35514019] ; [38.35514019 15.64485981],0
a8,1,0.097147,2.751772,[ 5 46] ; [ 1 49],[ 3.02970297 47.97029703] ; [ 2.97029703 47.02970297],0
n4,1,0.135401,2.229459,[31 22] ; [39 15],[34.6728972 18.3271028] ; [35.3271028 18.6728972],0
n5,1,0.16689,1.910657,[32 20] ; [40 14],[35.32075472 16.67924528] ; [36.67924528 17.32075472],0
a1,1,0.173952,1.848548,[ 7 46] ; [ 3 51],[ 4.95327103 48.04672897] ; [ 5.04672897 48.95327103],0
p9,1,0.174725,1.841928,[40 12] ; [47  7],[42.67924528  9.32075472] ; [44.32075472  9.67924528],0
p5,1,0.175963,1.831394,[ 5 48] ; [10 44],[ 7.42990654 45.57009346] ; [ 7.57009346 46.42990654],0
a7,1,0.205651,1.601783,[29 24] ; [36 18],[32.19626168 20.80373832] ; [32.80373832 21.19626168],0
a3,1,0.207791,1.586752,[28 25] ; [35 19],[31.20560748 21.79439252] ; [31.79439252 22.20560748],0
p2,1,0.219702,1.506314,[39 14] ; [45  9],[41.60747664 11.39252336] ; [42.39252336 11.60747664],0
n3,1,0.221272,1.496104,[14  6] ; [8 8],[12.22222222  7.77777778] ; [9.77777778 6.22222222],0
p4,1,0.288426,1.126953,[28 25] ; [34 20],[30.71028037 22.28971963] ; [31.28971963 22.71028037],0
s1,1,0.299117,1.078127,[ 3 50] ; [ 1 53],[ 1.98130841 51.01869159] ; [ 2.01869159 51.98130841],0
u2,1,0.336171,0.924978,[13 12] ; [12  6],[14.53488372 10.46511628] ; [10.46511628  7.53488372],0
v4,1,0.339341,0.912919,[46  7] ; [49  4],[47.5  5.5] ; [47.5  5.5],0
s8,1,0.369798,0.804345,[20 33] ; [25 29],[22.28971963 30.71028037] ; [22.71028037 31.28971963],0
r4,1,0.374924,0.78728,[33 20] ; [38 16],[35.1682243 17.8317757] ; [35.8317757 18.1682243],0
b4,1,0.382125,0.763855,[31 22] ; [36 18],[33.18691589 19.81308411] ; [33.81308411 20.18691589],0
n6,1,0.436553,0.605325,[41 12] ; [45  9],[42.59813084 10.40186916] ; [43.40186916 10.59813084],0
r2,1,0.463677,0.537005,[40 12] ; [43  9],[41.5 10.5] ; [41.5 10.5],0
a6,1,0.485688,0.486064,[32 21] ; [29 25],[30.21495327 22.78504673] ; [30.78504673 23.21495327],0
d3,1,0.499143,0.456757,[32 21] ; [36 18],[33.68224299 19.31775701] ; [34.31775701 19.68224299],0
b5,1,0.501089,0.45263,[31 22] ; [35 19],[32.69158879 20.30841121] ; [33.30841121 20.69158879],0
s2,1,0.502337,0.449996,[30 23] ; [34 20],[31.70093458 21.29906542] ; [32.29906542 21.70093458],0
u1,1,0.569204,0.324016,[ 1 52] ; [ 2 52],[ 1.48598131 51.51401869] ; [ 1.51401869 52.48598131],0
p11,1,0.597766,0.278379,[41 12] ; [44 10],[42.10280374 10.89719626] ; [42.89719626 11.10280374],0
p10,1,0.604489,0.268278,[39 13] ; [42 11],[40.11428571 11.88571429] ; [40.88571429 12.11428571],0
b1,1,0.608422,0.262479,[20 33] ; [23 31],[21.29906542 31.70093458] ; [21.70093458 32.29906542],0
p8,1,0.623454,0.241043,[24 28] ; [27 26],[25.25714286 26.74285714] ; [25.74285714 27.25714286],0
s3,1,0.635677,0.22444,[30 23] ; [33 21],[31.20560748 21.79439252] ; [31.79439252 22.20560748],0
u3,1,0.657848,0.196149,[11 13] ; [10  9],[11.72093023 12.27906977] ; [9.27906977 9.72093023],0
p1,1,0.676997,0.173527,[ 4 49] ; [ 3 51],[ 3.46728972 49.53271028] ; [ 3.53271028 50.46728972],0
n2,1,0.719918,0.128571,[16  4] ; [12  4],[15.55555556  4.44444444] ; [12.44444444  3.55555556],0
a2,1,0.725546,0.123241,[ 6 47] ; [ 5 49],[ 5.44859813 47.55140187] ; [ 5.55140187 48.44859813],0
p12,1,0.749711,0.101774,[ 4 49] ; [ 5 49],[ 4.45794393 48.54205607] ; [ 4.54205607 49.45794393],0
d2,1,0.750292,0.101286,[20 33] ; [22 32],[20.80373832 32.19626168] ; [21.19626168 32.80373832],0
r3,1,0.77518,0.08157,[48  5] ; [48  6],[47.55140187  5.44859813] ; [48.44859813  5.55140187],0
p6,1,0.781778,0.07673,[19 34] ; [20 32],[19.68571429 33.31428571] ; [19.31428571 32.68571429],0
n1,1,0.820596,0.051429,[ 8 12] ; [7 9],[ 8.33333333 11.66666667] ; [6.66666667 9.33333333],0
s5,1,0.838549,0.041514,[20 31] ; [19 32],[19.5 31.5] ; [19.5 31.5],0
s7,1,0.842903,0.039276,[24 27] ; [25 26],[24.5 26.5] ; [24.5 26.5],0
b2,1,0.85597,0.032945,[ 8 23] ; [10 26],[ 8.32835821 22.67164179] ; [ 9.67164179 26.32835821],0
b3,1,0.85597,0.032945,[ 8 23] ; [10 26],[ 8.32835821 22.67164179] ; [ 9.67164179 26.32835821],0
a4,1,0.884891,0.020959,[16 37] ; [17 37],[16.34579439 36.65420561] ; [16.65420561 37.34579439],0
a5,1,0.906111,0.013911,[32 21] ; [32 22],[31.70093458 21.29906542] ; [32.29906542 21.70093458],0
p7,1,0.966136,0.001802,[31 20] ; [32 21],[30.89423077 20.10576923] ; [32.10576923 20.89423077],0
u4,1,0.989354,0.000178,[ 1 52] ; [ 1 53],[ 0.99065421 52.00934579] ; [ 1.00934579 52.99065421],0
