Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,61.650111,[101  23] ; [ 91 148],[65.58677686 58.41322314] ; [126.41322314 112.58677686],1
v1,1,5.3e-05,16.350989,[83 41] ; [108 134],[64.71038251 59.28961749] ; [126.28961749 115.71038251],1
p3,1,0.000489,12.158255,[75 50] ; [101 146],[59.13978495 65.86021505] ; [116.86021505 130.13978495],1
d1,1,0.001446,10.146772,[76 49] ; [107 140],[61.49193548 63.50806452] ; [121.50806452 125.49193548],0
r4,1,0.002126,9.437771,[118   7] ; [205  42],[108.53494624  16.46505376] ; [214.46505376  32.53494624],0
s8,1,0.004433,8.097164,[42 82] ; [ 50 196],[30.83243243 93.16756757] ; [ 61.16756757 184.83243243],0
p7,1,0.008558,6.912892,[93 30] ; [151  93],[81.77656676 41.22343324] ; [162.22343324  81.77656676],0
s7,1,0.008917,6.839452,[42 74] ; [ 54 181],[31.72649573 84.27350427] ; [ 64.27350427 170.72649573],0
n4,1,0.009056,6.811718,[102  22] ; [172  75],[91.57951482 32.42048518] ; [182.42048518  64.57951482],0
p6,1,0.010102,6.616887,[51 71] ; [ 69 174],[40.10958904 81.89041096] ; [ 79.89041096 163.10958904],0
v4,1,0.020354,5.381247,[123   2] ; [226  18],[118.22493225   6.77506775] ; [230.77506775  13.22493225],0
d3,1,0.022783,5.184952,[93 32] ; [154  92],[83.22102426 41.77897574] ; [163.77897574  82.22102426],0
p5,1,0.028402,4.803512,[ 18 107] ; [ 18 229],[ 12.09677419 112.90322581] ; [ 23.90322581 223.09677419],0
p10,1,0.03641,4.377787,[104  19] ; [183  61],[96.1880109 26.8119891] ; [190.8119891  53.1880109],0
n5,1,0.038428,4.285994,[95 29] ; [162  83],[86.36314363 37.63685637] ; [170.63685637  74.36314363],0
r2,1,0.039616,4.234268,[117   6] ; [216  28],[111.60490463  11.39509537] ; [221.39509537  22.60490463],0
p4,1,0.040662,4.19004,[79 44] ; [131 116],[69.81081081 53.18918919] ; [140.18918919 106.81081081],0
n6,1,0.04244,4.117581,[109  16] ; [194  53],[101.81451613  23.18548387] ; [201.18548387  45.81451613],0
p8,1,0.051425,3.794382,[76 45] ; [127 117],[67.29589041 53.70410959] ; [135.70410959 108.29589041],0
r3,1,0.054607,3.694038,[121   3] ; [228  18],[116.96216216   7.03783784] ; [232.03783784  13.96216216],0
a2,1,0.063905,3.433017,[29 96] ; [ 38 209],[ 22.51344086 102.48655914] ; [ 44.48655914 202.51344086],0
p9,1,0.070119,3.280236,[109  14] ; [199  46],[102.94565217  20.05434783] ; [205.05434783  39.94565217],0
d4,1,0.078549,3.094677,[101  23] ; [180  66],[94.17297297 29.82702703] ; [186.82702703  59.17297297],0
p12,1,0.096849,2.756682,[  8 115] ; [  7 237],[  5.02724796 117.97275204] ; [  9.97275204 234.02724796],0
b4,1,0.114137,2.495982,[81 44] ; [139 108],[73.92473118 51.07526882] ; [146.07526882 100.92473118],0
r1,1,0.115154,2.482018,[102  23] ; [182  63],[95.94594595 29.05405405] ; [188.05405405  56.94594595],0
d5,1,0.136645,2.215337,[104  21] ; [189  58],[98.45430108 26.54569892] ; [194.54569892  52.45430108],0
p11,1,0.136852,2.213009,[108  17] ; [198  49],[102.82258065  22.17741935] ; [203.17741935  43.82258065],0
s4,1,0.139565,2.182744,[  8 115] ; [ 28 219],[ 11.96756757 111.03243243] ; [ 24.03243243 222.96756757],0
a1,1,0.158097,1.992331,[  5 120] ; [  4 243],[  3.02419355 121.97580645] ; [  5.97580645 241.02419355],0
a7,1,0.1615,1.960121,[94 30] ; [170  77],[88.23719677 35.76280323] ; [175.76280323  71.23719677],0
d2,1,0.165494,1.923293,[57 67] ; [ 95 152],[50.8032345 73.1967655] ; [101.1967655 145.8032345],0
n3,1,0.174758,1.841649,[19  3] ; [49 19],[16.62222222  5.37777778] ; [51.37777778 16.62222222],0
a8,1,0.175956,1.83145,[16 92] ; [ 22 203],[12.32432432 95.67567568] ; [ 25.67567568 199.32432432],0
p1,1,0.186394,1.745896,[ 13 112] ; [ 16 230],[  9.77088949 115.22911051] ; [ 19.22911051 226.77088949],0
a6,1,0.208988,1.578423,[91 34] ; [164  83],[85.68548387 39.31451613] ; [169.31451613  77.68548387],0
a3,1,0.256844,1.285689,[86 38] ; [156  90],[81.1027027 42.8972973] ; [160.8972973  85.1027027],0
a4,1,0.286548,1.135771,[54 70] ; [ 93 153],[49.26486486 74.73513514] ; [ 97.73513514 148.26486486],0
b5,1,0.361526,0.832585,[80 45] ; [146 101],[75.94086022 49.05913978] ; [150.05913978  96.94086022],0
a5,1,0.389231,0.741344,[89 36] ; [165  82],[85.34946237 39.65053763] ; [168.65053763  78.34946237],0
u1,1,0.396465,0.719023,[ 18 107] ; [ 28 219],[ 15.45698925 109.54301075] ; [ 30.54301075 216.45698925],0
n1,1,0.479779,0.499366,[ 5 15] ; [23 46],[ 6.29213483 13.70786517] ; [21.70786517 47.29213483],0
u3,1,0.503334,0.4479,[17 22] ; [45 45],[18.74418605 20.25581395] ; [43.25581395 46.74418605],0
