Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,91.341355,[126 177] ; [202  45],[180.69818182 122.30181818] ; [147.30181818  99.69818182],1
v1,1,1e-06,25.254721,[157 148] ; [179  68],[185.65217391 119.34782609] ; [150.34782609  96.65217391],1
s7,1,3.2e-05,17.325052,[142 158] ; [153  81],[165.73033708 134.26966292] ; [129.26966292 104.73033708],1
p3,1,3.4e-05,17.161844,[151 162] ; [163  85],[175.19073084 137.80926916] ; [138.80926916 109.19073084],1
p12,1,0.000397,12.547296,[ 19 292] ; [ 38 212],[ 31.59893048 279.40106952] ; [ 25.40106952 224.59893048],1
s8,1,0.001077,10.689629,[135 179] ; [140 106],[154.19642857 159.80357143] ; [120.80357143 125.19642857],0
a1,1,0.001428,10.168755,[  7 307] ; [ 20 230],[ 15.03191489 298.96808511] ; [ 11.96808511 238.03191489],0
s4,1,0.002463,9.167854,[ 63 246] ; [ 27 221],[ 49.92818671 259.07181329] ; [ 40.07181329 207.92818671],0
d1,1,0.002967,8.827802,[171 143] ; [167  83],[188.17730496 125.82269504] ; [149.82269504 100.17730496],0
r4,1,0.004522,8.061204,[276  38] ; [237  13],[285.60638298  28.39361702] ; [227.39361702  22.60638298],0
p7,1,0.005409,7.737455,[196 109] ; [183  60],[210.93978102  94.06021898] ; [168.06021898  74.93978102],0
p1,1,0.005971,7.559089,[ 20 293] ; [ 33 217],[ 29.46536412 283.53463588] ; [ 23.53463588 226.46536412],0
n4,1,0.006147,7.50674,[270  44] ; [233  17],[280.03900709  33.96099291] ; [222.96099291  27.03900709],0
u4,1,0.00667,7.359684,[  1 313] ; [  8 242],[  5.0106383 308.9893617] ; [  3.9893617 246.0106383],0
r1,1,0.006824,7.318759,[241  72] ; [215  35],[253.51332149  59.48667851] ; [202.48667851  47.51332149],0
p5,1,0.00756,7.13494,[ 35 277] ; [ 48 201],[ 46.16042781 265.83957219] ; [ 36.83957219 212.16042781],0
s2,1,0.024595,5.052203,[157 156] ; [148 100],[170.16934046 142.83065954] ; [134.83065954 113.16934046],0
d2,1,0.027189,4.878771,[141 172] ; [135 113],[153.98930481 159.01069519] ; [122.01069519 125.98930481],0
p4,1,0.031217,4.640997,[195 118] ; [176  72],[206.99286988 106.00713012] ; [164.00713012  83.99286988],0
n6,1,0.032836,4.554323,[283  30] ; [237  12],[289.60854093  23.39145907] ; [230.39145907  18.60854093],0
v4,1,0.036534,4.372017,[294  19] ; [243   6],[299.07651246  13.92348754] ; [237.92348754  11.07651246],0
a3,1,0.037124,4.344712,[224  90] ; [196  52],[234.66192171  79.33807829] ; [185.33807829  62.66192171],0
b2,1,0.039455,4.241154,[ 65 119] ; [74 86],[ 74.34883721 109.65116279] ; [64.65116279 95.34883721],0
b3,1,0.039455,4.241154,[ 65 119] ; [74 86],[ 74.34883721 109.65116279] ; [64.65116279 95.34883721],0
u1,1,0.049264,3.866321,[ 51 263] ; [ 57 193],[ 60.12765957 253.87234043] ; [ 47.87234043 202.12765957],0
d4,1,0.057952,3.595056,[249  65] ; [212  36],[257.56939502  56.43060498] ; [203.43060498  44.56939502],0
r3,1,0.091613,2.845799,[294  18] ; [242   7],[298.09625668  13.90374332] ; [237.90374332  11.09625668],0
d5,1,0.10178,2.677432,[249  65] ; [210  38],[256.4519573  57.5480427] ; [202.5480427  45.4519573],0
p8,1,0.109312,2.564136,[175 135] ; [156  91],[184.21903052 125.78096948] ; [146.78096948 100.21903052],0
a4,1,0.111735,2.529505,[134 180] ; [123 126],[143.3357016 170.6642984] ; [113.6642984 135.3357016],0
a2,1,0.122638,2.383301,[ 69 245] ; [ 69 181],[ 76.82978723 237.17021277] ; [ 61.17021277 188.82978723],0
p6,1,0.122897,2.380005,[118 192] ; [110 137],[126.8940754 183.1059246] ; [101.1059246 145.8940754],0
s3,1,0.139203,2.18675,[174 140] ; [151  94],[182.55813953 131.44186047] ; [142.44186047 102.55813953],0
s5,1,0.139668,2.181613,[106 199] ; [ 99 143],[114.30530165 190.69469835] ; [ 90.69469835 151.30530165],0
d3,1,0.143137,2.143904,[203 110] ; [176  73],[211.08007117 101.91992883] ; [167.91992883  81.08007117],0
a5,1,0.192437,1.698858,[234  80] ; [198  52],[240.5106383  73.4893617] ; [191.4893617  58.5106383],0
r2,1,0.21525,1.535762,[291  20] ; [237  10],[294.27956989  16.72043011] ; [233.72043011  13.27956989],0
b5,1,0.298559,1.080618,[187 127] ; [138 112],[180.93971631 133.06028369] ; [144.06028369 105.93971631],0
p11,1,0.46111,0.5432,[267  47] ; [218  32],[270.0177305  43.9822695] ; [214.9822695  35.0177305],0
n2,1,0.477646,0.504234,[57  9] ; [30  7],[55.74757282 10.25242718] ; [31.25242718  5.74757282],0
a6,1,0.488495,0.47984,[220  94] ; [167  81],[216.22419929  97.77580071] ; [170.77580071  77.22419929],0
n3,1,0.50812,0.437938,[50 15] ; [27 11],[48.59223301 16.40776699] ; [28.40776699  9.59223301],0
p2,1,0.520622,0.41266,[270  42] ; [220  29],[272.51336898  39.48663102] ; [217.48663102  31.51336898],0
s6,1,0.532473,0.38967,[215  94] ; [175  68],[218.31521739  90.68478261] ; [171.68478261  71.31521739],0
b4,1,0.614083,0.254271,[178 136] ; [147 103],[180.93971631 133.06028369] ; [144.06028369 105.93971631],0
p9,1,0.625552,0.23814,[295  18] ; [237  12],[296.29181495  16.70818505] ; [235.70818505  13.29181495],0
b1,1,0.718254,0.130172,[124 190] ; [ 95 155],[121.92553191 192.07446809] ; [ 97.07446809 152.92553191],0
u3,1,0.729034,0.12,[49 41] ; [31 23],[50. 40.] ; [30. 24.],0
a8,1,0.772658,0.083463,[ 47 248] ; [ 33 187],[ 45.82524272 249.17475728] ; [ 34.17475728 185.82524272],0
u2,1,0.795558,0.067133,[48 42] ; [30 24],[48.75 41.25] ; [29.25 24.75],0
n1,1,0.803044,0.062205,[28 37] ; [15 22],[27.40196078 37.59803922] ; [15.59803922 21.40196078],0
s1,1,0.925272,0.008798,[  8 304] ; [  6 240],[  7.82795699 304.17204301] ; [  6.17204301 239.82795699],0
a7,1,0.996301,2.1e-05,[222  92] ; [176  73],[221.97513321  92.02486679] ; [176.02486679  72.97513321],0
