Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1.9e-05,18.238435,[3 6] ; [45  4],[7.44827586 1.55172414] ; [40.55172414  8.44827586],1
p10,1,0.000757,11.342866,[6 3] ; [47  1],[8.36842105 0.63157895] ; [44.63157895  3.36842105],1
d3,1,0.002949,8.838787,[2 7] ; [36 13],[5.89655172 3.10344828] ; [32.10344828 16.89655172],0
p9,1,0.004055,8.258914,[6 3] ; [47  2],[8.22413793 0.77586207] ; [44.77586207  4.22413793],0
p2,1,0.009116,6.799934,[5 4] ; [44  5],[7.60344828 1.39655172] ; [41.39655172  7.60344828],0
d2,1,0.01113,6.444444,[1 8] ; [28 21],[4.5 4.5] ; [24.5 24.5],0
a3,1,0.033897,4.499893,[5 4] ; [42  7],[7.29310345 1.70689655] ; [39.70689655  9.29310345],0
s1,1,0.048376,3.896867,[2 7] ; [ 2 47],[0.62068966 8.37931034] ; [ 3.37931034 45.62068966],0
p8,1,0.064379,3.420816,[6 3] ; [44  5],[7.75862069 1.24137931] ; [42.24137931  6.75862069],0
a4,1,0.069789,3.287982,[2 7] ; [27 22],[4.5 4.5] ; [24.5 24.5],0
p4,1,0.120093,2.416106,[7 2] ; [45  3],[8.21052632 0.78947368] ; [43.78947368  4.21052632],0
s8,1,0.160895,1.965794,[4 5] ; [33 15],[5.84210526 3.15789474] ; [31.15789474 16.84210526],0
b4,1,0.168747,1.894037,[7 2] ; [26 23],[5.12068966 3.87931034] ; [27.87931034 21.12068966],0
a6,1,0.204245,1.611756,[7 2] ; [27 22],[5.27586207 3.72413793] ; [28.72413793 20.27586207],0
a8,1,0.257281,1.28333,[2 7] ; [ 4 40],[1.01886792 7.98113208] ; [ 4.98113208 39.01886792],0
b2,1,0.268506,1.224362,[2 5] ; [19 18],[3.34090909 3.65909091] ; [17.65909091 19.34090909],0
b3,1,0.268506,1.224362,[2 5] ; [19 18],[3.34090909 3.65909091] ; [17.65909091 19.34090909],0
v1,1,0.30832,1.037859,[6 3] ; [40  9],[7.13793103 1.86206897] ; [38.86206897 10.13793103],0
a5,1,0.30832,1.037859,[6 3] ; [40  9],[7.13793103 1.86206897] ; [38.86206897 10.13793103],0
p11,1,0.309025,1.034839,[7 2] ; [44  5],[7.9137931 1.0862069] ; [43.0862069  5.9137931],0
s2,1,0.310974,1.026535,[4 5] ; [30 18],[5.36842105 3.63157895] ; [28.63157895 19.36842105],0
p1,1,0.344109,0.895062,[4 5] ; [14 35],[2.79310345 6.20689655] ; [15.20689655 33.79310345],0
p6,1,0.378156,0.776689,[7 2] ; [30 18],[5.84210526 3.15789474] ; [31.15789474 16.84210526],0
r3,1,0.391905,0.733025,[8 1] ; [46  2],[8.52631579 0.47368421] ; [45.47368421  2.52631579],0
b5,1,0.411821,0.673538,[5 4] ; [20 29],[3.87931034 5.12068966] ; [21.12068966 27.87931034],0
s3,1,0.502716,0.449198,[4 4] ; [30 18],[4.85714286 3.14285714] ; [29.14285714 18.85714286],0
s7,1,0.50593,0.442475,[5 3] ; [34 12],[5.77777778 2.22222222] ; [33.22222222 12.77777778],0
u3,1,0.55368,0.350765,[3 1] ; [4 3],[2.54545455 1.45454545] ; [4.45454545 2.54545455],0
v2,1,0.67471,0.176142,[6 3] ; [36 13],[6.51724138 2.48275862] ; [35.48275862 13.51724138],0
p7,1,0.687594,0.161702,[7 2] ; [40  8],[7.42105263 1.57894737] ; [39.57894737  8.42105263],0
a2,1,0.691224,0.157763,[1 8] ; [ 8 41],[1.39655172 7.60344828] ; [ 7.60344828 41.39655172],0
s6,1,0.708983,0.139295,[7 2] ; [39  8],[7.39285714 1.60714286] ; [38.60714286  8.39285714],0
r2,1,0.772114,0.083875,[8 1] ; [45  4],[8.22413793 0.77586207] ; [44.77586207  4.22413793],0
n4,1,0.772114,0.083875,[8 1] ; [45  4],[8.22413793 0.77586207] ; [44.77586207  4.22413793],0
s5,1,0.807685,0.05925,[7 2] ; [34 12],[6.70909091 2.29090909] ; [34.29090909 11.70909091],0
p12,1,0.87116,0.026304,[3 6] ; [15 34],[2.79310345 6.20689655] ; [15.20689655 33.79310345],0
a7,1,0.87116,0.026304,[6 3] ; [34 15],[6.20689655 2.79310345] ; [33.79310345 15.20689655],0
b1,1,0.890329,0.019013,[4 5] ; [23 26],[4.18965517 4.81034483] ; [22.81034483 26.18965517],0
u2,1,0.898195,0.016369,[3 1] ; [5 2],[2.90909091 1.09090909] ; [5.09090909 1.90909091],0
p3,1,0.901723,0.015249,[7 2] ; [39 10],[7.13793103 1.86206897] ; [38.86206897 10.13793103],0
n5,1,0.934547,0.006745,[8 1] ; [44  5],[8.06896552 0.93103448] ; [43.93103448  5.06896552],0
s4,1,0.966488,0.001765,[1 8] ; [ 5 42],[0.96428571 8.03571429] ; [ 5.03571429 41.96428571],0
