Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.001438,10.15639,[23 93] ; [9 7],[28.12121212 87.87878788] ; [ 3.87878788 12.12121212],0
s6,1,0.010084,6.619969,[42 77] ; [11  5],[46.71851852 72.28148148] ; [6.28148148 9.71851852],0
p3,1,0.02025,5.390203,[39 80] ; [10  6],[43.19259259 75.80740741] ; [ 5.80740741 10.19259259],0
d3,1,0.037421,4.331128,[43 78] ; [10  6],[46.81021898 74.18978102] ; [6.18978102 9.81021898],0
s7,1,0.041738,4.145787,[26 90] ; [7 8],[29.22137405 86.77862595] ; [ 3.77862595 11.22137405],0
p7,1,0.090502,2.865421,[55 64] ; [11  5],[58.17777778 60.82222222] ; [7.82222222 8.17777778],0
v4,1,0.099592,2.712071,[103  18] ; [11  5],[100.68613139  20.31386861] ; [13.31386861  2.68613139],0
b2,1,0.102919,2.659724,[32 44] ; [1 7],[29.85714286 46.14285714] ; [3.14285714 4.85714286],0
b3,1,0.102919,2.659724,[32 44] ; [1 7],[29.85714286 46.14285714] ; [3.14285714 4.85714286],0
r1,1,0.142589,2.14979,[76 45] ; [7 9],[73.30656934 47.69343066] ; [9.69343066 6.30656934],0
v1,1,0.154099,2.031195,[52 67] ; [ 4 12],[49.36296296 69.63703704] ; [6.63703704 9.36296296],0
a6,1,0.169281,1.889299,[52 69] ; [ 4 12],[49.45985401 71.54014599] ; [6.54014599 9.45985401],0
b4,1,0.199418,1.646635,[66 55] ; [ 6 10],[63.59124088 57.40875912] ; [8.40875912 7.59124088],0
v2,1,0.210992,1.564603,[56 61] ; [ 5 11],[53.66165414 63.33834586] ; [7.33834586 8.66165414],0
s1,1,0.226669,1.461643,[  6 115] ; [ 2 14],[  7.06569343 113.93430657] ; [ 0.93430657 15.06569343],0
n4,1,0.256832,1.285753,[85 36] ; [9 7],[83.02189781 37.97810219] ; [10.97810219  5.02189781],0
p6,1,0.278726,1.173291,[29 88] ; [ 6 10],[30.78947368 86.21052632] ; [ 4.21052632 11.78947368],0
v3,1,0.283422,1.150609,[37 79] ; [ 3 13],[35.15151515 80.84848485] ; [ 4.84848485 11.15151515],0
p1,1,0.308258,1.038124,[  7 114] ; [ 2 14],[  7.94890511 113.05109489] ; [ 1.05109489 14.94890511],0
r3,1,0.335789,0.926441,[96 25] ; [11  5],[94.50364964 26.49635036] ; [12.49635036  3.50364964],0
p8,1,0.348718,0.878118,[45 74] ; [8 8],[46.71851852 72.28148148] ; [6.28148148 9.71851852],0
d2,1,0.377434,0.779044,[53 66] ; [9 7],[54.65185185 64.34814815] ; [7.34814815 8.65185185],0
u2,1,0.38962,0.740127,[22 26] ; [2 5],[20.94545455 27.05454545] ; [3.05454545 3.94545455],0
b5,1,0.396606,0.718592,[59 62] ; [ 6 10],[57.40875912 63.59124088] ; [7.59124088 8.40875912],0
r2,1,0.407534,0.685984,[97 21] ; [11  4],[95.81954887 22.18045113] ; [12.18045113  2.81954887],0
s8,1,0.438303,0.600721,[27 93] ; [ 5 11],[28.23529412 91.76470588] ; [ 3.76470588 12.23529412],0
n2,1,0.496253,0.462941,[27 16] ; [4 4],[26.1372549 16.8627451] ; [4.8627451 3.1372549],0
u1,1,0.555046,0.348354,[  4 117] ; [ 1 15],[  4.41605839 116.58394161] ; [ 0.58394161 15.41605839],0
s2,1,0.557163,0.344639,[ 16 104] ; [ 3 13],[ 16.76470588 103.23529412] ; [ 2.23529412 13.76470588],0
p12,1,0.565675,0.329973,[  4 115] ; [ 1 15],[  4.40740741 114.59259259] ; [ 0.59259259 15.40740741],0
p11,1,0.575016,0.314361,[84 37] ; [10  6],[83.02189781 37.97810219] ; [10.97810219  5.02189781],0
p4,1,0.588643,0.292468,[51 68] ; [8 8],[52.00740741 66.99259259] ; [6.99259259 9.00740741],0
p10,1,0.593062,0.285588,[73 45] ; [11  5],[73.97014925 44.02985075] ; [10.02985075  5.97014925],0
r4,1,0.623634,0.240793,[83 38] ; [10  6],[82.13868613 38.86131387] ; [10.86131387  5.13868613],0
u3,1,0.754293,0.097959,[18 31] ; [3 4],[18.375 30.625] ; [2.625 4.375],0
n6,1,0.762611,0.091237,[94 26] ; [12  4],[93.52941176 26.47058824] ; [12.47058824  3.52941176],0
d5,1,0.784055,0.075097,[79 42] ; [11  5],[79.48905109 41.51094891] ; [10.51094891  5.48905109],0
n1,1,0.785419,0.074128,[14 29] ; [3 5],[14.33333333 28.66666667] ; [2.66666667 5.33333333],0
a3,1,0.803488,0.061919,[72 49] ; [9 7],[71.54014599 49.45985401] ; [9.45985401 6.54014599],0
p2,1,0.828486,0.046935,[77 41] ; [10  6],[76.6119403 41.3880597] ; [10.3880597  5.6119403],0
n3,1,0.834732,0.043529,[24 17] ; [5 3],[24.26530612 16.73469388] ; [4.73469388 3.26530612],0
d1,1,0.853112,0.03428,[50 71] ; [7 9],[50.34306569 70.65693431] ; [6.65693431 9.34306569],0
d4,1,0.884946,0.020939,[81 40] ; [11  5],[81.25547445 39.74452555] ; [10.74452555  5.25547445],0
p9,1,0.913,0.011937,[82 35] ; [11  5],[81.81203008 35.18796992] ; [11.18796992  4.81203008],0
a2,1,0.940592,0.005554,[  7 114] ; [ 1 15],[  7.06569343 113.93430657] ; [ 0.93430657 15.06569343],0
a1,1,0.940592,0.005554,[  7 114] ; [ 1 15],[  7.06569343 113.93430657] ; [ 0.93430657 15.06569343],0
n5,1,0.957392,0.002854,[90 31] ; [12  4],[90.08759124 30.91240876] ; [11.91240876  4.08759124],0
b1,1,0.975215,0.000965,[61 60] ; [8 8],[60.94160584 60.05839416] ; [8.05839416 7.94160584],0
a5,1,0.980773,0.000581,[76 45] ; [10  6],[75.95620438 45.04379562] ; [10.04379562  5.95620438],0
a4,1,1.0,0.0,[45 75] ; [ 6 10],[45. 75.] ; [ 6. 10.],0
