Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.9e-05,18.276944,[13 58] ; [14  7],[20.83695652 50.16304348] ; [ 6.16304348 14.83695652],1
s7,1,0.000503,12.105751,[12 54] ; [12  9],[18.20689655 47.79310345] ; [ 5.79310345 15.20689655],1
s2,1,0.0052,7.808448,[15 56] ; [11 10],[20.06521739 50.93478261] ; [ 5.93478261 15.06521739],0
s3,1,0.018263,5.570786,[20 49] ; [12  9],[24.53333333 44.46666667] ; [ 7.46666667 13.53333333],0
u2,1,0.028108,4.821429,[11 24] ; [7 3],[14. 21.] ; [4. 6.],0
p2,1,0.050568,3.822529,[33 37] ; [15  6],[36.92307692 33.07692308] ; [11.07692308  9.92307692],0
u3,1,0.058495,3.579545,[ 7 28] ; [5 5],[ 9.33333333 25.66666667] ; [2.66666667 7.33333333],0
n1,1,0.061664,3.492063,[13 20] ; [ 1 10],[10.5 22.5] ; [3.5 7.5],0
v4,1,0.06572,3.386819,[37 32] ; [16  5],[40.63333333 28.36666667] ; [12.36666667  8.63333333],0
v3,1,0.082191,3.021039,[15 56] ; [ 1 20],[12.34782609 58.65217391] ; [ 3.65217391 17.34782609],0
a6,1,0.092928,2.822907,[39 33] ; [ 7 14],[35.61290323 36.38709677] ; [10.38709677 10.61290323],0
p7,1,0.105867,2.614862,[21 48] ; [10 10],[24.03370787 44.96629213] ; [ 6.96629213 13.03370787],0
b5,1,0.116679,2.461343,[34 38] ; [14  7],[37.16129032 34.83870968] ; [10.83870968 10.16129032],0
d3,1,0.141507,2.161494,[31 40] ; [13  8],[33.95652174 37.04347826] ; [10.04347826 10.95652174],0
b1,1,0.177701,1.816744,[36 36] ; [ 7 14],[33.29032258 38.70967742] ; [ 9.70967742 11.29032258],0
p6,1,0.1849,1.75779,[11 59] ; [ 6 15],[13.07692308 56.92307692] ; [ 3.92307692 17.07692308],0
s8,1,0.212097,1.557054,[ 9 62] ; [ 5 16],[10.80434783 60.19565217] ; [ 3.19565217 17.80434783],0
b4,1,0.222236,1.489875,[45 27] ; [10 11],[42.58064516 29.41935484] ; [12.41935484  8.58064516],0
r1,1,0.251946,1.31248,[23 49] ; [ 4 17],[20.90322581 51.09677419] ; [ 6.09677419 14.90322581],0
p8,1,0.252256,1.310766,[19 52] ; [ 8 12],[21.06593407 49.93406593] ; [ 5.93406593 14.06593407],0
a7,1,0.25895,1.274361,[34 37] ; [13  8],[36.27173913 34.72826087] ; [10.72826087 10.27173913],0
a5,1,0.283454,1.150455,[37 35] ; [ 8 13],[34.83870968 37.16129032] ; [10.16129032 10.83870968],0
s5,1,0.305712,1.049112,[ 9 62] ; [ 4 14],[10.37078652 60.62921348] ; [ 2.62921348 15.37078652],0
p1,1,0.306024,1.047756,[ 9 62] ; [ 1 20],[ 7.7173913 63.2826087] ; [ 2.2826087 18.7173913],0
d5,1,0.340775,0.907512,[46 26] ; [11 10],[44.12903226 27.87096774] ; [12.87096774  8.12903226],0
p11,1,0.361503,0.832664,[33 39] ; [12  9],[34.83870968 37.16129032] ; [10.16129032 10.83870968],0
a2,1,0.386536,0.749811,[ 8 64] ; [ 1 20],[ 6.96774194 65.03225806] ; [ 2.03225806 18.96774194],0
a4,1,0.38654,0.749798,[24 47] ; [ 5 16],[22.38043478 48.61956522] ; [ 6.61956522 14.38043478],0
n3,1,0.422551,0.64321,[13 19] ; [6 5],[14.13953488 17.86046512] ; [4.86046512 6.13953488],0
b3,1,0.425957,0.633822,[16 26] ; [ 4 11],[14.73684211 27.26315789] ; [5.26315789 9.73684211],0
b2,1,0.425957,0.633822,[16 26] ; [ 4 11],[14.73684211 27.26315789] ; [5.26315789 9.73684211],0
p10,1,0.454661,0.559006,[33 36] ; [12  9],[34.5 34.5] ; [10.5 10.5],0
n4,1,0.473937,0.512782,[44 28] ; [11 10],[42.58064516 29.41935484] ; [12.41935484  8.58064516],0
a1,1,0.47566,0.508797,[ 7 65] ; [ 1 20],[ 6.19354839 65.80645161] ; [ 1.80645161 19.19354839],0
r3,1,0.527701,0.398817,[34 35] ; [12  9],[35.26666667 33.73333333] ; [10.73333333 10.26666667],0
d1,1,0.727201,0.121697,[27 45] ; [ 7 14],[26.32258065 45.67741935] ; [ 7.67741935 13.32258065],0
n2,1,0.727724,0.121212,[17 16] ; [5 6],[16.5 16.5] ; [5.5 5.5],0
