Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,39.910673,[121 123] ; [79 11],[146.10778443  97.89221557] ; [53.89221557 36.10778443],1
s7,1,0.0,27.368484,[ 81 153] ; [59 29],[101.73913043 132.26086957] ; [38.26086957 49.73913043],1
s2,1,6.8e-05,15.866735,[ 90 155] ; [56 36],[106.14243323 138.85756677] ; [39.85756677 52.14243323],1
s4,1,0.000214,13.70525,[ 31 213] ; [27 63],[ 42.37125749 201.62874251] ; [15.62874251 74.37125749],1
s3,1,0.00035,12.780407,[110 134] ; [61 30],[124.54925373 119.45074627] ; [46.45074627 44.54925373],1
p3,1,0.001499,10.080282,[ 84 161] ; [49 43],[ 96.69139466 148.30860534] ; [36.30860534 55.69139466],0
p5,1,0.00187,9.672928,[ 11 235] ; [13 78],[ 17.51928783 228.48071217] ; [ 6.48071217 84.51928783],0
p4,1,0.006225,7.483982,[113 131] ; [58 34],[124.17857143 119.82142857] ; [46.82142857 45.17857143],0
p6,1,0.006238,7.480287,[ 54 189] ; [34 58],[ 63.83283582 179.16716418] ; [24.16716418 67.83283582],0
n6,1,0.012321,6.264037,[188  57] ; [81 10],[196.14583333  48.85416667] ; [72.85416667 18.14583333],0
b5,1,0.013355,6.121451,[144 102] ; [40 52],[133.91715976 112.08284024] ; [50.08284024 41.91715976],0
r2,1,0.015056,5.909852,[216  25] ; [89  2],[221.40060241  19.59939759] ; [83.59939759  7.40060241],0
p9,1,0.028383,4.804631,[174  70] ; [74 15],[181.71771772  62.28228228] ; [66.28228228 22.71771772],0
n1,1,0.032027,4.59704,[22 54] ; [14 13],[26.5631068 49.4368932] ; [ 9.4368932 17.5631068],0
p10,1,0.033034,4.544011,[170  74] ; [74 17],[177.71940299  66.28059701] ; [66.28059701 24.71940299],0
a4,1,0.039117,4.255778,[105 140] ; [51 41],[113.41246291 131.58753709] ; [42.58753709 49.41246291],0
p1,1,0.041855,4.141049,[ 12 233] ; [10 80],[ 16.08955224 228.91044776] ; [ 5.91044776 84.08955224],0
p7,1,0.05377,3.719816,[129 115] ; [57 31],[136.69879518 107.30120482] ; [49.30120482 38.69879518],0
v2,1,0.084325,2.979515,[ 94 141] ; [46 45],[100.9202454 134.0797546] ; [39.0797546 51.9202454],0
n2,1,0.092077,2.837689,[46 31] ; [21  6],[49.60576923 27.39423077] ; [17.39423077  9.60576923],0
a5,1,0.096657,2.759858,[170  76] ; [72 20],[176.13017751  69.86982249] ; [65.86982249 26.13017751],0
p2,1,0.102404,2.667692,[181  64] ; [75 16],[186.66666667  58.33333333] ; [69.33333333 21.66666667],0
r4,1,0.117096,2.455742,[202  44] ; [82 10],[206.69822485  39.30177515] ; [77.30177515 14.69822485],0
s8,1,0.13159,2.273641,[ 80 166] ; [38 54],[ 85.8816568 160.1183432] ; [32.1183432 59.8816568],0
u1,1,0.18216,1.779913,[ 36 210] ; [19 73],[ 40.0295858 205.9704142] ; [14.9704142 77.0295858],0
r1,1,0.184452,1.761383,[183  63] ; [74 17],[187.60237389  58.39762611] ; [69.39762611 21.60237389],0
a1,1,0.184586,1.760308,[ 10 236] ; [ 7 85],[ 12.37278107 233.62721893] ; [ 4.62721893 87.37278107],0
v3,1,0.201914,1.628475,[ 60 182] ; [28 60],[ 64.53333333 177.46666667] ; [23.46666667 64.53333333],0
d2,1,0.213221,1.549423,[124 121] ; [53 38],[129.0625 115.9375] ; [47.9375 43.0625],0
a7,1,0.236562,1.400967,[186  60] ; [63 28],[181.76261128  64.23738872] ; [67.23738872 23.76261128],0
p12,1,0.243994,1.35737,[  7 239] ; [ 5 86],[  8.75964392 237.24035608] ; [ 3.24035608 87.75964392],0
r3,1,0.275705,1.188139,[223  23] ; [84  5],[225.43880597  20.56119403] ; [81.56119403  7.43880597],0
a3,1,0.294251,1.100067,[173  73] ; [70 22],[176.85798817  69.14201183] ; [66.14201183 25.85798817],0
a6,1,0.344952,0.891942,[171  75] ; [59 33],[167.3964497  78.6035503] ; [62.6035503 29.3964497],0
s1,1,0.36082,0.835038,[  8 236] ; [ 5 87],[  9.44047619 234.55952381] ; [ 3.55952381 88.44047619],0
n3,1,0.379543,0.772182,[49 28] ; [19  7],[50.83495146 26.16504854] ; [17.16504854  8.83495146],0
b2,1,0.436108,0.606502,[40 96] ; [21 39],[42.32653061 93.67346939] ; [18.67346939 41.32653061],0
b3,1,0.436108,0.606502,[40 96] ; [21 39],[42.32653061 93.67346939] ; [18.67346939 41.32653061],0
u2,1,0.436994,0.604162,[40 33] ; [ 9 11],[38.46236559 34.53763441] ; [10.53763441  9.46236559],0
p8,1,0.466255,0.530838,[103 141] ; [42 48],[105.92814371 138.07185629] ; [39.07185629 50.92814371],0
a2,1,0.470868,0.519938,[ 55 191] ; [24 68],[ 57.49704142 188.50295858] ; [21.50295858 70.49704142],0
d3,1,0.477575,0.504397,[177  68] ; [70 22],[179.56973294  65.43026706] ; [67.43026706 24.56973294],0
b4,1,0.481477,0.495515,[142 104] ; [57 35],[144.83431953 101.16568047] ; [54.16568047 37.83431953],0
d4,1,0.493279,0.469366,[212  34] ; [81 10],[213.88130564  32.11869436] ; [79.11869436 11.88130564],0
d1,1,0.51878,0.416319,[162  84] ; [64 28],[164.4852071  81.5147929] ; [61.5147929 30.4852071],0
a8,1,0.602135,0.271787,[ 24 207] ; [10 70],[ 25.25401929 205.74598071] ; [ 8.74598071 71.25401929],0
u3,1,0.685328,0.164189,[39 32] ; [11 11],[38.17204301 32.82795699] ; [11.82795699 10.17204301],0
n4,1,0.756204,0.096391,[178  68] ; [65 27],[176.85798817  69.14201183] ; [66.14201183 25.85798817],0
v4,1,0.766879,0.087888,[224  22] ; [81  9],[223.30357143  22.69642857] ; [81.69642857  8.30357143],0
u4,1,0.811102,0.057123,[  2 244] ; [ 1 91],[  2.18343195 243.81656805] ; [ 0.81656805 91.18343195],0
b1,1,0.852421,0.034607,[ 99 147] ; [36 56],[ 98.25443787 147.74556213] ; [36.74556213 55.25443787],0
n5,1,0.912119,0.012181,[162  82] ; [61 30],[162.4238806  81.5761194] ; [60.5761194 30.4238806],0
p11,1,0.953255,0.003436,[173  73] ; [65 27],[173.21893491  72.78106509] ; [64.78106509 27.21893491],0
