Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,50.492321,[120   4] ; [43 33],[101.06  22.94] ; [61.94 14.06],1
r4,1,0.0,43.794513,[107  19] ; [31 46],[85.65517241 40.34482759] ; [52.34482759 24.65517241],1
n6,1,0.0,26.703158,[99 27] ; [32 43],[82.11940299 43.88059701] ; [48.88059701 26.11940299],1
p10,1,1e-06,24.940485,[86 40] ; [24 51],[68.95522388 57.04477612] ; [41.04477612 33.95522388],1
p9,1,6e-06,20.565294,[89 36] ; [28 45],[73.86363636 51.13636364] ; [43.13636364 29.86363636],1
r1,1,2.1e-05,18.056166,[91 35] ; [32 44],[76.72277228 49.27722772] ; [46.27722772 29.72277228],1
p2,1,3.8e-05,16.993552,[90 35] ; [33 44],[76.11386139 48.88613861] ; [46.88613861 30.11386139],1
v4,1,5.9e-05,16.133333,[111  14] ; [49 26],[100.  25.] ; [60. 15.],1
r2,1,0.00024,13.488023,[115  10] ; [53 20],[106.06060606  18.93939394] ; [61.93939394 11.06060606],1
v2,1,0.000283,13.179914,[59 61] ; [17 57],[47.01030928 72.98969072] ; [28.98969072 45.01030928],1
n3,1,0.00225,9.333333,[33  9] ; [12 16],[27. 15.] ; [18. 10.],0
n2,1,0.003705,8.422941,[31 10] ; [13 18],[25.05555556 15.94444444] ; [18.94444444 12.05555556],0
b1,1,0.011859,6.331846,[46 80] ; [42 35],[54.62068966 71.37931034] ; [33.37931034 43.62068966],0
d4,1,0.012843,6.190579,[99 26] ; [48 28],[91.41791045 33.58208955] ; [55.58208955 20.41791045],0
a1,1,0.016213,5.779602,[  4 122] ; [ 9 68],[  8.06896552 117.93103448] ; [ 4.93103448 72.06896552],0
p4,1,0.017426,5.652981,[42 83] ; [14 63],[34.65346535 90.34653465] ; [21.34653465 55.65346535],0
p7,1,0.022608,5.198338,[51 74] ; [19 57],[43.53233831 81.46766169] ; [26.46766169 49.53233831],0
s1,1,0.026851,4.900355,[  2 123] ; [ 6 70],[  4.97512438 120.02487562] ; [ 3.02487562 72.97512438],0
s4,1,0.032168,4.589546,[  8 118] ; [12 65],[ 12.4137931 113.5862069] ; [ 7.5862069 69.4137931],0
u2,1,0.046707,3.95593,[21 14] ; [11 20],[16.96969697 18.03030303] ; [15.03030303 15.96969697],0
v1,1,0.054448,3.698901,[47 76] ; [19 57],[40.79396985 82.20603015] ; [25.20603015 50.79396985],0
u3,1,0.05586,3.656237,[20 16] ; [10 21],[16.11940299 19.88059701] ; [13.88059701 17.11940299],0
v3,1,0.059133,3.561534,[36 84] ; [13 60],[30.46632124 89.53367876] ; [18.53367876 54.46632124],0
s7,1,0.083143,3.002367,[28 93] ; [ 9 61],[23.43979058 97.56020942] ; [13.56020942 56.43979058],0
a3,1,0.138925,2.189822,[90 36] ; [46 29],[85.25373134 40.74626866] ; [50.74626866 24.25373134],0
s5,1,0.152114,2.050922,[ 16 104] ; [ 5 69],[ 12.98969072 107.01030928] ; [ 8.01030928 65.98969072],0
p5,1,0.183259,1.770995,[  6 118] ; [ 1 76],[  4.31840796 119.68159204] ; [ 2.68159204 74.31840796],0
a8,1,0.195614,1.67482,[ 15 101] ; [ 5 67],[ 12.34042553 103.65957447] ; [ 7.65957447 64.34042553],0
s8,1,0.215399,1.53476,[ 19 107] ; [ 7 70],[ 16.13793103 109.86206897] ; [ 9.86206897 67.13793103],0
d3,1,0.220904,1.498491,[75 51] ; [38 37],[70.8358209 55.1641791] ; [42.1641791 32.8358209],0
n4,1,0.235635,1.406519,[85 41] ; [45 31],[81.08910891 44.91089109] ; [48.91089109 27.08910891],0
b4,1,0.260786,1.264579,[74 52] ; [39 38],[70.13793103 55.86206897] ; [42.86206897 34.13793103],0
a7,1,0.261455,1.261034,[80 45] ; [42 33],[76.25 48.75] ; [45.75 29.25],0
d1,1,0.289193,1.123376,[57 69] ; [29 48],[53.37931034 72.62068966] ; [32.62068966 44.37931034],0
