Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8e-06,20.03957,[52 13] ; [ 8 18],[42.85714286 22.14285714] ; [17.14285714  8.85714286],1
r1,1,0.000441,12.35133,[51 14] ; [11 16],[43.80434783 21.19565217] ; [18.19565217  8.80434783],1
r4,1,0.000444,12.336244,[56  9] ; [14 13],[49.45652174 15.54347826] ; [20.54347826  6.45652174],1
d3,1,0.002572,9.088601,[48 17] ; [11 16],[41.68478261 23.31521739] ; [17.31521739  9.68478261],0
a5,1,0.002572,9.088601,[48 17] ; [11 16],[41.68478261 23.31521739] ; [17.31521739  9.68478261],0
v3,1,0.002765,8.956716,[25 36] ; [ 2 23],[19.15116279 41.84883721] ; [ 7.84883721 17.15116279],0
n6,1,0.00425,8.173703,[49 16] ; [12 15],[43.09782609 21.90217391] ; [17.90217391  9.09782609],0
p10,1,0.011942,6.319444,[50 15] ; [13 13],[45. 20.] ; [18.  8.],0
r2,1,0.012749,6.20359,[61  2] ; [22  5],[58.1  4.9] ; [24.9  2.1],0
d5,1,0.017218,5.673979,[46 19] ; [12 15],[40.97826087 24.02173913] ; [17.02173913  9.97826087],0
d1,1,0.024329,5.071001,[36 29] ; [ 8 19],[31.08695652 33.91304348] ; [12.91304348 14.08695652],0
p11,1,0.026949,4.894094,[49 16] ; [14 13],[44.51086957 20.48913043] ; [18.48913043  8.51086957],0
n1,1,0.035015,4.444444,[10  5] ; [2 7],[7.5 7.5] ; [4.5 4.5],0
s1,1,0.040106,4.213376,[ 2 62] ; [ 4 23],[ 4.21978022 59.78021978] ; [ 1.78021978 25.21978022],0
p6,1,0.04224,4.12556,[21 44] ; [ 3 23],[17.14285714 47.85714286] ; [ 6.85714286 19.14285714],0
b2,1,0.043376,4.080682,[21 21] ; [ 3 12],[17.68421053 24.31578947] ; [6.31578947 8.68421053],0
b3,1,0.043376,4.080682,[21 21] ; [ 3 12],[17.68421053 24.31578947] ; [6.31578947 8.68421053],0
a7,1,0.056434,3.639211,[45 20] ; [13 14],[40.97826087 24.02173913] ; [17.02173913  9.97826087],0
