Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.01623,5.777778,[15 24] ; [10  3],[18.75 20.25] ; [6.25 6.75],0
s2,1,0.036078,4.393433,[21 18] ; [2 9],[17.94 21.06] ; [5.06 5.94],0
u1,1,0.057289,3.614184,[ 2 37] ; [ 3 10],[ 3.75 35.25] ; [ 1.25 11.75],0
p5,1,0.083206,3.00113,[ 4 34] ; [4 9],[ 5.96078431 32.03921569] ; [ 2.03921569 10.96078431],0
p12,1,0.085992,2.947846,[ 1 38] ; [ 2 11],[ 2.25 36.75] ; [ 0.75 12.25],0
p1,1,0.085992,2.947846,[ 1 38] ; [ 2 11],[ 2.25 36.75] ; [ 0.75 12.25],0
n3,1,0.122398,2.386364,[9 5] ; [2 5],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
v4,1,0.125202,2.351006,[28 10] ; [6 6],[25.84 12.16] ; [8.16 3.84],0
a2,1,0.13268,2.26087,[ 3 36] ; [ 3 10],[ 4.5 34.5] ; [ 1.5 11.5],0
v3,1,0.13849,2.19466,[ 5 34] ; [4 9],[ 6.75 32.25] ; [ 2.25 10.75],0
d3,1,0.187986,1.733333,[22 17] ; [10  3],[24. 15.] ; [8. 5.],0
u3,1,0.193472,1.69098,[9 8] ; [1 4],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
a6,1,0.198851,1.650794,[23 16] ; [5 8],[21. 18.] ; [7. 6.],0
s5,1,0.201087,1.634465,[ 6 31] ; [4 8],[ 7.55102041 29.44897959] ; [2.44897959 9.55102041],0
p2,1,0.20999,1.571497,[29  9] ; [12  1],[30.54901961  7.45098039] ; [10.45098039  2.54901961],0
n1,1,0.216522,1.527273,[8 6] ; [2 5],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
r3,1,0.222836,1.486014,[27 12] ; [6 6],[25.23529412 13.76470588] ; [7.76470588 4.23529412],0
a4,1,0.253364,1.304659,[14 25] ; [7 6],[15.75 23.25] ; [5.25 7.75],0
s7,1,0.272114,1.206059,[15 22] ; [6 4],[16.53191489 20.46808511] ; [4.46808511 5.53191489],0
r2,1,0.290607,1.116809,[20 16] ; [5 8],[18.36734694 17.63265306] ; [6.63265306 6.36734694],0
s3,1,0.299358,1.077054,[17 21] ; [3 8],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
a5,1,0.312612,1.019608,[24 15] ; [10  3],[25.5 13.5] ; [8.5 4.5],0
d2,1,0.312612,1.019608,[12 27] ; [6 7],[13.5 25.5] ; [4.5 8.5],0
p10,1,0.362498,0.829221,[23 15] ; [9 3],[24.32 13.68] ; [7.68 4.32],0
p7,1,0.442003,0.591076,[25 13] ; [7 6],[23.84313725 14.15686275] ; [8.15686275 4.84313725],0
p8,1,0.471855,0.517628,[19 19] ; [8 5],[20.11764706 17.88235294] ; [6.88235294 6.11764706],0
d4,1,0.487752,0.481481,[26 13] ; [10  3],[27. 12.] ; [9. 4.],0
b1,1,0.510358,0.433333,[25 14] ; [7 6],[24. 15.] ; [8. 5.],0
v1,1,0.510358,0.433333,[16 23] ; [4 9],[15. 24.] ; [5. 8.],0
a7,1,0.520603,0.412698,[17 22] ; [7 6],[18. 21.] ; [6. 7.],0
p6,1,0.552789,0.352344,[14 24] ; [6 7],[14.90196078 23.09803922] ; [5.09803922 7.90196078],0
s4,1,0.556444,0.345898,[ 9 30] ; [ 2 11],[ 8.25 30.75] ; [ 2.75 10.25],0
s6,1,0.56012,0.339497,[20 19] ; [5 7],[19.11764706 19.88235294] ; [5.88235294 6.11764706],0
d5,1,0.595994,0.281081,[27 12] ; [10  3],[27.75 11.25] ; [9.25 3.75],0
a3,1,0.628659,0.233883,[21 18] ; [8 5],[21.75 17.25] ; [7.25 5.75],0
b2,1,0.667436,0.184615,[ 6 20] ; [3 7],[ 6.5 19.5] ; [2.5 7.5],0
b3,1,0.667436,0.184615,[ 6 20] ; [3 7],[ 6.5 19.5] ; [2.5 7.5],0
v2,1,0.672704,0.178456,[15 23] ; [6 7],[15.64705882 22.35294118] ; [5.35294118 7.64705882],0
n6,1,0.682241,0.167614,[27 11] ; [10  3],[27.56862745 10.43137255] ; [9.43137255 3.56862745],0
n5,1,0.692472,0.156423,[24 14] ; [9 4],[24.58823529 13.41176471] ; [8.41176471 4.58823529],0
b5,1,0.745851,0.105051,[22 17] ; [8 5],[22.5 16.5] ; [7.5 5.5],0
p9,1,0.827768,0.047334,[28 11] ; [9 3],[28.29411765 10.70588235] ; [8.70588235 3.29411765],0
u2,1,0.859234,0.031453,[ 8 10] ; [2 3],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
p11,1,0.859726,0.031231,[28 11] ; [9 4],[27.75 11.25] ; [9.25 3.75],0
d1,1,0.870382,0.026626,[16 23] ; [5 8],[15.75 23.25] ; [5.25 7.75],0
s8,1,0.870884,0.026418,[14 25] ; [4 8],[13.76470588 25.23529412] ; [4.23529412 7.76470588],0
n4,1,0.871932,0.025987,[22 17] ; [7 6],[21.75 17.25] ; [7.25 5.75],0
n2,1,1.0,0.0,[10  4] ; [5 2],[10.  4.] ; [5. 2.],0
p3,1,1.0,0.0,[21 18] ; [7 6],[21. 18.] ; [7. 6.],0
