Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3.3e-05,17.254226,[ 6 29] ; [17  7],[13.6440678 21.3559322] ; [ 9.3559322 14.6440678],1
v1,1,0.000121,14.770261,[ 5 30] ; [15  9],[11.86440678 23.13559322] ; [ 8.13559322 15.86440678],1
p2,1,0.001255,10.407466,[ 8 27] ; [15  8],[13.87931034 21.12068966] ; [ 9.12068966 13.87931034],0
p11,1,0.002792,8.938814,[ 6 29] ; [13 11],[11.27118644 23.72881356] ; [ 7.72881356 16.27118644],0
p8,1,0.003634,8.458435,[ 5 29] ; [12 12],[ 9.96551724 24.03448276] ; [ 7.03448276 16.96551724],0
p3,1,0.005178,7.816105,[ 5 30] ; [11 12],[ 9.65517241 25.34482759] ; [ 6.34482759 16.65517241],0
r4,1,0.009774,6.675706,[ 1 34] ; [ 6 18],[ 4.15254237 30.84745763] ; [ 2.84745763 21.15254237],0
v4,1,0.019815,5.428159,[14 21] ; [17  7],[18.38983051 16.61016949] ; [12.61016949 11.38983051],0
p4,1,0.020199,5.394618,[ 6 28] ; [11 13],[ 9.96551724 24.03448276] ; [ 7.03448276 16.96551724],0
p6,1,0.037569,4.324412,[ 2 32] ; [ 6 18],[ 4.68965517 29.31034483] ; [ 3.31034483 20.68965517],0
p7,1,0.048422,3.895278,[ 9 25] ; [12 11],[12.52631579 21.47368421] ; [ 8.47368421 14.52631579],0
r2,1,0.054472,3.698173,[18 15] ; [19  5],[21.42105263 11.57894737] ; [15.57894737  8.42105263],0
d2,1,0.05525,3.674534,[17 17] ; [ 6 18],[13.48275862 20.51724138] ; [ 9.51724138 14.48275862],0
p5,1,0.058488,3.579741,[ 1 33] ; [ 4 19],[ 2.98245614 31.01754386] ; [ 2.01754386 20.98245614],0
b1,1,0.106028,2.612443,[19 16] ; [18  6],[21.94915254 13.05084746] ; [15.05084746  8.94915254],0
n3,1,0.121573,2.396939,[ 9 12] ; [6 2],[10.86206897 10.13793103] ; [4.13793103 3.86206897],0
s6,1,0.137469,2.206068,[ 7 28] ; [ 9 15],[ 9.49152542 25.50847458] ; [ 6.50847458 17.49152542],0
s5,1,0.172292,1.862886,[ 4 31] ; [ 6 18],[ 5.93220339 29.06779661] ; [ 4.06779661 19.93220339],0
