Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.400848,[ 9 22] ; [87 31],[19.97315436 11.02684564] ; [76.02684564 41.97315436],1
v4,1,2.2e-05,17.972229,[20 11] ; [109   8],[27.02027027  3.97972973] ; [101.97972973  15.02027027],1
d5,1,0.003458,8.548482,[16 15] ; [92 26],[22.46979866  8.53020134] ; [85.53020134 32.46979866],0
p10,1,0.005596,7.676122,[20 11] ; [100  16],[25.30612245  5.69387755] ; [94.69387755 21.30612245],0
s7,1,0.015575,5.850227,[ 6 24] ; [50 63],[11.74825175 18.25174825] ; [44.25174825 68.74825175],0
b4,1,0.04543,4.002597,[15 16] ; [80 38],[19.76510067 11.23489933] ; [75.23489933 42.76510067],0
p9,1,0.051501,3.791897,[23  8] ; [104  14],[26.42281879  4.57718121] ; [100.57718121  17.42281879],0
p6,1,0.068499,3.318616,[ 7 24] ; [46 68],[11.33103448 19.66896552] ; [41.66896552 72.33103448],0
s3,1,0.071383,3.250939,[10 21] ; [59 58],[14.4527027 16.5472973] ; [54.5472973 62.4527027],0
d1,1,0.078497,3.095748,[ 9 22] ; [55 63],[13.31543624 17.68456376] ; [50.68456376 67.31543624],0
a4,1,0.08511,2.964509,[ 6 25] ; [42 76],[ 9.98657718 21.01342282] ; [38.01342282 79.98657718],0
u3,1,0.085733,2.952727,[ 4 12] ; [21 21],[6.89655172 9.10344828] ; [18.10344828 23.89655172],0
b5,1,0.103541,2.650138,[15 16] ; [76 42],[18.93288591 12.06711409] ; [72.06711409 45.93288591],0
a3,1,0.103541,2.650138,[15 16] ; [76 42],[18.93288591 12.06711409] ; [72.06711409 45.93288591],0
s8,1,0.10589,2.61452,[ 7 24] ; [45 73],[10.81879195 20.18120805] ; [41.18120805 76.81879195],0
b1,1,0.113925,2.498912,[15 16] ; [39 79],[11.23489933 19.76510067] ; [42.76510067 75.23489933],0
a7,1,0.124256,2.362838,[15 16] ; [75 43],[18.72483221 12.27516779] ; [71.27516779 46.72483221],0
