Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,2e-06,22.320955,[ 1 24] ; [52 39],[11.42241379 13.57758621] ; [41.57758621 49.42241379],1
a5,1,9.8e-05,15.169974,[ 8 18] ; [66 25],[16.44444444  9.55555556] ; [57.55555556 33.44444444],1
d2,1,0.000249,13.420444,[ 4 22] ; [51 40],[12.22222222 13.77777778] ; [42.77777778 48.22222222],1
d4,1,0.000505,12.095865,[15 11] ; [80 11],[21.11111111  4.88888889] ; [73.88888889 17.11111111],1
p9,1,0.001998,9.55102,[16 10] ; [80 11],[21.33333333  4.66666667] ; [74.66666667 16.33333333],0
d3,1,0.003696,8.427646,[13 13] ; [71 19],[18.82758621  7.17241379] ; [65.17241379 24.82758621],0
p4,1,0.008528,6.91908,[10 16] ; [61 30],[15.77777778 10.22222222] ; [55.22222222 35.77777778],0
a3,1,0.012033,6.30594,[11 15] ; [63 28],[16.44444444  9.55555556] ; [57.55555556 33.44444444],0
b1,1,0.030522,4.679666,[13 13] ; [25 66],[ 8.44444444 17.55555556] ; [29.55555556 61.44444444],0
v4,1,0.037825,4.312883,[23  3] ; [89  2],[24.88888889  1.11111111] ; [87.11111111  3.88888889],0
p2,1,0.042022,4.134328,[19  7] ; [81 10],[22.22222222  3.77777778] ; [77.77777778 13.22222222],0
v1,1,0.060777,3.516051,[11 15] ; [56 33],[15.14782609 10.85217391] ; [51.85217391 37.14782609],0
p5,1,0.095108,2.785714,[ 4 22] ; [ 5 86],[ 2. 24.] ; [ 7. 84.],0
b4,1,0.106788,2.601129,[12 14] ; [58 33],[15.55555556 10.44444444] ; [54.44444444 36.55555556],0
s8,1,0.124434,2.360602,[10 16] ; [50 40],[13.44827586 12.55172414] ; [46.55172414 43.44827586],0
r4,1,0.135226,2.231456,[21  5] ; [83  8],[23.11111111  2.88888889] ; [80.88888889 10.11111111],0
a8,1,0.140296,2.174709,[ 6 19] ; [10 73],[ 3.7037037 21.2962963] ; [12.2962963 70.7037037],0
s1,1,0.167211,1.90777,[ 3 22] ; [ 4 85],[ 1.53508772 23.46491228] ; [ 5.46491228 83.53508772],0
p11,1,0.184795,1.758634,[18  8] ; [74 17],[20.44444444  5.55555556] ; [71.55555556 19.44444444],0
v3,1,0.231296,1.432871,[ 6 20] ; [31 56],[ 8.51327434 17.48672566] ; [28.48672566 58.51327434],0
p1,1,0.235921,1.404803,[ 4 22] ; [ 7 84],[ 2.44444444 23.55555556] ; [ 8.55555556 82.44444444],0
n4,1,0.291152,1.114286,[18  8] ; [72 19],[20.  6.] ; [70. 21.],0
p10,1,0.299653,1.075736,[17  8] ; [71 20],[18.96551724  6.03448276] ; [69.03448276 21.96551724],0
s6,1,0.311963,1.022348,[16 10] ; [64 25],[18.08695652  7.91304348] ; [61.91304348 27.08695652],0
n3,1,0.320988,0.984919,[4 3] ; [22  7],[5.05555556 1.94444444] ; [20.94444444  8.05555556],0
b5,1,0.335234,0.928571,[16 10] ; [65 26],[18.  8.] ; [63. 28.],0
v2,1,0.351584,0.867733,[11 14] ; [48 40],[13.05309735 11.94690265] ; [45.94690265 42.05309735],0
r1,1,0.354154,0.858519,[18  8] ; [71 20],[19.77777778  6.22222222] ; [69.22222222 21.77777778],0
n1,1,0.354777,0.856298,[4 3] ; [11 18],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
a6,1,0.360625,0.835714,[14 12] ; [58 33],[16. 10.] ; [56. 35.],0
r3,1,0.403986,0.696429,[23  3] ; [85  6],[24.  2.] ; [84.  7.],0
n5,1,0.43326,0.614068,[19  7] ; [73 18],[20.44444444  5.55555556] ; [71.55555556 19.44444444],0
u2,1,0.483869,0.490131,[8 7] ; [18 10],[9.06976744 5.93023256] ; [16.93023256 11.06976744],0
r2,1,0.510113,0.433836,[24  2] ; [86  4],[24.65517241  1.34482759] ; [85.34482759  4.65517241],0
s3,1,0.510677,0.43268,[16  9] ; [51 39],[14.56521739 10.43478261] ; [52.43478261 37.56521739],0
u3,1,0.511552,0.43089,[7 8] ; [16 12],[8.02325581 6.97674419] ; [14.97674419 13.02325581],0
n6,1,0.552692,0.352517,[21  5] ; [77 13],[21.96551724  4.03448276] ; [76.03448276 13.96551724],0
p7,1,0.604908,0.267657,[20  5] ; [66 22],[19.02654867  5.97345133] ; [66.97345133 21.02654867],0
s5,1,0.620635,0.244976,[ 8 18] ; [31 55],[ 9.05357143 16.94642857] ; [29.94642857 56.05357143],0
a7,1,0.709932,0.138345,[17  9] ; [63 28],[17.77777778  8.22222222] ; [62.22222222 28.77777778],0
s2,1,0.718765,0.129679,[13 12] ; [51 40],[13.79310345 11.20689655] ; [50.20689655 40.79310345],0
p12,1,0.736828,0.112934,[ 1 25] ; [ 5 86],[ 1.33333333 24.66666667] ; [ 4.66666667 86.33333333],0
b2,1,0.814362,0.055132,[6 9] ; [23 30],[6.39705882 8.60294118] ; [22.60294118 30.39705882],0
b3,1,0.814362,0.055132,[6 9] ; [23 30],[6.39705882 8.60294118] ; [22.60294118 30.39705882],0
s7,1,0.829012,0.046643,[13 11] ; [46 43],[12.53097345 11.46902655] ; [46.46902655 42.53097345],0
p8,1,0.92113,0.009803,[14 12] ; [48 43],[13.77777778 12.22222222] ; [48.22222222 42.77777778],0
n2,1,0.940643,0.005544,[5 2] ; [21  9],[4.91891892 2.08108108] ; [21.08108108  8.91891892],0
s4,1,0.948622,0.004152,[ 4 22] ; [14 74],[ 4.10526316 21.89473684] ; [13.89473684 74.10526316],0
