Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.873265,[82  1] ; [5 3],[79.35164835  3.64835165] ; [7.64835165 0.35164835],1
r4,1,0.000846,11.136455,[80  4] ; [5 3],[77.60869565  6.39130435] ; [7.39130435 0.60869565],1
s3,1,0.002834,8.911559,[55 28] ; [1 7],[51.07692308 31.92307692] ; [4.92307692 3.07692308],0
r1,1,0.010879,6.484962,[72 12] ; [4 4],[69.39130435 14.60869565] ; [6.60869565 1.39130435],0
r3,1,0.011242,6.426604,[80  3] ; [6 2],[78.43956044  4.56043956] ; [7.56043956 0.43956044],0
s8,1,0.028166,4.817865,[53 29] ; [2 6],[50.11111111 31.88888889] ; [4.88888889 3.11111111],0
s7,1,0.071975,3.237395,[59 20] ; [3 4],[56.95348837 22.04651163] ; [5.04651163 1.95348837],0
n2,1,0.083709,2.991369,[13  3] ; [1 2],[11.78947368  4.21052632] ; [2.21052632 0.78947368],0
p6,1,0.123828,2.368218,[54 29] ; [3 5],[51.98901099 31.01098901] ; [5.01098901 2.98901099],0
p8,1,0.152735,2.04472,[69 14] ; [5 3],[67.49450549 15.50549451] ; [6.50549451 1.49450549],0
d2,1,0.176181,1.829545,[42 42] ; [6 2],[43.82608696 40.17391304] ; [4.17391304 3.82608696],0
n4,1,0.179012,1.805807,[76  8] ; [6 2],[74.86956522  9.13043478] ; [7.13043478 0.86956522],0
n5,1,0.179012,1.805807,[76  8] ; [6 2],[74.86956522  9.13043478] ; [7.13043478 0.86956522],0
a7,1,0.179434,1.802306,[61 23] ; [4 4],[59.34782609 24.65217391] ; [5.65217391 2.34782609],0
s2,1,0.187889,1.734092,[51 32] ; [3 5],[49.25274725 33.74725275] ; [4.74725275 3.25274725],0
n3,1,0.347756,0.881629,[10  6] ; [1 2],[9.26315789 6.73684211] ; [1.73684211 1.26315789],0
b2,1,0.371255,0.79946,[29 32] ; [4 2],[30.04477612 30.95522388] ; [2.95522388 3.04477612],0
b3,1,0.371255,0.79946,[29 32] ; [4 2],[30.04477612 30.95522388] ; [2.95522388 3.04477612],0
p12,1,0.454588,0.559187,[21 62] ; [3 5],[21.89010989 61.10989011] ; [2.10989011 5.89010989],0
a3,1,0.507308,0.439616,[65 19] ; [7 1],[65.73913043 18.26086957] ; [6.26086957 1.73913043],0
s6,1,0.56652,0.328541,[64 13] ; [6 2],[63.41176471 13.58823529] ; [6.58823529 1.41176471],0
p7,1,0.575648,0.313324,[68 14] ; [6 2],[67.42222222 14.57777778] ; [6.57777778 1.42222222],0
u1,1,0.598067,0.277921,[17 67] ; [1 7],[16.43478261 67.56521739] ; [1.56521739 6.43478261],0
s5,1,0.599126,0.276316,[50 26] ; [6 2],[50.66666667 25.33333333] ; [5.33333333 2.66666667],0
p3,1,0.618915,0.247395,[69 15] ; [6 2],[68.47826087 15.52173913] ; [6.52173913 1.47826087],0
a2,1,0.648434,0.20788,[16 68] ; [1 7],[15.52173913 68.47826087] ; [1.47826087 6.52173913],0
b5,1,0.67393,0.17704,[38 46] ; [3 5],[37.43478261 46.56521739] ; [3.56521739 4.43478261],0
d5,1,0.685092,0.16445,[68 16] ; [6 2],[67.56521739 16.43478261] ; [6.43478261 1.56521739],0
v1,1,0.699796,0.148684,[56 25] ; [5 3],[55.51685393 25.48314607] ; [5.48314607 2.51685393],0
d3,1,0.703289,0.145073,[58 26] ; [5 3],[57.52173913 26.47826087] ; [5.47826087 2.52173913],0
a4,1,0.721115,0.127427,[37 47] ; [3 5],[36.52173913 47.47826087] ; [3.47826087 4.52173913],0
p1,1,0.726621,0.122236,[26 58] ; [2 6],[25.56521739 58.43478261] ; [2.43478261 5.56521739],0
v3,1,0.763142,0.090816,[45 36] ; [4 4],[44.59550562 36.40449438] ; [4.40449438 3.59550562],0
b4,1,0.769536,0.085839,[48 36] ; [5 3],[48.39130435 35.60869565] ; [4.60869565 3.39130435],0
b1,1,0.769536,0.085839,[36 48] ; [3 5],[35.60869565 48.39130435] ; [3.39130435 4.60869565],0
p4,1,0.786578,0.073309,[76  8] ; [7 1],[75.7826087  8.2173913] ; [7.2173913 0.7826087],0
a6,1,0.819097,0.052307,[49 35] ; [5 3],[49.30434783 34.69565217] ; [4.69565217 3.30434783],0
v2,1,0.858588,0.031745,[48 33] ; [5 3],[48.23595506 32.76404494] ; [4.76404494 3.23595506],0
a8,1,0.938322,0.005988,[12 66] ; [1 6],[11.92941176 66.07058824] ; [1.07058824 5.92941176],0
a1,1,0.961901,0.002282,[11 73] ; [1 7],[10.95652174 73.04347826] ; [1.04347826 6.95652174],0
d1,1,0.973413,0.001111,[53 31] ; [5 3],[52.95652174 31.04347826] ; [5.04347826 2.95652174],0
a5,1,1.0,0.0,[63 21] ; [6 2],[63. 21.] ; [6. 2.],0
