Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,5.6e-05,16.227462,[ 93 113] ; [24  4],[103. 103.] ; [14. 14.],1
p3,1,0.000147,14.412753,[ 78 131] ; [21  7],[ 87.30379747 121.69620253] ; [11.69620253 16.30379747],1
s5,1,0.000536,11.984684,[ 51 150] ; [16 12],[ 58.80786026 142.19213974] ; [ 8.19213974 19.80786026],1
u4,1,0.003238,8.668534,[  3 207] ; [ 3 25],[  5.29411765 204.70588235] ; [ 0.70588235 27.29411765],0
n5,1,0.005962,7.561737,[151  57] ; [27  1],[156.88135593  51.11864407] ; [21.11864407  6.88135593],0
s6,1,0.007494,7.150472,[104 102] ; [21  6],[110.51502146  95.48497854] ; [14.48497854 12.51502146],0
p8,1,0.012113,6.294288,[ 81 125] ; [18 10],[ 87.15384615 118.84615385] ; [11.84615385 16.15384615],0
p7,1,0.013336,6.124034,[111  95] ; [22  6],[117.08547009  88.91452991] ; [15.91452991 12.08547009],0
v3,1,0.017243,5.6715,[ 69 134] ; [16 12],[ 74.6969697 128.3030303] ; [10.3030303 17.6969697],0
n4,1,0.023127,5.158919,[153  56] ; [26  2],[157.85232068  51.14767932] ; [21.14767932  6.85232068],0
p12,1,0.0316,4.620054,[  9 197] ; [ 4 24],[ 11.44444444 194.55555556] ; [ 1.55555556 26.44444444],0
p6,1,0.033237,4.533518,[ 57 146] ; [13 14],[ 61.7826087 141.2173913] ; [ 8.2173913 18.7826087],0
s7,1,0.037857,4.311414,[ 80 120] ; [17 11],[ 85.0877193 114.9122807] ; [11.9122807 16.0877193],0
p9,1,0.059687,3.546074,[150  56] ; [25  3],[154.05982906  51.94017094] ; [20.94017094  7.05982906],0
p1,1,0.09062,2.863332,[ 12 197] ; [ 4 24],[ 14.10970464 194.89029536] ; [ 1.89029536 26.10970464],0
d1,1,0.093715,2.809376,[ 85 125] ; [16 12],[ 89.11764706 120.88235294] ; [11.88235294 16.11764706],0
u3,1,0.103521,2.650439,[24 48] ; [5 3],[26.1 45.9] ; [2.9 5.1],0
n6,1,0.112706,2.515864,[158  50] ; [25  3],[161.28813559  46.71186441] ; [21.71186441  6.28813559],0
