Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,24.313897,[ 6 31] ; [47 24],[18.15740741 18.84259259] ; [34.84259259 36.15740741],1
s5,1,8.7e-05,15.407609,[ 3 33] ; [32 37],[12. 24.] ; [23. 46.],1
r3,1,0.001376,10.237443,[29  8] ; [69  2],[33.57407407  3.42592593] ; [64.42592593  6.57407407],0
s3,1,0.001683,9.866135,[12 25] ; [45 25],[19.71028037 17.28971963] ; [37.28971963 32.71028037],0
s8,1,0.002118,9.444441,[ 7 30] ; [35 36],[14.38888889 22.61111111] ; [27.61111111 43.38888889],0
s4,1,0.003427,8.564903,[ 3 34] ; [24 47],[ 9.25 27.75] ; [17.75 53.25],0
d3,1,0.0159,5.813846,[21 16] ; [56 15],[26.37962963 10.62037037] ; [50.62037037 20.37962963],0
d1,1,0.018293,5.567902,[12 25] ; [40 31],[17.81481481 19.18518519] ; [34.18518519 36.81481481],0
b4,1,0.021661,5.272848,[16 21] ; [47 24],[21.58333333 15.41666667] ; [41.41666667 29.58333333],0
s7,1,0.038211,4.295595,[10 25] ; [33 33],[14.9009901 20.0990099] ; [28.0990099 37.9009901],0
r4,1,0.041286,4.164251,[25 12] ; [60 11],[29.12037037  7.87962963] ; [55.87962963 15.12037037],0
p3,1,0.045156,4.012798,[16 21] ; [45 26],[20.89814815 16.10185185] ; [40.10185185 30.89814815],0
v3,1,0.051712,3.785056,[ 5 29] ; [22 45],[ 9.08910891 24.91089109] ; [17.91089109 49.08910891],0
r2,1,0.053128,3.7399,[29  8] ; [65  6],[32.2037037  4.7962963] ; [61.7962963  9.2037037],0
a6,1,0.05513,3.678148,[18 19] ; [48 23],[22.61111111 14.38888889] ; [43.38888889 27.61111111],0
p6,1,0.08797,2.911129,[ 9 28] ; [29 42],[13.01851852 23.98148148] ; [24.98148148 46.01851852],0
d4,1,0.098661,2.727052,[25 12] ; [58 13],[28.43518519  8.56481481] ; [54.56481481 16.43518519],0
a2,1,0.11588,2.47214,[ 3 34] ; [14 57],[ 5.82407407 31.17592593] ; [11.17592593 59.82407407],0
