Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,4e-05,16.860367,[2 5] ; [108  16],[5.8778626 1.1221374] ; [104.1221374  19.8778626],1
r4,1,8.8e-05,15.380466,[3 4] ; [114  11],[6.20454545 0.79545455] ; [110.79545455  14.20454545],1
s1,1,0.004975,7.888439,[2 5] ; [  5 119],[0.3740458 6.6259542] ; [  6.6259542 117.3740458],0
n6,1,0.010471,6.55298,[3 4] ; [103  22],[5.62121212 1.37878788] ; [100.37878788  24.62121212],0
p5,1,0.019644,5.443214,[2 5] ; [  7 117],[0.48091603 6.51908397] ; [  8.51908397 115.48091603],0
a5,1,0.032227,4.586404,[2 5] ; [85 40],[4.61363636 2.38636364] ; [82.38636364 42.61363636],0
a6,1,0.033734,4.508151,[2 5] ; [84 40],[4.59541985 2.40458015] ; [81.40458015 42.59541985],0
d5,1,0.068228,3.325143,[3 4] ; [93 32],[5.09090909 1.90909091] ; [90.90909091 34.09090909],0
d4,1,0.068228,3.325143,[3 4] ; [93 32],[5.09090909 1.90909091] ; [90.90909091 34.09090909],0
p1,1,0.092219,2.835205,[2 5] ; [ 11 112],[0.7 6.3] ; [ 12.3 110.7],0
p11,1,0.150004,2.072214,[4 3] ; [100  25],[5.51515152 1.48484848] ; [98.48484848 26.51515152],0
p7,1,0.15165,2.055576,[2 3] ; [85 36],[3.45238095 1.54761905] ; [83.54761905 37.45238095],0
n4,1,0.169686,1.885714,[3 4] ; [85 40],[4.66666667 2.33333333] ; [83.33333333 41.66666667],0
n3,1,0.216086,1.530179,[1 2] ; [20  9],[1.96875 1.03125] ; [19.03125  9.96875],0
n5,1,0.259859,1.269507,[3 4] ; [80 45],[4.40151515 2.59848485] ; [78.59848485 46.40151515],0
r1,1,0.268434,1.224733,[4 3] ; [94 30],[5.23664122 1.76335878] ; [92.76335878 31.23664122],0
d1,1,0.278667,1.17358,[2 5] ; [62 63],[3.39393939 3.60606061] ; [60.60606061 64.39393939],0
b4,1,0.278667,1.17358,[5 2] ; [63 62],[3.60606061 3.39393939] ; [64.39393939 60.60606061],0
v4,1,0.279582,1.169121,[6 1] ; [118   6],[6.6259542 0.3740458] ; [117.3740458   6.6259542],0
n1,1,0.295544,1.094194,[2 1] ; [10 18],[1.16129032 1.83870968] ; [10.83870968 17.16129032],0
p3,1,0.324328,0.971413,[1 6] ; [40 85],[2.17424242 4.82575758] ; [38.82575758 86.17424242],0
u2,1,0.330835,0.945626,[2 1] ; [18 29],[1.2 1.8] ; [18.8 28.2],0
s5,1,0.358966,0.841509,[1 6] ; [37 84],[2.078125 4.921875] ; [35.921875 85.078125],0
u3,1,0.371948,0.797144,[2 1] ; [19 28],[1.26 1.74] ; [19.74 27.26],0
a4,1,0.388222,0.744503,[1 5] ; [42 83],[1.96946565 4.03053435] ; [41.03053435 83.96946565],0
s2,1,0.399865,0.708733,[2 5] ; [56 69],[3.07575758 3.92424242] ; [54.92424242 70.07575758],0
s6,1,0.424831,0.636913,[3 4] ; [71 51],[4.01550388 2.98449612] ; [69.98449612 52.01550388],0
a7,1,0.42788,0.628571,[6 1] ; [90 35],[5.09090909 1.90909091] ; [90.90909091 34.09090909],0
v1,1,0.489868,0.476815,[4 3] ; [53 68],[3.1171875 3.8828125] ; [53.8828125 67.1171875],0
b2,1,0.539055,0.377295,[1 4] ; [22 44],[1.61971831 3.38028169] ; [21.38028169 44.61971831],0
b3,1,0.539055,0.377295,[1 4] ; [22 44],[1.61971831 3.38028169] ; [21.38028169 44.61971831],0
s8,1,0.547045,0.362637,[2 5] ; [50 75],[2.75757576 4.24242424] ; [49.24242424 75.75757576],0
d2,1,0.601905,0.272132,[2 5] ; [48 77],[2.65151515 4.34848485] ; [47.34848485 77.65151515],0
n2,1,0.614051,0.254319,[2 1] ; [23  6],[2.34375 0.65625] ; [22.65625  6.34375],0
s3,1,0.623277,0.241288,[2 3] ; [64 61],[2.53846154 2.46153846] ; [63.46153846 61.53846154],0
s7,1,0.661569,0.191624,[3 3] ; [50 72],[2.484375 3.515625] ; [50.515625 71.484375],0
p10,1,0.697594,0.150987,[6 1] ; [98 25],[5.6 1.4] ; [98.4 24.6],0
p6,1,0.741553,0.108766,[2 5] ; [28 93],[1.640625 5.359375] ; [28.359375 92.640625],0
b5,1,0.746853,0.104194,[4 3] ; [79 46],[4.40151515 2.59848485] ; [78.59848485 46.40151515],0
v3,1,0.783453,0.075527,[2 5] ; [41 81],[2.33333333 4.66666667] ; [40.66666667 81.33333333],0
b1,1,0.783591,0.075429,[2 5] ; [42 83],[2.33333333 4.66666667] ; [41.66666667 83.33333333],0
a2,1,0.822011,0.050607,[1 6] ; [ 22 103],[1.21969697 5.78030303] ; [ 21.78030303 103.21969697],0
a3,1,0.852007,0.034804,[4 2] ; [78 46],[3.78461538 2.21538462] ; [78.21538462 45.78461538],0
d3,1,0.880715,0.022519,[4 3] ; [75 50],[4.18939394 2.81060606] ; [74.81060606 50.18939394],0
s4,1,0.915665,0.011214,[1 6] ; [ 16 108],[0.90839695 6.09160305] ; [ 16.09160305 107.90839695],0
p9,1,0.933976,0.006863,[6 1] ; [104  19],[5.92307692 1.07692308] ; [104.07692308  18.92307692],0
