Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,33.25643,[64 64] ; [158 482],[37. 91.] ; [185. 455.],1
s2,1,0.0,29.480469,[94 40] ; [290 363],[65.38246506 68.61753494] ; [318.61753494 334.38246506],1
s6,1,0.0,28.127115,[112  21] ; [390 260],[85.26947637 47.73052363] ; [416.73052363 233.26947637],1
s3,1,6e-06,20.584937,[98 37] ; [332 316],[74.13793103 60.86206897] ; [355.86206897 292.13793103],1
n4,1,0.00051,12.078714,[84 53] ; [497 159],[100.37452711  36.62547289] ; [480.62547289 175.37452711],1
s7,1,0.000767,11.319029,[78 55] ; [267 359],[60.45454545 72.54545455] ; [284.54545455 341.45454545],1
a8,1,0.001101,10.649422,[  6 121] ; [ 94 504],[ 17.51724138 109.48275862] ; [ 82.48275862 515.51724138],0
b3,1,0.008348,6.957169,[15 56] ; [146 245],[24.74242424 46.25757576] ; [136.25757576 254.74242424],0
b2,1,0.008348,6.957169,[15 56] ; [146 245],[24.74242424 46.25757576] ; [136.25757576 254.74242424],0
v2,1,0.019539,5.452595,[63 69] ; [371 260],[75.08256881 56.91743119] ; [358.91743119 272.08256881],0
v3,1,0.030137,4.701438,[38 95] ; [244 389],[48.96344648 84.03655352] ; [233.03655352 399.96344648],0
d3,1,0.100906,2.691164,[101  35] ; [440 216],[92.8989899 43.1010101] ; [448.1010101 207.8989899],0
s8,1,0.115049,2.483465,[65 72] ; [263 392],[56.73737374 80.26262626] ; [271.26262626 383.73737374],0
r1,1,0.117934,2.444546,[102  35] ; [525 128],[108.73291139  28.26708861] ; [518.26708861 134.73291139],0
a6,1,0.118374,2.438708,[85 52] ; [452 204],[92.77301387 44.22698613] ; [444.22698613 211.77301387],0
p2,1,0.123022,2.378422,[105  32] ; [539 116],[111.3989899  25.6010101] ; [532.6010101 122.3989899],0
n5,1,0.129452,2.299059,[89 48] ; [466 186],[96.36882129 40.63117871] ; [458.63117871 193.36882129],0
a1,1,0.150073,2.071509,[  2 135] ; [ 26 632],[  4.82515723 132.17484277] ; [ 23.17484277 634.82515723],0
v1,1,0.156988,2.003003,[62 74] ; [334 305],[69.4916129 66.5083871] ; [326.5083871 312.4916129],0
p11,1,0.166511,1.914079,[100  37] ; [516 142],[106.15345912  30.84654088] ; [509.84654088 148.15345912],0
d2,1,0.185325,1.754396,[58 79] ; [318 337],[65.04040404 71.95959596] ; [310.95959596 344.04040404],0
p6,1,0.188791,1.727026,[51 85] ; [205 442],[44.46487867 91.53512133] ; [211.53512133 435.46487867],0
p10,1,0.20158,1.630886,[112  24] ; [503 147],[106.41221374  29.58778626] ; [508.58778626 141.41221374],0
u2,1,0.22704,1.459308,[22 25] ; [112  86],[25.70612245 21.29387755] ; [108.29387755  89.70612245],0
u3,1,0.260014,1.268681,[30 17] ; [109  90],[26.55691057 20.44308943] ; [112.44308943  86.55691057],0
a2,1,0.262352,1.256302,[ 27 110] ; [159 499],[ 32.05283019 104.94716981] ; [153.94716981 504.05283019],0
p9,1,0.291877,1.110945,[115  20] ; [528 121],[110.72066327  24.27933673] ; [532.27933673 116.72066327],0
a7,1,0.301233,1.068727,[93 43] ; [478 179],[97.92686003 38.07313997] ; [473.07313997 183.92686003],0
p3,1,0.321908,0.981178,[67 70] ; [290 365],[61.75378788 75.24621212] ; [295.24621212 359.75378788],0
d4,1,0.341219,0.905846,[108  29] ; [539 116],[111.91792929  25.08207071] ; [535.08207071 119.91792929],0
p12,1,0.347066,0.884154,[  5 131] ; [ 37 616],[  7.23954373 128.76045627] ; [ 34.76045627 618.23954373],0
a5,1,0.358485,0.843195,[94 43] ; [477 181],[98.39874214 38.60125786] ; [472.60125786 185.39874214],0
a3,1,0.366615,0.815106,[90 47] ; [456 199],[94.4469697 42.5530303] ; [451.5530303 203.4469697],0
d1,1,0.384357,0.756721,[74 63] ; [382 276],[78.58113208 58.41886792] ; [377.41886792 280.58113208],0
b1,1,0.45364,0.561542,[48 89] ; [253 405],[51.87044025 85.12955975] ; [249.12955975 408.87044025],0
p1,1,0.462529,0.539768,[ 10 127] ; [ 37 616],[  8.15063291 128.84936709] ; [ 38.84936709 614.15063291],0
b4,1,0.540705,0.374234,[83 54] ; [380 278],[79.78742138 57.21257862] ; [383.21257862 274.78742138],0
