Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.632749,[18  1] ; [14 31],[9.5 9.5] ; [22.5 22.5],1
d2,1,3.1e-05,17.378331,[13  6] ; [ 7 38],[ 5.9375 13.0625] ; [14.0625 30.9375],1
d5,1,5.5e-05,16.264662,[18  1] ; [18 27],[10.6875  8.3125] ; [25.3125 19.6875],1
v2,1,0.002467,9.164782,[12  7] ; [10 33],[ 6.74193548 12.25806452] ; [15.25806452 27.74193548],0
a2,1,0.010329,6.577239,[ 4 15] ; [ 1 44],[ 1.484375 17.515625] ; [ 3.515625 41.484375],0
a4,1,0.026089,4.950114,[ 9 10] ; [ 9 36],[ 5.34375 13.65625] ; [12.65625 32.34375],0
a3,1,0.039094,4.256782,[14  5] ; [20 24],[10.25396825  8.74603175] ; [23.74603175 20.25396825],0
v3,1,0.040026,4.216764,[ 8 11] ; [ 8 37],[ 4.75 14.25] ; [11.25 33.75],0
a6,1,0.055472,3.667836,[13  6] ; [19 26],[9.5 9.5] ; [22.5 22.5],0
p7,1,0.067716,3.337529,[ 5 14] ; [23 22],[ 8.3125 10.6875] ; [19.6875 25.3125],0
v1,1,0.107066,2.597004,[ 9 10] ; [12 33],[ 6.234375 12.765625] ; [14.765625 30.234375],0
p1,1,0.122313,2.387456,[ 3 16] ; [ 2 43],[ 1.484375 17.515625] ; [ 3.515625 41.484375],0
p5,1,0.136086,2.221664,[ 5 14] ; [ 5 39],[ 3.01587302 15.98412698] ; [ 6.98412698 37.01587302],0
s6,1,0.148252,2.090148,[10  9] ; [15 30],[ 7.421875 11.578125] ; [17.578125 27.421875],0
a8,1,0.158726,1.98632,[ 1 16] ; [ 9 34],[ 2.83333333 14.16666667] ; [ 7.16666667 35.83333333],0
p11,1,0.174427,1.844474,[14  5] ; [25 20],[11.578125  7.421875] ; [27.421875 17.578125],0
n6,1,0.205811,1.600651,[14  5] ; [25 19],[11.76190476  7.23809524] ; [27.23809524 16.76190476],0
a7,1,0.227774,1.45471,[12  7] ; [21 24],[9.796875 9.203125] ; [23.203125 21.796875],0
b1,1,0.271624,1.208525,[ 9 10] ; [28 17],[10.984375  8.015625] ; [26.015625 18.984375],0
u3,1,0.334428,0.931677,[2 3] ; [ 5 20],[1.16666667 3.83333333] ; [ 5.83333333 19.16666667],0
s1,1,0.35844,0.843353,[ 2 17] ; [ 2 43],[ 1.1875 17.8125] ; [ 2.8125 42.1875],0
v4,1,0.376412,0.782388,[12  7] ; [23 22],[10.390625  8.609375] ; [24.609375 20.390625],0
a5,1,0.376412,0.782388,[12  7] ; [23 22],[10.390625  8.609375] ; [24.609375 20.390625],0
p6,1,0.382039,0.76413,[ 2 16] ; [ 9 35],[ 3.19354839 14.80645161] ; [ 7.80645161 36.19354839],0
p2,1,0.425251,0.635758,[13  6] ; [26 19],[11.578125  7.421875] ; [27.421875 17.578125],0
u2,1,0.512691,0.428571,[2 3] ; [14 11],[2.66666667 2.33333333] ; [13.33333333 11.66666667],0
n3,1,0.52518,0.403708,[4 4] ; [12  7],[4.74074074 3.25925926] ; [11.25925926  7.74074074],0
p8,1,0.542883,0.370222,[ 5 14] ; [15 29],[ 6.03174603 12.96825397] ; [13.96825397 30.03174603],0
p4,1,0.548733,0.359592,[10  9] ; [20 25],[ 8.90625 10.09375] ; [21.09375 23.90625],0
s3,1,0.557392,0.34424,[ 4 14] ; [13 31],[ 4.93548387 13.06451613] ; [12.06451613 31.93548387],0
b2,1,0.575731,0.313187,[ 4 10] ; [ 9 15],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
b3,1,0.575731,0.313187,[ 4 10] ; [ 9 15],[4.78947368 9.21052632] ; [ 8.21052632 15.78947368],0
b5,1,0.585522,0.297392,[10  9] ; [27 18],[10.984375  8.015625] ; [26.015625 18.984375],0
s8,1,0.635586,0.224561,[ 4 15] ; [12 33],[ 4.75 14.25] ; [11.25 33.75],0
s2,1,0.639994,0.21875,[ 5 13] ; [10 35],[ 4.28571429 13.71428571] ; [10.71428571 34.28571429],0
r3,1,0.662301,0.190741,[14  5] ; [30 14],[13.26984127  5.73015873] ; [30.73015873 13.26984127],0
r4,1,0.689644,0.159471,[ 6 13] ; [12 33],[ 5.34375 13.65625] ; [12.65625 32.34375],0
n2,1,0.706197,0.142105,[4 4] ; [11  8],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
p9,1,0.728032,0.120927,[10  7] ; [28 16],[10.59016393  6.40983607] ; [27.40983607 16.59016393],0
s7,1,0.762772,0.091109,[ 3 12] ; [10 32],[ 3.42105263 11.57894737] ; [ 9.57894737 32.42105263],0
p3,1,0.783632,0.075399,[ 5 13] ; [11 34],[ 4.57142857 13.42857143] ; [11.42857143 33.57142857],0
p12,1,0.837317,0.042159,[ 2 17] ; [ 4 41],[ 1.78125 17.21875] ; [ 4.21875 40.78125],0
u1,1,0.887418,0.020043,[ 1 18] ; [ 2 43],[ 0.890625 18.109375] ; [ 2.109375 42.890625],0
p10,1,0.942169,0.005263,[10  8] ; [24 20],[9.87096774 8.12903226] ; [24.12903226 19.87096774],0
r1,1,0.943683,0.00499,[ 7 12] ; [17 28],[ 7.125 11.875] ; [16.875 28.125],0
b4,1,0.943683,0.00499,[12  7] ; [28 17],[11.875  7.125] ; [28.125 16.875],0
n4,1,0.959007,0.002642,[10  9] ; [24 21],[10.09375  8.90625] ; [23.90625 21.09375],0
s5,1,0.981214,0.000554,[ 3 16] ; [ 7 38],[ 2.96875 16.03125] ; [ 7.03125 37.96875],0
