Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.002284,9.306394,[11  5] ; [ 4 17],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
p10,1,0.023775,5.110992,[14  2] ; [11 10],[10.81081081  5.18918919] ; [14.18918919  6.81081081],0
d5,1,0.050563,3.822704,[12  4] ; [ 9 12],[9.08108108 6.91891892] ; [11.91891892  9.08108108],0
s2,1,0.068406,3.320866,[ 3 13] ; [10 11],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
b4,1,0.089346,2.88612,[9 7] ; [ 6 15],[6.48648649 9.51351351] ; [ 8.51351351 12.48648649],0
s8,1,0.103388,2.652483,[7 9] ; [ 4 17],[ 4.75675676 11.24324324] ; [ 6.24324324 14.75675676],0
v3,1,0.103388,2.652483,[7 9] ; [ 4 17],[ 4.75675676 11.24324324] ; [ 6.24324324 14.75675676],0
s7,1,0.110175,2.551706,[6 7] ; [ 4 16],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
a6,1,0.141182,2.165031,[ 6 10] ; [13  8],[8.21621622 7.78378378] ; [10.78378378 10.21621622],0
s4,1,0.143389,2.141204,[ 2 14] ; [ 7 14],[ 3.89189189 12.10810811] ; [ 5.10810811 15.89189189],0
s3,1,0.198672,1.652113,[ 5 11] ; [11 10],[6.91891892 9.08108108] ; [ 9.08108108 11.91891892],0
a4,1,0.199266,1.647748,[7 9] ; [ 5 16],[ 5.18918919 10.81081081] ; [ 6.81081081 14.18918919],0
b3,1,0.2113,1.5625,[3 6] ; [ 2 14],[1.8 7.2] ; [ 3.2 12.8],0
b2,1,0.2113,1.5625,[3 6] ; [ 2 14],[1.8 7.2] ; [ 3.2 12.8],0
v2,1,0.230139,1.44,[8 7] ; [ 7 14],[6.25 8.75] ; [ 8.75 12.25],0
p3,1,0.236294,1.402569,[ 6 10] ; [12  9],[7.78378378 8.21621622] ; [10.21621622 10.78378378],0
d4,1,0.259653,1.270604,[12  4] ; [12  9],[10.37837838  5.62162162] ; [13.62162162  7.37837838],0
n3,1,0.261651,1.26,[2 2] ; [8 2],[2.85714286 1.14285714] ; [7.14285714 2.85714286],0
a7,1,0.272294,1.205156,[9 7] ; [ 8 13],[7.35135135 8.64864865] ; [ 9.64864865 11.35135135],0
u2,1,0.30797,1.039361,[6 1] ; [7 4],[5.05555556 1.94444444] ; [7.94444444 3.05555556],0
a5,1,0.315041,1.009425,[11  5] ; [11 10],[9.51351351 6.48648649] ; [12.48648649  8.51351351],0
r3,1,0.322386,0.979244,[13  3] ; [14  7],[11.67567568  4.32432432] ; [15.32432432  5.67567568],0
p6,1,0.337998,0.918012,[7 9] ; [ 6 15],[ 5.62162162 10.37837838] ; [ 7.37837838 13.62162162],0
b5,1,0.368209,0.809699,[10  6] ; [10 11],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
u3,1,0.387094,0.748052,[4 3] ; [4 7],[3.11111111 3.88888889] ; [4.88888889 6.11111111],0
