Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.003256,8.657939,[64 11] ; [15 11],[58.66336634 16.33663366] ; [20.33663366  5.66336634],0
s2,1,0.012317,6.264612,[43 32] ; [22  4],[48.26732673 26.73267327] ; [16.73267327  9.26732673],0
a2,1,0.030703,4.669478,[17 58] ; [ 1 25],[13.36633663 61.63366337] ; [ 4.63366337 21.36633663],0
n1,1,0.063628,3.440196,[14  6] ; [3 6],[11.72413793  8.27586207] ; [5.27586207 3.72413793],0
s6,1,0.064298,3.422896,[55 18] ; [24  2],[58.25252525 14.74747475] ; [20.74747475  5.25252525],0
a3,1,0.064438,3.419298,[56 17] ; [15 11],[52.35353535 20.64646465] ; [18.64646465  7.35353535],0
s7,1,0.070077,3.281208,[36 38] ; [18  8],[39.96 34.04] ; [14.04 11.96],0
a8,1,0.071799,3.2414,[14 52] ; [ 1 21],[11.25 54.75] ; [ 3.75 18.25],0
p3,1,0.081299,3.038732,[25 50] ; [ 4 22],[21.53465347 53.46534653] ; [ 7.46534653 18.53465347],0
s3,1,0.088623,2.899202,[45 27] ; [21  5],[48.48979592 23.51020408] ; [17.51020408  8.48979592],0
p2,1,0.092183,2.835828,[58 16] ; [16 10],[54.76 19.24] ; [19.24  6.76],0
p7,1,0.107079,2.596813,[43 28] ; [10 14],[39.61052632 31.38947368] ; [13.38947368 10.61052632],0
p8,1,0.126477,2.335218,[31 42] ; [ 6 18],[27.84536082 45.15463918] ; [ 9.15463918 14.84536082],0
n4,1,0.128309,2.312843,[52 22] ; [14 12],[48.84 25.16] ; [17.16  8.84],0
d5,1,0.131345,2.276536,[60 15] ; [17  9],[57.17821782 17.82178218] ; [19.82178218  6.17821782],0
a6,1,0.154827,2.02404,[46 28] ; [12 14],[42.92 31.08] ; [15.08 10.92],0
d2,1,0.171349,1.871102,[40 34] ; [10 16],[37. 37.] ; [13. 13.],0
p9,1,0.184061,1.764528,[58 14] ; [23  2],[60.12371134 11.87628866] ; [20.87628866  4.12371134],0
b2,1,0.215948,1.531099,[24 27] ; [ 4 10],[21.96923077 29.03076923] ; [6.03076923 7.96923077],0
b3,1,0.215948,1.531099,[24 27] ; [ 4 10],[21.96923077 29.03076923] ; [6.03076923 7.96923077],0
u1,1,0.233552,1.419099,[13 62] ; [ 2 24],[11.13861386 63.86138614] ; [ 3.86138614 22.13861386],0
d1,1,0.233938,1.416756,[39 36] ; [10 16],[36.38613861 38.61386139] ; [12.61386139 13.38613861],0
v1,1,0.246462,1.343246,[40 32] ; [11 15],[37.46938776 34.53061224] ; [13.53061224 12.46938776],0
a5,1,0.25672,1.286361,[55 20] ; [16 10],[52.72277228 22.27722772] ; [18.27722772  7.72277228],0
d4,1,0.337589,0.919564,[63 11] ; [20  6],[61.42 12.58] ; [21.58  4.42],0
b1,1,0.340379,0.909002,[31 44] ; [ 8 18],[28.96039604 46.03960396] ; [10.03960396 15.96039604],0
n6,1,0.352483,0.864497,[62 11] ; [20  6],[60.46464646 12.53535354] ; [21.53535354  4.46464646],0
s8,1,0.36181,0.831601,[35 39] ; [15 11],[37. 37.] ; [13. 13.],0
p11,1,0.362226,0.830162,[56 19] ; [17  9],[54.20792079 20.79207921] ; [18.79207921  7.20792079],0
p10,1,0.413815,0.667812,[57 17] ; [22  4],[58.46 15.54] ; [20.54  5.46],0
v4,1,0.446359,0.579882,[66  6] ; [25  1],[66.85714286  5.14285714] ; [24.14285714  1.85714286],0
p6,1,0.460919,0.543662,[17 57] ; [ 4 21],[15.6969697 58.3030303] ; [ 5.3030303 19.6969697],0
u2,1,0.513919,0.426079,[ 6 12] ; [5 6],[ 6.82758621 11.17241379] ; [4.17241379 6.82758621],0
a7,1,0.514636,0.42463,[48 26] ; [15 11],[46.62 27.38] ; [16.38  9.62],0
p1,1,0.518297,0.417281,[ 9 64] ; [ 2 24],[ 8.11111111 64.88888889] ; [ 2.88888889 23.11111111],0
p12,1,0.530908,0.392653,[ 9 65] ; [ 2 24],[ 8.14 65.86] ; [ 2.86 23.14],0
u3,1,0.557765,0.343588,[10  9] ; [7 4],[10.76666667  8.23333333] ; [6.23333333 4.76666667],0
v2,1,0.598726,0.276921,[41 32] ; [12 12],[39.88659794 33.11340206] ; [13.11340206 10.88659794],0
n5,1,0.606576,0.265191,[49 24] ; [16 10],[47.92929293 25.07070707] ; [17.07070707  8.92929293],0
n3,1,0.664617,0.187963,[14  6] ; [7 2],[14.48275862  5.51724138] ; [6.51724138 2.48275862],0
r4,1,0.690788,0.158234,[64 11] ; [23  3],[64.6039604 10.3960396] ; [22.3960396  3.6039604],0
v3,1,0.727981,0.120974,[22 50] ; [ 7 19],[21.30612245 50.69387755] ; [ 7.69387755 18.30612245],0
r3,1,0.772667,0.083456,[66  7] ; [24  2],[66.36363636  6.63636364] ; [23.63636364  2.36363636],0
r2,1,0.786344,0.073474,[70  2] ; [25  1],[69.79591837  2.20408163] ; [25.20408163  0.79591837],0
a4,1,0.79721,0.066028,[31 44] ; [10 16],[30.44554455 44.55445545] ; [10.55445545 15.44554455],0
b4,1,0.804233,0.061441,[47 28] ; [17  9],[47.52475248 27.47524752] ; [16.47524752  9.52475248],0
b5,1,0.942288,0.005241,[41 34] ; [14 12],[40.84158416 34.15841584] ; [14.15841584 11.84158416],0
d3,1,0.953279,0.003433,[37 38] ; [13 13],[37.12871287 37.87128713] ; [12.87128713 13.12871287],0
s1,1,0.97235,0.001201,[ 3 72] ; [ 1 25],[ 2.97029703 72.02970297] ; [ 1.02970297 24.97029703],0
