Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,23.089903,[ 6 39] ; [62 50],[19.49044586 25.50955414] ; [48.50955414 63.49044586],1
a4,1,6e-06,20.357434,[ 7 37] ; [62 49],[19.58709677 24.41290323] ; [49.41290323 61.58709677],1
d5,1,5.5e-05,16.266266,[25 20] ; [95 16],[34.61538462 10.38461538] ; [85.38461538 25.61538462],1
a3,1,0.000286,13.162759,[21 22] ; [88 24],[30.23870968 12.76129032] ; [78.76129032 33.23870968],1
d1,1,0.000957,10.909153,[13 32] ; [65 47],[22.3566879 22.6433121] ; [55.6433121 56.3566879],1
u1,1,0.003934,8.313993,[ 1 44] ; [23 89],[ 6.87898089 38.12101911] ; [17.12101911 94.87898089],0
n6,1,0.007301,7.197489,[30 15] ; [95 16],[36.05769231  8.94230769] ; [88.94230769 22.05769231],0
b4,1,0.010214,6.597258,[18 27] ; [70 42],[25.22292994 19.77707006] ; [62.77707006 49.22292994],0
p11,1,0.017452,5.650328,[27 18] ; [88 24],[32.96178344 12.03821656] ; [82.03821656 29.96178344],0
r1,1,0.026971,4.892677,[31 14] ; [93 17],[36.  9.] ; [88. 22.],0
a6,1,0.032367,4.57893,[21 24] ; [73 39],[26.94267516 18.05732484] ; [67.05732484 44.94267516],0
r4,1,0.039006,4.260602,[35 10] ; [101  11],[38.98089172  6.01910828] ; [97.01910828 14.98089172],0
s8,1,0.081001,3.044694,[15 30] ; [54 57],[19.90384615 25.09615385] ; [49.09615385 61.90384615],0
d3,1,0.081091,3.042908,[23 22] ; [74 38],[27.80254777 17.19745223] ; [69.19745223 42.80254777],0
u2,1,0.082194,3.020979,[16  8] ; [10 14],[13. 11.] ; [13. 11.],0
p4,1,0.102,2.673995,[23 22] ; [73 39],[27.51592357 17.48407643] ; [68.48407643 43.51592357],0
p8,1,0.115814,2.473032,[19 25] ; [64 48],[23.41025641 20.58974359] ; [59.58974359 52.41025641],0
n5,1,0.122183,2.389114,[31 14] ; [90 22],[34.68152866 10.31847134] ; [86.31847134 25.68152866],0
