Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,54.158941,[ 1 29] ; [57 12],[17.57575758 12.42424242] ; [40.42424242 28.57575758],1
v4,1,1e-06,25.128723,[11 19] ; [58  9],[21.34020619  8.65979381] ; [47.65979381 19.34020619],1
p11,1,7e-06,20.120537,[ 4 26] ; [43 26],[14.24242424 15.75757576] ; [32.75757576 36.24242424],1
r1,1,2e-05,18.19209,[ 9 21] ; [52 17],[18.48484848 11.51515152] ; [42.51515152 26.48484848],1
a1,1,0.000241,13.481241,[ 7 23] ; [ 1 68],[ 2.42424242 27.57575758] ; [ 5.57575758 63.42424242],1
v2,1,0.00078,11.287045,[ 3 26] ; [30 35],[10.18085106 18.81914894] ; [22.81914894 42.18085106],1
d4,1,0.002153,9.414576,[14 16] ; [53 15],[20.51020408  9.48979592] ; [46.48979592 21.51020408],0
p2,1,0.002205,9.370695,[ 9 21] ; [42 24],[15.9375 14.0625] ; [35.0625 30.9375],0
b3,1,0.003916,8.322319,[10  8] ; [ 6 29],[ 5.43396226 12.56603774] ; [10.56603774 24.43396226],0
b2,1,0.003916,8.322319,[10  8] ; [ 6 29],[ 5.43396226 12.56603774] ; [10.56603774 24.43396226],0
p4,1,0.011104,6.448591,[ 3 27] ; [23 43],[ 8.125 21.875] ; [17.875 48.125],0
a6,1,0.013645,6.083466,[13 17] ; [48 21],[18.48484848 11.51515152] ; [42.51515152 26.48484848],0
a7,1,0.013645,6.083466,[13 17] ; [48 21],[18.48484848 11.51515152] ; [42.51515152 26.48484848],0
r2,1,0.014265,6.004998,[19 10] ; [60  9],[23.37755102  5.62244898] ; [55.62244898 13.37755102],0
d5,1,0.020364,5.380435,[15 15] ; [51 18],[20. 10.] ; [46. 23.],0
n5,1,0.02274,5.188235,[18 12] ; [24 44],[12.85714286 17.14285714] ; [29.14285714 38.85714286],0
p8,1,0.053878,3.716469,[ 4 25] ; [22 45],[ 7.85416667 21.14583333] ; [18.14583333 48.85416667],0
b5,1,0.055299,3.673043,[12 18] ; [42 27],[16.36363636 13.63636364] ; [37.63636364 31.36363636],0
p10,1,0.055549,3.665531,[ 9 20] ; [35 32],[13.29166667 15.70833333] ; [30.70833333 36.29166667],0
d3,1,0.063164,3.452297,[12 18] ; [41 27],[16.2244898 13.7755102] ; [36.7755102 31.2244898],0
p7,1,0.075213,3.165414,[ 7 22] ; [29 38],[10.875 18.125] ; [25.125 41.875],0
p9,1,0.07973,3.070397,[11 18] ; [39 29],[14.94845361 14.05154639] ; [35.05154639 32.94845361],0
a5,1,0.079869,3.067563,[13 17] ; [43 26],[16.96969697 13.03030303] ; [39.03030303 29.96969697],0
u3,1,0.105264,2.62392,[4 9] ; [13  9],[6.31428571 6.68571429] ; [10.68571429 11.31428571],0
u2,1,0.148571,2.086861,[5 8] ; [14  8],[7.05714286 5.94285714] ; [11.94285714 10.05714286],0
s2,1,0.155357,2.018848,[ 3 27] ; [15 53],[ 5.51020408 24.48979592] ; [12.48979592 55.51020408],0
v3,1,0.177151,1.821367,[ 5 25] ; [19 45],[ 7.65957447 22.34042553] ; [16.34042553 47.65957447],0
s8,1,0.188856,1.726522,[ 1 29] ; [ 8 61],[ 2.72727273 27.27272727] ; [ 6.27272727 62.72727273],0
p3,1,0.203628,1.616162,[ 5 25] ; [19 47],[ 7.5 22.5] ; [16.5 49.5],0
s7,1,0.215564,1.533659,[ 2 24] ; [11 50],[ 3.88505747 22.11494253] ; [ 9.11494253 51.88505747],0
n1,1,0.267783,1.22807,[8 8] ; [ 6 13],[6.4 9.6] ; [ 7.6 11.4],0
n3,1,0.267783,1.22807,[8 8] ; [13  6],[9.6 6.4] ; [11.4  7.6],0
n2,1,0.272294,1.205156,[7 9] ; [13  8],[8.64864865 7.35135135] ; [11.35135135  9.64864865],0
p6,1,0.280209,1.166076,[ 3 27] ; [12 52],[ 4.78723404 25.21276596] ; [10.21276596 53.78723404],0
d1,1,0.28885,1.124973,[ 8 22] ; [26 43],[10.3030303 19.6969697] ; [23.6969697 45.3030303],0
b1,1,0.304458,1.054565,[19 11] ; [36 33],[16.66666667 13.33333333] ; [38.33333333 30.66666667],0
v1,1,0.329619,0.950393,[ 8 22] ; [25 43],[10.10204082 19.89795918] ; [22.89795918 45.10204082],0
p1,1,0.344759,0.892654,[ 4 26] ; [ 5 63],[ 2.75510204 27.24489796] ; [ 6.24489796 61.75510204],0
a3,1,0.36738,0.812507,[17 12] ; [47 22],[18.93877551 10.06122449] ; [45.06122449 23.93877551],0
