Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,26.470475,[53 61] ; [ 31 140],[33.6 80.4] ; [ 50.4 120.6],1
r3,1,9e-06,19.779808,[110   3] ; [137  37],[97.25087108 15.74912892] ; [149.74912892  24.25087108],1
r1,1,1.2e-05,19.16284,[91 23] ; [95 79],[73.625 40.375] ; [112.375  61.625],1
r4,1,0.000393,12.56608,[100  14] ; [122  53],[87.57093426 26.42906574] ; [134.42906574  40.57093426],1
n2,1,0.002298,9.294793,[30  1] ; [35 16],[24.57317073  6.42682927] ; [40.42682927 10.57317073],0
r2,1,0.004434,8.097059,[103   8] ; [141  34],[94.6993007 16.3006993] ; [149.3006993  25.6993007],0
v1,1,0.006913,7.29545,[59 52] ; [ 63 108],[48.0212766 62.9787234] ; [73.9787234 97.0212766],0
a5,1,0.007956,7.043243,[76 38] ; [89 86],[65.08650519 48.91349481] ; [99.91349481 75.08650519],0
v4,1,0.009755,6.67917,[104   7] ; [144  29],[96.92957746 14.07042254] ; [151.07042254  21.92957746],0
p3,1,0.014657,5.957198,[47 67] ; [ 48 127],[37.47404844 76.52595156] ; [ 57.52595156 117.47404844],0
p10,1,0.020023,5.409896,[85 28] ; [106  65],[75.99647887 37.00352113] ; [115.00352113  55.99647887],0
s8,1,0.022472,5.208898,[38 76] ; [ 37 137],[29.6875 84.3125] ; [ 45.3125 128.6875],0
p11,1,0.025247,5.006836,[86 28] ; [110  65],[77.31487889 36.68512111] ; [118.68512111  56.31487889],0
p9,1,0.026935,4.894997,[90 23] ; [115  55],[81.85512367 31.14487633] ; [123.14487633  46.85512367],0
s6,1,0.031519,4.624447,[69 42] ; [85 88],[60.19014085 50.80985915] ; [93.80985915 79.19014085],0
p7,1,0.048744,3.884143,[60 53] ; [ 70 100],[51.90812721 61.09187279] ; [78.09187279 91.90812721],0
d3,1,0.0521,3.772563,[50 64] ; [ 57 118],[42.20761246 71.79238754] ; [ 64.79238754 110.20761246],0
d2,1,0.052388,3.763339,[ 13 101] ; [ 35 139],[19. 95.] ; [ 29. 145.],0
a3,1,0.056744,3.630087,[72 42] ; [89 83],[64.17482517 49.82517483] ; [96.82517483 75.17482517],0
s1,1,0.083241,3.000459,[  3 109] ; [ 13 160],[  6.2877193 105.7122807] ; [  9.7122807 163.2877193],0
d4,1,0.085249,2.96188,[71 43] ; [91 84],[63.90311419 50.09688581] ; [98.09688581 76.90311419],0
n3,1,0.101744,2.677986,[26  5] ; [33 16],[22.8625  8.1375] ; [36.1375 12.8625],0
d5,1,0.106574,2.6043,[69 45] ; [89 86],[62.32525952 51.67474048] ; [95.67474048 79.32525952],0
p1,1,0.114364,2.492856,[  4 110] ; [ 14 158],[  7.17482517 106.82517483] ; [ 10.82517483 161.17482517],0
p8,1,0.134798,2.236363,[47 67] ; [ 56 116],[41.05594406 72.94405594] ; [ 61.94405594 110.05594406],0
a7,1,0.157429,1.998745,[74 40] ; [99 76],[68.24221453 45.75778547] ; [104.75778547  70.24221453],0
n1,1,0.167231,1.907595,[ 8 22] ; [21 29],[10.875 19.125] ; [18.125 31.875],0
u1,1,0.176047,1.830683,[  5 109] ; [  3 172],[  3.15570934 110.84429066] ; [  4.84429066 170.15570934],0
n6,1,0.177627,1.817366,[88 25] ; [123  51],[83.07665505 29.92334495] ; [127.92334495  46.07665505],0
p5,1,0.205864,1.60028,[  3 111] ; [ 10 162],[  5.18181818 108.81818182] ; [  7.81818182 164.18181818],0
b5,1,0.215635,1.533183,[58 56] ; [102  73],[63.11418685 50.88581315] ; [96.88581315 78.11418685],0
s5,1,0.216598,1.526769,[30 82] ; [ 35 136],[25.72438163 86.27561837] ; [ 39.27561837 131.72438163],0
s7,1,0.250337,1.321422,[41 70] ; [ 50 115],[36.59782609 74.40217391] ; [ 54.40217391 110.59782609],0
b1,1,0.265556,1.23956,[42 72] ; [76 99],[46.5467128 67.4532872] ; [ 71.4532872 103.5467128],0
a2,1,0.298303,1.081764,[  4 110] ; [ 11 164],[  5.91695502 108.08304498] ; [  9.08304498 165.91695502],0
s2,1,0.442983,0.588543,[44 69] ; [ 60 114],[40.94773519 72.05226481] ; [ 63.05226481 110.94773519],0
p2,1,0.511573,0.430848,[84 30] ; [122  52],[81.54166667 32.45833333] ; [124.45833333  49.54166667],0
s3,1,0.517292,0.41929,[56 55] ; [80 92],[53.34275618 57.65724382] ; [82.65724382 89.34275618],0
a4,1,0.54238,0.371146,[24 90] ; [ 42 132],[26.125 87.875] ; [ 39.875 134.125],0
a1,1,0.556783,0.345304,[  7 107] ; [  8 167],[  5.91695502 108.08304498] ; [  9.08304498 165.91695502],0
n5,1,0.611316,0.258263,[76 36] ; [113  61],[74.01398601 37.98601399] ; [114.98601399  59.01398601],0
u2,1,0.620275,0.245482,[16 24] ; [38 47],[17.28 22.72] ; [36.72 48.28],0
n4,1,0.654942,0.199727,[75 38] ; [111  63],[73.23344948 39.76655052] ; [112.76655052  61.23344948],0
u3,1,0.65783,0.196171,[19 23] ; [42 43],[20.17322835 21.82677165] ; [40.82677165 44.17322835],0
s4,1,0.713497,0.134809,[20 93] ; [ 34 141],[21.1875 91.8125] ; [ 32.8125 142.1875],0
b2,1,0.733968,0.115499,[16 44] ; [25 78],[15.09202454 44.90797546] ; [25.90797546 77.09202454],0
b3,1,0.733968,0.115499,[16 44] ; [25 78],[15.09202454 44.90797546] ; [25.90797546 77.09202454],0
u4,1,0.759266,0.093908,[  1 113] ; [  1 174],[  0.78892734 113.21107266] ; [  1.21107266 173.78892734],0
a6,1,0.796141,0.066742,[63 51] ; [94 81],[61.93079585 52.06920415] ; [95.06920415 79.93079585],0
b4,1,0.830182,0.045997,[64 50] ; [96 79],[63.11418685 50.88581315] ; [96.88581315 78.11418685],0
p12,1,0.854502,0.033627,[  3 110] ; [  4 169],[  2.76573427 110.23426573] ; [  4.23426573 168.76573427],0
a8,1,0.858887,0.03161,[13 94] ; [ 21 142],[13.47407407 93.52592593] ; [ 20.52592593 142.47407407],0
p4,1,0.971616,0.001266,[44 69] ; [ 67 106],[43.85664336 69.14335664] ; [ 67.14335664 105.85664336],0
