Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000381,12.621832,[14 24] ; [28  8],[21.56756757 16.43243243] ; [20.43243243 15.56756757],1
p1,1,0.004163,8.211215,[ 1 37] ; [ 9 26],[ 5.20547945 32.79452055] ; [ 4.79452055 30.20547945],0
p7,1,0.013375,6.118881,[17 18] ; [27  8],[22. 13.] ; [22. 13.],0
p6,1,0.031675,4.615984,[ 8 30] ; [16 20],[12.32432432 25.67567568] ; [11.67567568 24.32432432],0
d1,1,0.035705,4.411156,[15 23] ; [23 13],[19.51351351 18.48648649] ; [18.48648649 17.51351351],0
a5,1,0.045733,3.991415,[20 18] ; [27  9],[24.13513514 13.86486486] ; [22.86486486 13.13513514],0
p2,1,0.056441,3.639,[27 11] ; [32  4],[30.2972973  7.7027027] ; [28.7027027  7.2972973],0
p5,1,0.155037,2.021975,[ 1 36] ; [ 4 32],[ 2.53424658 34.46575342] ; [ 2.46575342 33.53424658],0
n1,1,0.173568,1.851852,[8 8] ; [2 7],[6.4 9.6] ; [3.6 5.4],0
r2,1,0.184409,1.761726,[34  4] ; [35  1],[35.43243243  2.56756757] ; [33.56756757  2.43243243],0
p9,1,0.204463,1.610203,[30  7] ; [32  3],[31.86111111  5.13888889] ; [30.13888889  4.86111111],0
b4,1,0.219034,1.510686,[20 18] ; [24 12],[22.59459459 15.40540541] ; [21.40540541 14.59459459],0
s6,1,0.225748,1.467451,[29  8] ; [32  4],[30.91780822  6.08219178] ; [30.08219178  5.91780822],0
u3,1,0.250478,1.320635,[12  2] ; [8 4],[10.76923077  3.23076923] ; [9.23076923 2.76923077],0
p12,1,0.290577,1.116946,[ 1 36] ; [ 3 33],[ 2.02739726 34.97260274] ; [ 1.97260274 34.02739726],0
a7,1,0.340931,0.906926,[27 11] ; [29  7],[28.75675676  9.24324324] ; [27.24324324  8.75675676],0
d5,1,0.364999,0.820619,[26 12] ; [28  8],[27.72972973 10.27027027] ; [26.27027027  9.72972973],0
d2,1,0.365689,0.818262,[14 24] ; [17 19],[15.91891892 22.08108108] ; [15.08108108 20.91891892],0
p11,1,0.386258,0.75069,[25 13] ; [27  9],[26.7027027 11.2972973] ; [25.2972973 10.7027027],0
v2,1,0.388899,0.742383,[16 19] ; [18 14],[17.76119403 17.23880597] ; [16.23880597 15.76119403],0
d3,1,0.405106,0.693119,[24 14] ; [26 10],[25.67567568 12.32432432] ; [24.32432432 11.67567568],0
