Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3.3e-05,17.228769,[228  70] ; [17 21],[217.29166667  80.70833333] ; [27.70833333 10.29166667],1
s5,1,0.000146,14.421507,[164 132] ; [ 9 30],[152.85970149 143.14029851] ; [20.14029851 18.85970149],1
s8,1,0.000709,11.466123,[209  97] ; [17 24],[199.29682997 106.70317003] ; [26.70317003 14.29682997],1
p9,1,0.000901,11.020485,[281  25] ; [30 10],[275.04624277  30.95375723] ; [35.95375723  4.04624277],1
s3,1,0.001796,9.747279,[270  35] ; [29 12],[263.56936416  41.43063584] ; [35.43063584  5.56936416],0
n6,1,0.010995,6.466165,[271  33] ; [30 10],[266.  38.] ; [35.  5.],0
p4,1,0.020559,5.363831,[216  90] ; [21 19],[209.60115607  96.39884393] ; [27.39884393 12.60115607],0
p5,1,0.046585,3.960316,[ 41 264] ; [ 1 39],[ 37.13043478 267.86956522] ; [ 4.86956522 35.13043478],0
r3,1,0.046696,3.956299,[297  10] ; [37  4],[294.64942529  12.35057471] ; [39.35057471  1.64942529],0
a2,1,0.057896,3.596651,[114 194] ; [ 9 32],[108.55014327 199.44985673] ; [14.44985673 26.55014327],0
b5,1,0.08685,2.931812,[193 115] ; [20 21],[187.97707736 120.02292264] ; [25.02292264 15.97707736],0
d5,1,0.095799,2.774117,[267  38] ; [32  9],[263.56936416  41.43063584] ; [35.43063584  5.56936416],0
v4,1,0.105347,2.622671,[299   8] ; [38  3],[297.29597701   9.70402299] ; [39.70402299  1.29597701],0
b1,1,0.112729,2.515544,[118 190] ; [21 20],[122.67048711 185.32951289] ; [16.32951289 24.67048711],0
b3,1,0.15816,1.99173,[ 84 110] ; [13  9],[ 87.12037037 106.87962963] ; [ 9.87962963 12.12037037],0
b2,1,0.15816,1.99173,[ 84 110] ; [13  9],[ 87.12037037 106.87962963] ; [ 9.87962963 12.12037037],0
p6,1,0.179441,1.80225,[141 164] ; [14 26],[137.02898551 167.97101449] ; [17.97101449 22.02898551],0
d1,1,0.181013,1.789286,[226  82] ; [26 15],[222.39541547  85.60458453] ; [29.60458453 11.39541547],0
r4,1,0.183535,1.768768,[288  20] ; [36  5],[285.93696275  22.06303725] ; [38.06303725  2.93696275],0
s4,1,0.223563,1.481355,[ 70 234] ; [ 6 35],[ 66.96811594 237.03188406] ; [ 9.03188406 31.96811594],0
r1,1,0.229427,1.44441,[261  45] ; [32  9],[258.38040346  47.61959654] ; [34.61959654  6.38040346],0
d2,1,0.250132,1.322565,[192 113] ; [22 19],[188.6416185 116.3583815] ; [25.3583815 15.6416185],0
p8,1,0.269026,1.221704,[165 139] ; [18 22],[161.72093023 142.27906977] ; [21.27906977 18.72093023],0
n4,1,0.29173,1.111622,[248  58] ; [36  5],[250.44380403  55.55619597] ; [33.55619597  7.44380403],0
a3,1,0.304709,1.053473,[259  48] ; [32  9],[256.71551724  50.28448276] ; [34.28448276  6.71551724],0
n2,1,0.359281,0.840404,[52 14] ; [8 4],[50.76923077 15.23076923] ; [9.23076923 2.76923077],0
u3,1,0.365551,0.818732,[34 14] ; [5 4],[32.84210526 15.15789474] ; [6.15789474 2.84210526],0
p7,1,0.37154,0.798508,[200  98] ; [24 16],[197.49112426 100.50887574] ; [26.50887574 13.49112426],0
u2,1,0.373144,0.793166,[29 19] ; [4 5],[27.78947368 20.21052632] ; [5.21052632 3.78947368],0
p1,1,0.39131,0.734868,[ 27 279] ; [ 2 39],[ 25.57348703 280.42651297] ; [ 3.42651297 37.57348703],0
u1,1,0.396415,0.719173,[ 87 221] ; [ 9 32],[ 84.72206304 223.27793696] ; [11.27793696 29.72206304],0
v1,1,0.397067,0.717191,[184 113] ; [22 18],[181.54896142 115.45103858] ; [24.45103858 15.54896142],0
r2,1,0.39947,0.709922,[297   8] ; [38  2],[296.15942029   8.84057971] ; [38.84057971  1.15942029],0
a6,1,0.403703,0.697268,[220  85] ; [27 14],[217.73121387  87.26878613] ; [29.26878613 11.73121387],0
a4,1,0.424499,0.637827,[178 130] ; [21 20],[175.6217765 132.3782235] ; [23.3782235 17.6217765],0
d4,1,0.42577,0.634333,[273  32] ; [35  6],[271.50289017  33.49710983] ; [36.49710983  4.50289017],0
s1,1,0.44818,0.57525,[ 14 291] ; [ 3 38],[ 14.98554913 290.01445087] ; [ 2.01445087 38.98554913],0
v3,1,0.454289,0.55993,[133 163] ; [20 19],[135.1880597 160.8119403] ; [17.8119403 21.1880597],0
p10,1,0.475096,0.510099,[266  41] ; [33  7],[264.53314121  42.46685879] ; [34.46685879  5.53314121],0
a1,1,0.493159,0.469628,[ 21 287] ; [ 4 37],[ 22.06303725 285.93696275] ; [ 2.93696275 38.06303725],0
u4,1,0.532133,0.390316,[ 14 294] ; [ 1 40],[ 13.23782235 294.76217765] ; [ 1.76217765 39.23782235],0
b4,1,0.587366,0.294476,[179 129] ; [22 19],[177.38681948 130.61318052] ; [23.61318052 17.38681948],0
