Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s4,1,4e-06,21.181954,[ 5 94] ; [11 19],[12.27906977 86.72093023] ; [ 3.72093023 26.27906977],1
b5,1,0.006501,7.405942,[64 35] ; [11 19],[57.55813953 41.44186047] ; [17.44186047 12.55813953],0
a7,1,0.008925,6.837873,[77 22] ; [16 14],[71.37209302 27.62790698] ; [21.62790698  8.37209302],0
a6,1,0.015508,5.857845,[70 29] ; [14 16],[64.46511628 34.53488372] ; [19.53488372 10.46511628],0
p5,1,0.021793,5.262208,[10 89] ; [ 8 22],[13.81395349 85.18604651] ; [ 4.18604651 25.81395349],0
p10,1,0.038177,4.297099,[73 23] ; [28  2],[76.95238095 19.04761905] ; [24.04761905  5.95238095],0
p7,1,0.041051,4.173888,[79 18] ; [29  1],[82.48818898 14.51181102] ; [25.51181102  4.48818898],0
s6,1,0.050776,3.815637,[46 52] ; [19  9],[50.55555556 47.44444444] ; [14.44444444 13.55555556],0
b4,1,0.059111,3.562159,[57 42] ; [23  7],[61.39534884 37.60465116] ; [18.60465116 11.39534884],0
p1,1,0.060511,3.523315,[10 89] ; [ 7 23],[13.04651163 85.95348837] ; [ 3.95348837 26.04651163],0
p4,1,0.092983,2.821955,[75 24] ; [27  3],[78.27906977 20.72093023] ; [23.72093023  6.27906977],0
p12,1,0.109105,2.567137,[ 5 93] ; [ 4 25],[ 6.94488189 91.05511811] ; [ 2.05511811 26.94488189],0
a5,1,0.113615,2.503205,[64 35] ; [24  6],[67.53488372 31.46511628] ; [20.46511628  9.53488372],0
s8,1,0.122168,2.389303,[31 68] ; [14 16],[34.53488372 64.46511628] ; [10.46511628 19.53488372],0
n3,1,0.217044,1.52381,[20  4] ; [5 3],[18.75  5.25] ; [6.25 1.75],0
p3,1,0.260957,1.263675,[58 41] ; [21  9],[60.62790698 38.37209302] ; [18.37209302 11.62790698],0
r1,1,0.281201,1.161275,[73 26] ; [25  5],[75.20930233 23.79069767] ; [22.79069767  7.20930233],0
d3,1,0.285044,1.142885,[69 29] ; [18 12],[66.609375 31.390625] ; [20.390625  9.609375],0
a2,1,0.287691,1.130396,[22 77] ; [ 4 26],[19.95348837 79.04651163] ; [ 6.04651163 23.95348837],0
d5,1,0.338863,0.914727,[78 21] ; [26  4],[79.81395349 19.18604651] ; [24.18604651  5.81395349],0
s3,1,0.370435,0.802205,[24 74] ; [ 5 25],[22.203125 75.796875] ; [ 6.796875 23.203125],0
u3,1,0.384295,0.756918,[15 16] ; [7 4],[16.23809524 14.76190476] ; [5.76190476 5.23809524],0
p2,1,0.385572,0.752862,[91  8] ; [26  4],[89.79069767  9.20930233] ; [27.20930233  2.79069767],0
b1,1,0.417812,0.656462,[38 61] ; [14 16],[39.90697674 59.09302326] ; [12.09302326 17.90697674],0
p8,1,0.423673,0.640105,[67 30] ; [23  7],[68.74015748 28.25984252] ; [21.25984252  8.74015748],0
p9,1,0.464465,0.535114,[83 15] ; [27  3],[84.21875 13.78125] ; [25.78125  4.21875],0
n6,1,0.519065,0.415752,[87 12] ; [25  5],[85.95348837 13.04651163] ; [26.04651163  3.95348837],0
a1,1,0.549581,0.358068,[ 4 95] ; [ 2 28],[ 4.60465116 94.39534884] ; [ 1.39534884 28.60465116],0
n1,1,0.554563,0.349206,[ 8 16] ; [4 5],[ 8.72727273 15.27272727] ; [3.27272727 5.72727273],0
s7,1,0.573913,0.316179,[34 58] ; [12 16],[35.26666667 56.73333333] ; [10.73333333 17.26666667],0
a3,1,0.607371,0.264021,[67 31] ; [19 11],[65.84375 32.15625] ; [20.15625  9.84375],0
b2,1,0.651473,0.204049,[27 38] ; [ 9 10],[27.85714286 37.14285714] ; [ 8.14285714 10.85714286],0
b3,1,0.651473,0.204049,[27 38] ; [ 9 10],[27.85714286 37.14285714] ; [ 8.14285714 10.85714286],0
n2,1,0.662597,0.190385,[14 10] ; [6 3],[14.54545455  9.45454545] ; [5.45454545 3.54545455],0
u1,1,0.707701,0.140584,[16 83] ; [ 4 26],[15.34883721 83.65116279] ; [ 4.65116279 25.34883721],0
d4,1,0.710246,0.138031,[76 23] ; [24  6],[76.74418605 22.25581395] ; [23.25581395  6.74418605],0
p11,1,0.722926,0.125707,[82 17] ; [24  6],[81.34883721 17.65116279] ; [24.65116279  5.34883721],0
v4,1,0.732112,0.117181,[94  5] ; [28  2],[93.62790698  5.37209302] ; [28.37209302  1.62790698],0
v3,1,0.743409,0.107153,[41 58] ; [13 16],[41.765625 57.234375] ; [12.234375 16.765625],0
a4,1,0.781575,0.076877,[42 56] ; [12 18],[41.34375 56.65625] ; [12.65625 17.34375],0
d2,1,0.830276,0.045945,[44 55] ; [14 16],[44.51162791 54.48837209] ; [13.48837209 16.51162791],0
v1,1,0.851923,0.034844,[58 41] ; [17 13],[57.55813953 41.44186047] ; [17.44186047 12.55813953],0
r3,1,0.860476,0.030894,[95  4] ; [29  1],[95.1627907  3.8372093] ; [28.8372093  1.1627907],0
n5,1,0.897063,0.016737,[74 24] ; [23  7],[74.265625 23.734375] ; [22.734375  7.265625],0
d1,1,0.914506,0.011525,[55 44] ; [17 13],[55.25581395 43.74418605] ; [16.74418605 13.25581395],0
r2,1,0.924481,0.008985,[91  6] ; [28  2],[90.88976378  6.11023622] ; [28.11023622  1.88976378],0
u2,1,0.93506,0.006639,[17 15] ; [6 5],[17.11627907 14.88372093] ; [5.88372093 5.11627907],0
n4,1,0.948626,0.004152,[82 17] ; [25  5],[82.11627907 16.88372093] ; [24.88372093  5.11627907],0
a8,1,0.955597,0.0031,[ 9 75] ; [ 3 26],[ 8.92035398 75.07964602] ; [ 3.07964602 25.92035398],0
v2,1,0.963229,0.002125,[56 42] ; [17 13],[55.890625 42.109375] ; [17.109375 12.890625],0
