Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.664875,[ 9 48] ; [10  2],[15.69565217 41.30434783] ; [3.30434783 8.69565217],1
s6,1,2e-06,22.243421,[12 45] ; [11  1],[19. 38.] ; [4. 8.],1
p6,1,0.000528,12.013725,[ 5 50] ; [6 6],[ 9.02985075 45.97014925] ; [ 1.97014925 10.02985075],1
r4,1,0.000905,11.011783,[18 39] ; [10  2],[23.13043478 33.86956522] ; [4.86956522 7.13043478],1
s8,1,0.002389,9.223612,[ 7 50] ; [6 6],[10.73913043 46.26086957] ; [2.26086957 9.73913043],0
s3,1,0.00311,8.741545,[13 43] ; [8 4],[17.29411765 38.70588235] ; [3.70588235 8.29411765],0
s7,1,0.003482,8.535967,[ 8 46] ; [6 5],[11.63076923 42.36923077] ; [2.36923077 8.63076923],0
s4,1,0.007399,7.173507,[ 6 51] ; [5 7],[ 9.08695652 47.91304348] ; [ 1.91304348 10.08695652],0
p1,1,0.014647,5.958391,[ 7 50] ; [5 7],[ 9.91304348 47.08695652] ; [2.08695652 9.91304348],0
d4,1,0.034298,4.479788,[34 23] ; [11  1],[37.17391304 19.82608696] ; [7.82608696 4.17391304],0
v4,1,0.063446,3.444939,[31 26] ; [10  2],[33.86956522 23.13043478] ; [7.13043478 4.86956522],0
p3,1,0.071056,3.258461,[10 46] ; [5 7],[12.35294118 43.64705882] ; [2.64705882 9.35294118],0
p9,1,0.085883,2.949905,[23 29] ; [8 3],[25.58730159 26.41269841] ; [5.41269841 5.58730159],0
n6,1,0.090222,2.870399,[32 24] ; [10  2],[34.58823529 21.41176471] ; [7.41176471 4.58823529],0
p11,1,0.095774,2.774551,[23 34] ; [8 4],[25.60869565 31.39130435] ; [5.39130435 6.60869565],0
n4,1,0.095774,2.774551,[34 23] ; [4 8],[31.39130435 25.60869565] ; [6.60869565 5.39130435],0
r3,1,0.120813,2.406746,[34 23] ; [10  2],[36.34782609 20.65217391] ; [7.65217391 4.34782609],0
p4,1,0.176288,1.828646,[13 44] ; [5 7],[14.86956522 42.13043478] ; [3.13043478 8.86956522],0
n3,1,0.191071,1.709342,[12 11] ; [1 4],[10.67857143 12.32142857] ; [2.32142857 2.67857143],0
d1,1,0.208056,1.584902,[22 35] ; [7 5],[23.95652174 33.04347826] ; [5.04347826 6.95652174],0
r2,1,0.212836,1.552028,[35 19] ; [10  2],[36.81818182 17.18181818] ; [8.18181818 3.81818182],0
p12,1,0.216947,1.52445,[ 1 56] ; [ 1 11],[ 1.65217391 55.34782609] ; [ 0.34782609 11.65217391],0
a4,1,0.240123,1.37987,[18 38] ; [6 6],[19.76470588 36.23529412] ; [4.23529412 7.76470588],0
p10,1,0.245503,1.348714,[22 33] ; [7 5],[23.80597015 31.19402985] ; [5.19402985 6.80597015],0
d5,1,0.269806,1.217732,[33 24] ; [9 3],[34.69565217 22.30434783] ; [7.30434783 4.69565217],0
n5,1,0.274963,1.191818,[38 19] ; [6 6],[36.34782609 20.65217391] ; [7.65217391 4.34782609],0
p7,1,0.286739,1.134868,[15 42] ; [5 7],[16.52173913 40.47826087] ; [3.47826087 8.52173913],0
n2,1,0.329929,0.949175,[13 10] ; [4 1],[13.96428571  9.03571429] ; [3.03571429 1.96428571],0
v3,1,0.370888,0.800688,[14 43] ; [1 8],[12.95454545 44.04545455] ; [2.04545455 6.95454545],0
p8,1,0.377635,0.778388,[12 44] ; [4 8],[13.17647059 42.82352941] ; [2.82352941 9.17647059],0
s1,1,0.410351,0.677783,[ 5 52] ; [ 2 10],[ 5.7826087 51.2173913] ; [ 1.2173913 10.7826087],0
v2,1,0.42272,0.642742,[17 38] ; [4 5],[18.046875 36.953125] ; [2.953125 6.046875],0
d3,1,0.422731,0.64271,[26 31] ; [7 5],[27.26086957 29.73913043] ; [5.73913043 6.26086957],0
a6,1,0.422731,0.64271,[31 26] ; [5 7],[29.73913043 27.26086957] ; [6.26086957 5.73913043],0
a5,1,0.435403,0.608367,[31 26] ; [8 4],[32.2173913 24.7826087] ; [6.7826087 5.2173913],0
n1,1,0.438058,0.601364,[ 9 13] ; [3 2],[ 9.77777778 12.22222222] ; [2.22222222 2.77777778],0
u2,1,0.443598,0.586957,[ 7 16] ; [2 2],[ 7.66666667 15.33333333] ; [1.33333333 2.66666667],0
b1,1,0.489859,0.476835,[30 27] ; [5 7],[28.91304348 28.08695652] ; [6.08695652 5.91304348],0
a7,1,0.561883,0.336455,[29 28] ; [5 7],[28.08695652 28.91304348] ; [5.91304348 6.08695652],0
a1,1,0.594002,0.284137,[ 8 49] ; [ 1 11],[ 7.43478261 49.56521739] ; [ 1.56521739 10.43478261],0
b5,1,0.616079,0.251417,[33 24] ; [6 6],[32.2173913 24.7826087] ; [6.7826087 5.2173913],0
a3,1,0.650749,0.204957,[34 23] ; [8 4],[34.69565217 22.30434783] ; [7.30434783 4.69565217],0
a2,1,0.697871,0.150696,[ 7 50] ; [ 1 11],[ 6.60869565 50.39130435] ; [ 1.39130435 10.60869565],0
u3,1,0.701671,0.146739,[ 8 15] ; [1 3],[ 7.66666667 15.33333333] ; [1.33333333 2.66666667],0
v1,1,0.771068,0.084668,[16 39] ; [4 8],[16.41791045 38.58208955] ; [3.58208955 8.41791045],0
b2,1,0.788188,0.07218,[17 21] ; [4 6],[16.625 21.375] ; [4.375 5.625],0
b3,1,0.788188,0.07218,[17 21] ; [4 6],[16.625 21.375] ; [4.375 5.625],0
d2,1,0.910569,0.012616,[27 29] ; [6 6],[27.17647059 28.82352941] ; [5.82352941 6.17647059],0
