Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.005835,7.600529,[ 2 30] ; [12 24],[ 6.58823529 25.41176471] ; [ 7.41176471 28.58823529],0
a7,1,0.020927,5.332844,[21 11] ; [32  4],[24.94117647  7.05882353] ; [28.05882353  7.94117647],0
v3,1,0.027014,4.889916,[ 6 26] ; [15 19],[10.18181818 21.81818182] ; [10.81818182 23.18181818],0
a5,1,0.032987,4.546472,[15 17] ; [26 10],[19.29411765 12.70588235] ; [21.70588235 14.29411765],0
v1,1,0.068793,3.311597,[13 19] ; [22 13],[16.71641791 15.28358209] ; [18.28358209 16.71641791],0
n1,1,0.07222,3.231838,[7 5] ; [ 3 10],[4.8 7.2] ; [5.2 7.8],0
d1,1,0.08005,3.063886,[11 21] ; [20 16],[14.58823529 17.41176471] ; [16.41176471 19.58823529],0
d2,1,0.08005,3.063886,[11 21] ; [20 16],[14.58823529 17.41176471] ; [16.41176471 19.58823529],0
r1,1,0.101114,2.687887,[19 13] ; [28  8],[22.11764706  9.88235294] ; [24.88235294 11.11764706],0
a4,1,0.147067,2.102415,[ 8 24] ; [15 21],[10.82352941 21.17647059] ; [12.17647059 23.82352941],0
a8,1,0.15116,2.060508,[ 4 27] ; [ 1 31],[ 2.46031746 28.53968254] ; [ 2.53968254 29.46031746],0
s4,1,0.163359,1.942857,[16 16] ; [12 24],[13.17647059 18.82352941] ; [14.82352941 21.17647059],0
u2,1,0.17753,1.818182,[10  1] ; [6 3],[8.8 2.2] ; [7.2 1.8],0
r3,1,0.185261,1.754904,[27  5] ; [33  2],[28.65671642  3.34328358] ; [31.34328358  3.65671642],0
n5,1,0.239263,1.384932,[11 21] ; [17 18],[13.37313433 18.62686567] ; [14.62686567 20.37313433],0
a6,1,0.260024,1.26863,[18 14] ; [25 11],[20.23529412 11.76470588] ; [22.76470588 13.23529412],0
d5,1,0.261791,1.259259,[22 10] ; [29  7],[24.  8.] ; [27.  9.],0
r2,1,0.313581,1.015532,[28  4] ; [34  2],[29.17647059  2.82352941] ; [32.82352941  3.17647059],0
p2,1,0.339925,0.910714,[27  5] ; [27  9],[25.41176471  6.58823529] ; [28.58823529  7.41176471],0
b4,1,0.385794,0.752157,[19 13] ; [25 11],[20.70588235 11.29411765] ; [23.29411765 12.70588235],0
a3,1,0.397068,0.717188,[21 11] ; [27  9],[22.58823529  9.41176471] ; [25.41176471 10.58823529],0
d4,1,0.39962,0.709468,[23  9] ; [29  7],[24.47058824  7.52941176] ; [27.52941176  8.47058824],0
p10,1,0.418379,0.654863,[25  7] ; [30  5],[26.26865672  5.73134328] ; [28.73134328  6.26865672],0
u3,1,0.436275,0.606061,[9 2] ; [6 3],[8.25 2.75] ; [6.75 2.25],0
s3,1,0.533647,0.387442,[19 13] ; [24 12],[20.23529412 11.76470588] ; [22.76470588 13.23529412],0
s8,1,0.536849,0.38141,[21 11] ; [21 15],[19.76470588 12.23529412] ; [22.23529412 13.76470588],0
n3,1,0.570632,0.321626,[7 5] ; [9 4],[7.68 4.32] ; [8.32 4.68],0
p9,1,0.579326,0.307326,[24  7] ; [29  6],[24.89393939  6.10606061] ; [28.10606061  6.89393939],0
b5,1,0.584463,0.299074,[19 13] ; [19 17],[17.88235294 14.11764706] ; [20.11764706 15.88235294],0
r4,1,0.585641,0.297203,[25  7] ; [30  6],[25.88235294  6.11764706] ; [29.11764706  6.88235294],0
p1,1,0.599502,0.275748,[ 4 28] ; [ 3 32],[ 3.34328358 28.65671642] ; [ 3.65671642 31.34328358],0
p7,1,0.678378,0.171958,[20 10] ; [25 10],[20.76923077  9.23076923] ; [24.23076923 10.76923077],0
s5,1,0.774169,0.082327,[13 19] ; [15 19],[13.57575758 18.42424242] ; [14.42424242 19.57575758],0
s6,1,0.804587,0.061214,[25  7] ; [29  7],[25.41176471  6.58823529] ; [28.58823529  7.41176471],0
v4,1,0.814093,0.055295,[29  3] ; [32  4],[28.70588235  3.29411765] ; [32.29411765  3.70588235],0
b2,1,0.821963,0.050634,[ 8 10] ; [ 9 13],[ 7.65 10.35] ; [ 9.35 12.65],0
b3,1,0.821963,0.050634,[ 8 10] ; [ 9 13],[ 7.65 10.35] ; [ 9.35 12.65],0
n2,1,0.829399,0.046429,[9 3] ; [11  3],[9.23076923 2.76923077] ; [10.76923077  3.23076923],0
p3,1,0.840804,0.040347,[15 17] ; [16 20],[14.58823529 17.41176471] ; [16.41176471 19.58823529],0
p11,1,0.854567,0.033597,[22 10] ; [24 12],[21.64705882 10.35294118] ; [24.35294118 11.64705882],0
d3,1,0.854567,0.033597,[22 10] ; [24 12],[21.64705882 10.35294118] ; [24.35294118 11.64705882],0
b1,1,0.86235,0.030062,[14 18] ; [15 21],[13.64705882 18.35294118] ; [15.35294118 20.64705882],0
s2,1,0.883886,0.021329,[19 13] ; [22 14],[19.29411765 12.70588235] ; [21.70588235 14.29411765],0
p6,1,0.895806,0.017151,[12 19] ; [13 22],[11.74242424 19.25757576] ; [13.25757576 21.74242424],0
p4,1,0.906357,0.013838,[20 12] ; [22 14],[19.76470588 12.23529412] ; [22.23529412 13.76470588],0
n6,1,0.987443,0.000248,[22 10] ; [24 11],[21.97014925 10.02985075] ; [24.02985075 10.97014925],0
p8,1,0.988068,0.000224,[17 15] ; [18 16],[16.96969697 15.03030303] ; [18.03030303 15.96969697],0
