Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.145125,[75  6] ; [2 5],[70.875 10.125] ; [6.125 0.875],1
r1,1,0.002089,9.469799,[65 16] ; [2 5],[61.67045455 19.32954545] ; [5.32954545 1.67045455],0
a5,1,0.004473,8.081032,[63 18] ; [2 5],[59.82954545 21.17045455] ; [5.17045455 1.82954545],0
v4,1,0.017314,5.664272,[77  4] ; [5 2],[75.47727273  5.52272727] ; [6.52272727 0.47727273],0
v1,1,0.041698,4.147413,[43 36] ; [1 6],[40.41860465 38.58139535] ; [3.58139535 3.41860465],0
a7,1,0.051644,3.78726,[62 19] ; [3 4],[59.82954545 21.17045455] ; [5.17045455 1.82954545],0
d5,1,0.0953,2.782482,[59 22] ; [3 4],[57.06818182 23.93181818] ; [4.93181818 2.06818182],0
s6,1,0.104117,2.641313,[47 31] ; [2 5],[44.96470588 33.03529412] ; [4.03529412 2.96470588],0
s3,1,0.108451,2.576652,[40 39] ; [1 5],[38.10588235 40.89411765] ; [2.89411765 3.10588235],0
d4,1,0.125623,2.34578,[66 15] ; [4 3],[64.43181818 16.56818182] ; [5.56818182 1.43181818],0
d1,1,0.132325,2.265019,[47 34] ; [2 5],[45.10227273 35.89772727] ; [3.89772727 3.10227273],0
b1,1,0.133768,2.248224,[24 57] ; [4 3],[25.77272727 55.22727273] ; [2.22727273 4.77272727],0
a4,1,0.178773,1.807792,[32 48] ; [1 6],[30.34482759 49.65517241] ; [2.65517241 4.34482759],0
s7,1,0.197396,1.661538,[34 44] ; [1 5],[32.5 45.5] ; [2.5 3.5],0
d2,1,0.29023,1.118553,[40 41] ; [2 5],[38.65909091 42.34090909] ; [3.34090909 3.65909091],0
a3,1,0.341286,0.905596,[49 31] ; [3 4],[47.81609195 32.18390805] ; [4.18390805 2.81609195],0
n4,1,0.376974,0.780547,[59 22] ; [4 3],[57.98863636 23.01136364] ; [5.01136364 1.98863636],0
n5,1,0.421303,0.646678,[58 23] ; [6 1],[58.90909091 22.09090909] ; [5.09090909 1.90909091],0
b5,1,0.451609,0.56661,[46 35] ; [5 2],[46.94318182 34.05681818] ; [4.05681818 2.94318182],0
u2,1,0.473289,0.514286,[18 14] ; [3 1],[18.66666667 13.33333333] ; [2.33333333 1.66666667],0
p4,1,0.476499,0.506866,[46 35] ; [3 4],[45.10227273 35.89772727] ; [3.89772727 3.10227273],0
p10,1,0.48003,0.498796,[64 17] ; [4 2],[63.31034483 17.68965517] ; [4.68965517 1.31034483],0
p12,1,0.52678,0.400599,[ 6 74] ; [1 6],[ 6.43678161 73.56321839] ; [0.56321839 6.43678161],0
a8,1,0.559145,0.341186,[ 8 63] ; [1 4],[ 8.40789474 62.59210526] ; [0.59210526 4.40789474],0
n3,1,0.59256,0.286364,[9 9] ; [2 1],[9.42857143 8.57142857] ; [1.57142857 1.42857143],0
v2,1,0.600755,0.273859,[42 37] ; [3 4],[41.3372093 37.6627907] ; [3.6627907 3.3372093],0
p6,1,0.613966,0.254439,[18 62] ; [1 6],[17.47126437 62.52873563] ; [1.52873563 5.47126437],0
r3,1,0.618257,0.248325,[74  7] ; [6 1],[73.63636364  7.36363636] ; [6.36363636 0.63636364],0
d3,1,0.659587,0.194025,[53 28] ; [4 3],[52.46590909 28.53409091] ; [4.53409091 2.46590909],0
v3,1,0.667362,0.184703,[29 50] ; [2 5],[28.47674419 50.52325581] ; [2.52325581 4.47674419],0
a6,1,0.709703,0.138574,[52 29] ; [4 3],[51.54545455 29.45454545] ; [4.45454545 2.54545455],0
s4,1,0.721067,0.127473,[ 8 72] ; [1 6],[ 8.27586207 71.72413793] ; [0.72413793 6.27586207],0
s8,1,0.747038,0.104037,[29 50] ; [3 4],[29.39534884 49.60465116] ; [2.60465116 4.39534884],0
a2,1,0.780575,0.077601,[15 66] ; [1 6],[14.72727273 66.27272727] ; [1.27272727 5.72727273],0
p2,1,0.780575,0.077601,[66 15] ; [6 1],[66.27272727 14.72727273] ; [5.72727273 1.27272727],0
p9,1,0.832459,0.044753,[70 11] ; [5 1],[69.82758621 11.17241379] ; [5.17241379 0.82758621],0
p5,1,0.881631,0.022172,[10 71] ; [1 6],[10.125 70.875] ; [0.875 6.125],0
p11,1,0.899577,0.015925,[56 25] ; [5 2],[56.14772727 24.85227273] ; [4.85227273 2.14772727],0
