Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,5e-06,20.872969,[11 23] ; [20  1],[19.16363636 14.83636364] ; [11.83636364  9.16363636],1
s7,1,5e-05,16.461442,[ 7 23] ; [17  4],[14.11764706 15.88235294] ; [ 9.88235294 11.11764706],1
s8,1,0.000159,14.265706,[ 5 29] ; [14  8],[11.53571429 22.46428571] ; [ 7.46428571 14.53571429],1
s6,1,0.000422,12.433356,[14 20] ; [18  2],[20.14814815 13.85185185] ; [11.85185185  8.14814815],1
n6,1,0.022169,5.232474,[24 10] ; [21  1],[27.32142857  6.67857143] ; [17.67857143  4.32142857],0
s5,1,0.035072,4.441673,[ 7 27] ; [10 11],[10.50909091 23.49090909] ; [ 6.49090909 14.50909091],0
s4,1,0.050779,3.815539,[ 1 33] ; [ 4 18],[ 3.03571429 30.96428571] ; [ 1.96428571 20.03571429],0
p3,1,0.126428,2.335829,[21 13] ; [ 9 13],[18.21428571 15.78571429] ; [11.78571429 10.21428571],0
s1,1,0.129076,2.303579,[ 1 33] ; [ 3 19],[ 2.42857143 31.57142857] ; [ 1.57142857 20.42857143],0
b5,1,0.155097,2.02139,[22 12] ; [10 12],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
n5,1,0.168263,1.898349,[26  8] ; [20  2],[27.92857143  6.07142857] ; [18.07142857  3.92857143],0
p10,1,0.172069,1.864827,[24 10] ; [19  3],[26.10714286  7.89285714] ; [16.89285714  5.10714286],0
a2,1,0.229909,1.441426,[ 5 29] ; [ 1 21],[ 3.64285714 30.35714286] ; [ 2.35714286 19.64285714],0
d2,1,0.24767,1.336401,[ 5 29] ; [ 6 16],[ 6.67857143 27.32142857] ; [ 4.32142857 17.67857143],0
p1,1,0.252983,1.306757,[ 9 25] ; [ 3 19],[ 7.28571429 26.71428571] ; [ 4.71428571 17.28571429],0
a8,1,0.280487,1.164729,[ 2 31] ; [ 3 17],[ 3.11320755 29.88679245] ; [ 1.88679245 18.11320755],0
u3,1,0.305319,1.050816,[5 8] ; [6 4],[6.2173913 6.7826087] ; [4.7826087 5.2173913],0
p6,1,0.32263,0.978253,[11 23] ; [10 12],[12.75 21.25] ; [ 8.25 13.75],0
a6,1,0.32263,0.978253,[23 11] ; [12 10],[21.25 12.75] ; [13.75  8.25],0
p8,1,0.327231,0.959824,[20 14] ; [10 12],[18.21428571 15.78571429] ; [11.78571429 10.21428571],0
r4,1,0.354827,0.856118,[30  4] ; [21  1],[30.96428571  3.03571429] ; [20.03571429  1.96428571],0
p12,1,0.354827,0.856118,[ 4 30] ; [ 1 21],[ 3.03571429 30.96428571] ; [ 1.96428571 20.03571429],0
v1,1,0.374545,0.78853,[17 16] ; [14  8],[18.6 14.4] ; [12.4  9.6],0
a7,1,0.374815,0.78764,[24 10] ; [13  9],[22.46428571 11.53571429] ; [14.53571429  7.46428571],0
p4,1,0.384929,0.754902,[21 13] ; [11 11],[19.42857143 14.57142857] ; [12.57142857  9.42857143],0
b3,1,0.442703,0.589266,[ 7 16] ; [6 8],[ 8.08108108 14.91891892] ; [4.91891892 9.08108108],0
b2,1,0.442703,0.589266,[ 7 16] ; [6 8],[ 8.08108108 14.91891892] ; [4.91891892 9.08108108],0
a4,1,0.473058,0.514823,[ 9 25] ; [ 4 18],[ 7.89285714 26.10714286] ; [ 5.10714286 16.89285714],0
r1,1,0.507082,0.440084,[27  7] ; [19  3],[27.92857143  6.07142857] ; [18.07142857  3.92857143],0
b4,1,0.51654,0.420797,[20 14] ; [11 11],[18.82142857 15.17857143] ; [12.17857143  9.82142857],0
d5,1,0.51654,0.420797,[14 20] ; [11 11],[15.17857143 18.82142857] ; [ 9.82142857 12.17857143],0
v4,1,0.543783,0.368573,[31  3] ; [21  1],[31.57142857  2.42857143] ; [20.42857143  1.57142857],0
p7,1,0.560794,0.338331,[20 14] ; [14  7],[21.01818182 12.98181818] ; [12.98181818  8.01818182],0
u2,1,0.580013,0.306213,[5 8] ; [5 5],[5.65217391 7.34782609] ; [4.34782609 5.65217391],0
a3,1,0.591744,0.287629,[21 13] ; [12 10],[20.03571429 13.96428571] ; [12.96428571  9.03571429],0
a5,1,0.624515,0.239572,[21 13] ; [15  7],[21.85714286 12.14285714] ; [14.14285714  7.85714286],0
d3,1,0.624515,0.239572,[13 21] ; [ 7 15],[12.14285714 21.85714286] ; [ 7.85714286 14.14285714],0
p11,1,0.665286,0.187166,[25  9] ; [15  7],[24.28571429  9.71428571] ; [15.71428571  6.28571429],0
v2,1,0.728369,0.120614,[21 12] ; [15  7],[21.6 11.4] ; [14.4  7.6],0
p5,1,0.72942,0.119645,[ 5 29] ; [ 4 18],[ 5.46428571 28.53571429] ; [ 3.53571429 18.46428571],0
b1,1,0.752044,0.099822,[14 20] ; [10 12],[14.57142857 19.42857143] ; [ 9.42857143 12.57142857],0
d1,1,0.752044,0.099822,[ 1 33] ; [ 1 21],[ 1.21428571 32.78571429] ; [ 0.78571429 21.21428571],0
p9,1,0.8489,0.036299,[27  7] ; [17  5],[26.71428571  7.28571429] ; [17.28571429  4.71428571],0
n4,1,0.911058,0.012478,[29  5] ; [19  3],[29.14285714  4.85714286] ; [18.85714286  3.14285714],0
r3,1,0.911058,0.012478,[29  5] ; [19  3],[29.14285714  4.85714286] ; [18.85714286  3.14285714],0
p2,1,0.96662,0.001751,[23 11] ; [15  7],[23.07142857 10.92857143] ; [14.92857143  7.07142857],0
