Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.016173,5.783989,[4 2] ; [ 4 19],[1.65517241 4.34482759] ; [ 6.34482759 16.65517241],0
n5,1,0.019131,5.489521,[1 5] ; [16  7],[3.51724138 2.48275862] ; [13.48275862  9.51724138],0
p2,1,0.096451,2.763269,[3 3] ; [19  4],[4.55172414 1.44827586] ; [17.44827586  5.55172414],0
v2,1,0.103332,2.653345,[4 2] ; [ 7 16],[2.27586207 3.72413793] ; [ 8.72413793 14.27586207],0
a3,1,0.119355,2.425759,[5 1] ; [11 12],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
b5,1,0.15789,1.994317,[2 4] ; [15  8],[3.51724138 2.48275862] ; [13.48275862  9.51724138],0
n4,1,0.15789,1.994317,[2 4] ; [15  8],[3.51724138 2.48275862] ; [13.48275862  9.51724138],0
p11,1,0.227107,1.458891,[2 4] ; [14  9],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
p9,1,0.259509,1.271377,[3 3] ; [17  6],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
d1,1,0.259509,1.271377,[3 3] ; [ 6 17],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
s1,1,0.288916,1.124665,[1 5] ; [ 1 22],[0.4137931 5.5862069] ; [ 1.5862069 21.4137931],0
r1,1,0.311405,1.024707,[4 2] ; [10 13],[2.89655172 3.10344828] ; [11.10344828 11.89655172],0
a6,1,0.311405,1.024707,[2 4] ; [13 10],[3.10344828 2.89655172] ; [11.89655172 11.10344828],0
b4,1,0.369219,0.806293,[3 3] ; [ 7 16],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
s3,1,0.369219,0.806293,[3 3] ; [ 7 16],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
a7,1,0.410004,0.678788,[3 3] ; [15  7],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
s7,1,0.418442,0.654686,[1 4] ; [ 9 14],[1.78571429 3.21428571] ; [ 8.21428571 14.78571429],0
n2,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
n1,1,0.465209,0.533333,[1 2] ; [3 2],[1.5 1.5] ; [2.5 2.5],0
p3,1,0.493886,0.46805,[3 3] ; [ 8 15],[2.27586207 3.72413793] ; [ 8.72413793 14.27586207],0
r3,1,0.501594,0.451561,[5 1] ; [16  7],[4.34482759 1.65517241] ; [16.65517241  6.34482759],0
u1,1,0.568028,0.325994,[1 5] ; [ 2 21],[0.62068966 5.37931034] ; [ 2.37931034 20.62068966],0
d3,1,0.594853,0.282828,[4 2] ; [17  5],[4.5 1.5] ; [16.5  5.5],0
v1,1,0.653188,0.201904,[2 4] ; [10 13],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
b1,1,0.653188,0.201904,[2 4] ; [10 13],[2.48275862 3.51724138] ; [ 9.51724138 13.48275862],0
a5,1,0.774826,0.081835,[3 3] ; [13 10],[3.31034483 2.68965517] ; [12.68965517 10.31034483],0
r4,1,0.794381,0.067926,[4 2] ; [14  9],[3.72413793 2.27586207] ; [14.27586207  8.72413793],0
b2,1,0.827472,0.0475,[1 3] ; [ 3 12],[0.84210526 3.15789474] ; [ 3.15789474 11.84210526],0
b3,1,0.827472,0.0475,[1 3] ; [ 3 12],[0.84210526 3.15789474] ; [ 3.15789474 11.84210526],0
p7,1,0.84313,0.039161,[3 3] ; [10 12],[2.78571429 3.21428571] ; [10.21428571 11.78571429],0
n3,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
d5,1,0.890782,0.018855,[4 2] ; [14  8],[3.85714286 2.14285714] ; [14.14285714  7.85714286],0
a4,1,0.891289,0.01868,[2 4] ; [ 7 16],[1.86206897 4.13793103] ; [ 7.13793103 15.86206897],0
p10,1,0.891289,0.01868,[4 2] ; [16  7],[4.13793103 1.86206897] ; [15.86206897  7.13793103],0
v4,1,0.931549,0.007378,[5 1] ; [18  4],[4.92857143 1.07142857] ; [18.07142857  3.92857143],0
n6,1,0.946969,0.004424,[4 2] ; [15  8],[3.93103448 2.06896552] ; [15.06896552  7.93103448],0
s2,1,0.946969,0.004424,[2 4] ; [ 8 15],[2.06896552 3.93103448] ; [ 7.93103448 15.06896552],0
