Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,38.782937,[195  84] ; [ 72 106],[163.00437637 115.99562363] ; [103.99562363  74.00437637],1
v3,1,0.0,34.831895,[151 126] ; [ 47 131],[120.54065934 156.45934066] ; [ 77.45934066 100.54065934],1
p10,1,0.000361,12.725745,[257  24] ; [144  36],[244.42733189  36.57266811] ; [156.57266811  23.42733189],1
n5,1,0.000422,12.432552,[256  28] ; [141  39],[242.99137931  41.00862069] ; [154.00862069  25.99137931],1
r4,1,0.002514,9.130533,[270  14] ; [158  23],[261.40215054  22.59784946] ; [166.59784946  14.40215054],0
d1,1,0.003316,8.625103,[198  86] ; [102  79],[183.22580645 100.77419355] ; [116.77419355  64.22580645],0
s8,1,0.003342,8.610681,[158 123] ; [ 76 104],[142.63340564 138.36659436] ; [91.36659436 88.63340564],0
p9,1,0.00353,8.510916,[260  22] ; [151  30],[250.32829374  31.67170626] ; [160.67170626  20.32829374],0
p8,1,0.006463,7.41639,[197  83] ; [105  76],[183.42733189  96.57266811] ; [118.57266811  62.42733189],0
d5,1,0.011764,6.346161,[247  36] ; [142  39],[237.25646552  45.74353448] ; [151.74353448  29.25646552],0
a5,1,0.012481,6.241209,[232  52] ; [130  51],[221.09247312  62.90752688] ; [140.90752688  40.09247312],0
r3,1,0.025177,5.011698,[276   8] ; [166  13],[271.1187905  12.8812095] ; [170.8812095   8.1187905],0
u4,1,0.027664,4.848905,[ 11 273] ; [  1 180],[  7.32903226 276.67096774] ; [  4.67096774 176.32903226],0
r1,1,0.032244,4.585503,[241  42] ; [140  41],[232.37715517  50.62284483] ; [148.62284483  32.37715517],0
a2,1,0.040234,4.207974,[ 84 200] ; [ 38 143],[ 74.51182796 209.48817204] ; [ 47.48817204 133.51182796],0
p5,1,0.044446,4.039542,[ 58 224] ; [ 24 157],[ 49.94384449 232.05615551] ; [ 32.05615551 148.94384449],0
r2,1,0.063748,3.437086,[270  12] ; [163  15],[265.44782609  16.55217391] ; [167.55217391  10.44782609],0
p7,1,0.064746,3.411435,[215  66] ; [123  56],[206.47391304  74.52608696] ; [131.52608696  47.47391304],0
u3,1,0.073403,3.205244,[45 25] ; [25 27],[40.16393443 29.83606557] ; [29.83606557 22.16393443],0
u1,1,0.076641,3.134732,[ 70 214] ; [ 32 149],[ 62.29677419 221.70322581] ; [ 39.70322581 141.29677419],0
