Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,45.638004,[60  4] ; [ 6 19],[47.46067416 16.53932584] ; [18.53932584  6.46067416],1
n6,1,0.008418,6.942212,[58  6] ; [17  8],[53.93258427 10.06741573] ; [21.06741573  3.93258427],0
s3,1,0.012837,6.191476,[ 7 57] ; [ 8 16],[10.90909091 53.09090909] ; [ 4.09090909 19.90909091],0
a6,1,0.027487,4.85996,[42 22] ; [10 15],[37.39325843 26.60674157] ; [14.60674157 10.39325843],0
a5,1,0.036739,4.362449,[52 12] ; [15 10],[48.17977528 15.82022472] ; [18.82022472  6.17977528],0
r4,1,0.037032,4.348928,[59  5] ; [19  6],[56.08988764  7.91011236] ; [21.91011236  3.08988764],0
p8,1,0.039176,4.253221,[38 25] ; [ 9 16],[33.64772727 29.35227273] ; [13.35227273 11.64772727],0
p3,1,0.054513,3.696923,[40 24] ; [10 15],[35.95505618 28.04494382] ; [14.04494382 10.95505618],0
p10,1,0.057664,3.603323,[54  9] ; [17  8],[50.82954545 12.17045455] ; [20.17045455  4.82954545],0
b1,1,0.079793,3.069105,[31 33] ; [ 7 18],[27.3258427 36.6741573] ; [10.6741573 14.3258427],0
p11,1,0.084964,2.96729,[52 12] ; [16  9],[48.8988764 15.1011236] ; [19.1011236  5.8988764],0
p5,1,0.107345,2.592873,[18 46] ; [ 3 22],[15.1011236 48.8988764] ; [ 5.8988764 19.1011236],0
v1,1,0.119715,2.421052,[30 33] ; [ 7 17],[26.79310345 36.20689655] ; [10.20689655 13.79310345],0
p9,1,0.13492,2.234963,[52 11] ; [17  8],[49.39772727 13.60227273] ; [19.60227273  5.39772727],0
a2,1,0.163146,1.94482,[13 51] ; [ 2 23],[10.78651685 53.21348315] ; [ 4.21348315 20.78651685],0
n2,1,0.178978,1.80609,[10  3] ; [5 5],[8.47826087 4.52173913] ; [6.52173913 3.47826087],0
p4,1,0.182524,1.776953,[40 23] ; [12 13],[37.22727273 25.77272727] ; [14.77272727 10.22727273],0
v4,1,0.222156,1.490389,[59  5] ; [20  4],[57.45454545  6.54545455] ; [21.54545455  2.45454545],0
p12,1,0.224568,1.474938,[ 8 55] ; [ 1 24],[ 6.44318182 56.55681818] ; [ 2.55681818 22.44318182],0
b3,1,0.235467,1.407532,[19 20] ; [ 5 11],[17.01818182 21.98181818] ; [6.98181818 9.01818182],0
b2,1,0.235467,1.407532,[19 20] ; [ 5 11],[17.01818182 21.98181818] ; [6.98181818 9.01818182],0
s8,1,0.260271,1.267315,[23 40] ; [ 6 19],[20.76136364 42.23863636] ; [ 8.23863636 16.76136364],0
a8,1,0.267846,1.227748,[11 48] ; [ 2 21],[ 9.35365854 49.64634146] ; [ 3.64634146 19.35365854],0
s4,1,0.274432,1.194458,[ 9 54] ; [ 6 19],[10.73863636 52.26136364] ; [ 4.26136364 20.73863636],0
a7,1,0.284264,1.146591,[35 28] ; [17  8],[37.22727273 25.77272727] ; [14.77272727 10.22727273],0
b5,1,0.295083,1.096283,[23 41] ; [12 13],[25.16853933 38.83146067] ; [ 9.83146067 15.16853933],0
r1,1,0.367905,0.810729,[56  8] ; [20  5],[54.65168539  9.34831461] ; [21.34831461  3.65168539],0
s7,1,0.398826,0.711864,[18 41] ; [10 15],[19.66666667 39.33333333] ; [ 8.33333333 16.66666667],0
u3,1,0.402784,0.7,[11  9] ; [3 5],[10. 10.] ; [4. 4.],0
v2,1,0.402938,0.699541,[37 27] ; [12 13],[35.23595506 28.76404494] ; [13.76404494 11.23595506],0
d1,1,0.441954,0.591204,[39 25] ; [13 12],[37.39325843 26.60674157] ; [14.60674157 10.39325843],0
u1,1,0.444549,0.584514,[12 52] ; [ 3 22],[10.78651685 53.21348315] ; [ 4.21348315 20.78651685],0
b4,1,0.45166,0.566483,[38 26] ; [17  8],[39.5505618 24.4494382] ; [15.4494382  9.5505618],0
p2,1,0.46246,0.539935,[53 11] ; [19  6],[51.7752809 12.2247191] ; [20.2247191  4.7752809],0
p7,1,0.467643,0.52754,[46 18] ; [16  9],[44.58426966 19.41573034] ; [17.41573034  7.58426966],0
u2,1,0.472423,0.516303,[10  9] ; [3 5],[9.14814815 9.85185185] ; [3.85185185 4.14814815],0
a1,1,0.519129,0.415624,[ 5 59] ; [ 1 24],[ 4.31460674 59.68539326] ; [ 1.68539326 23.31460674],0
p6,1,0.550663,0.35613,[23 41] ; [ 7 17],[21.81818182 42.18181818] ; [ 8.18181818 15.81818182],0
n3,1,0.576999,0.311111,[8 4] ; [7 2],[8.57142857 3.42857143] ; [6.42857143 2.57142857],0
v3,1,0.643418,0.2143,[22 42] ; [ 7 17],[21.09090909 42.90909091] ; [ 7.90909091 16.09090909],0
a4,1,0.649843,0.206098,[29 35] ; [10 15],[28.04494382 35.95505618] ; [10.95505618 14.04494382],0
p1,1,0.66342,0.189395,[10 54] ; [ 3 22],[ 9.34831461 54.65168539] ; [ 3.65168539 21.34831461],0
d3,1,0.688086,0.161165,[38 26] ; [16  9],[38.83146067 25.16853933] ; [15.16853933  9.83146067],0
r2,1,0.719548,0.128926,[57  7] ; [22  2],[57.45454545  6.54545455] ; [21.54545455  2.45454545],0
