Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000809,11.220876,[35 16] ; [ 3 12],[29.36363636 21.63636364] ; [8.63636364 6.36363636],1
a3,1,0.002211,9.36543,[36 15] ; [ 4 11],[30.90909091 20.09090909] ; [9.09090909 5.90909091],0
d4,1,0.002782,8.944941,[43  8] ; [7 8],[38.63636364 12.36363636] ; [11.36363636  3.63636364],0
d2,1,0.003167,8.708416,[25 26] ; [ 1 14],[20.09090909 30.90909091] ; [5.90909091 9.09090909],0
v2,1,0.00357,8.490306,[32 17] ; [ 3 11],[27.22222222 21.77777778] ; [7.77777778 6.22222222],0
v1,1,0.005454,7.722382,[27 23] ; [ 2 13],[22.30769231 27.69230769] ; [6.69230769 8.30769231],0
a4,1,0.00653,7.398039,[23 28] ; [ 1 14],[18.54545455 32.45454545] ; [5.45454545 9.54545455],0
d3,1,0.010464,6.554167,[35 15] ; [ 5 10],[30.76923077 19.23076923] ; [9.23076923 5.76923077],0
s5,1,0.030041,4.70697,[21 24] ; [ 2 12],[17.54237288 27.45762712] ; [5.45762712 8.54237288],0
p8,1,0.060973,3.510709,[27 24] ; [12  3],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
p9,1,0.083489,2.995643,[44  7] ; [10  5],[41.72727273  9.27272727] ; [12.27272727  2.72727273],0
p12,1,0.094541,2.795294,[ 3 48] ; [ 3 12],[ 4.63636364 46.36363636] ; [ 1.36363636 13.63636364],0
p10,1,0.114772,2.487245,[40 10] ; [9 6],[37.69230769 12.30769231] ; [11.30769231  3.69230769],0
s6,1,0.120991,2.404443,[33 15] ; [7 8],[30.47619048 17.52380952] ; [9.52380952 5.47619048],0
n4,1,0.16015,1.97281,[37 14] ; [8 7],[34.77272727 16.22727273] ; [10.22727273  4.77272727],0
b2,1,0.179267,1.803689,[16 18] ; [2 7],[14.23255814 19.76744186] ; [3.76744186 5.23255814],0
b3,1,0.179267,1.803689,[16 18] ; [2 7],[14.23255814 19.76744186] ; [3.76744186 5.23255814],0
n2,1,0.19043,1.714286,[15  6] ; [1 2],[14.  7.] ; [2. 1.],0
v3,1,0.260766,1.264684,[21 28] ; [ 4 11],[19.140625 29.859375] ; [5.859375 9.140625],0
p4,1,0.275258,1.190356,[38 13] ; [9 6],[36.31818182 14.68181818] ; [10.68181818  4.31818182],0
p5,1,0.287512,1.131237,[ 5 46] ; [ 3 12],[ 6.18181818 44.81818182] ; [ 1.81818182 13.18181818],0
u3,1,0.301941,1.065601,[8 6] ; [4 7],[6.72 7.28] ; [5.28 5.72],0
b5,1,0.308506,1.037062,[30 21] ; [11  4],[31.68181818 19.31818182] ; [9.31818182 5.68181818],0
s2,1,0.310033,1.030536,[28 23] ; [6 9],[26.27272727 24.72727273] ; [7.72727273 7.27272727],0
r2,1,0.315483,1.00758,[44  5] ; [12  3],[42.875  6.125] ; [13.125  1.875],0
p3,1,0.330797,0.945776,[31 20] ; [7 8],[29.36363636 21.63636364] ; [8.63636364 6.36363636],0
p2,1,0.332424,0.939434,[43  8] ; [11  4],[41.72727273  9.27272727] ; [12.27272727  2.72727273],0
s3,1,0.378223,0.776471,[27 24] ; [6 9],[25.5 25.5] ; [7.5 7.5],0
p1,1,0.413927,0.667492,[ 6 45] ; [ 3 12],[ 6.95454545 44.04545455] ; [ 2.04545455 12.95454545],0
b4,1,0.424768,0.637085,[33 18] ; [8 7],[31.68181818 19.31818182] ; [9.31818182 5.68181818],0
p7,1,0.444137,0.585571,[34 16] ; [11  3],[35.15625 14.84375] ; [9.84375 4.15625],0
r3,1,0.461526,0.542191,[44  7] ; [14  1],[44.81818182  6.18181818] ; [13.18181818  1.81818182],0
s7,1,0.479074,0.50097,[28 21] ; [6 7],[26.87096774 22.12903226] ; [7.12903226 5.87096774],0
u2,1,0.530236,0.393939,[10  5] ; [6 5],[9.23076923 5.76923077] ; [6.76923077 4.23076923],0
n6,1,0.55663,0.345572,[41 10] ; [11  4],[40.18181818 10.81818182] ; [11.81818182  3.18181818],0
s4,1,0.55663,0.345572,[10 41] ; [ 4 11],[10.81818182 40.18181818] ; [ 3.18181818 11.81818182],0
n5,1,0.577748,0.30989,[37 13] ; [10  5],[36.15384615 13.84615385] ; [10.84615385  4.15384615],0
n1,1,0.589962,0.290404,[10 10] ; [1 2],[ 9.56521739 10.43478261] ; [1.43478261 1.56521739],0
a6,1,0.605894,0.266197,[31 20] ; [8 7],[30.13636364 20.86363636] ; [8.86363636 6.13636364],0
b1,1,0.629352,0.232941,[24 27] ; [6 9],[23.18181818 27.81818182] ; [6.81818182 8.18181818],0
s1,1,0.665947,0.18638,[ 2 48] ; [ 1 14],[ 2.30769231 47.69230769] ; [ 0.69230769 14.30769231],0
s8,1,0.669064,0.182699,[27 24] ; [7 8],[26.27272727 24.72727273] ; [7.72727273 7.27272727],0
v4,1,0.69636,0.152286,[46  5] ; [13  2],[45.59090909  5.40909091] ; [13.40909091  1.59090909],0
a1,1,0.710238,0.138039,[ 5 46] ; [ 1 14],[ 4.63636364 46.36363636] ; [ 1.36363636 13.63636364],0
a8,1,0.753713,0.098438,[ 5 43] ; [ 2 13],[ 5.33333333 42.66666667] ; [ 1.66666667 13.33333333],0
p11,1,0.835467,0.043137,[42  9] ; [12  3],[41.72727273  9.27272727] ; [12.27272727  2.72727273],0
a7,1,0.847223,0.037119,[32 19] ; [9 6],[31.68181818 19.31818182] ; [9.31818182 5.68181818],0
r4,1,0.886035,0.020542,[35 16] ; [10  5],[34.77272727 16.22727273] ; [10.22727273  4.77272727],0
