Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.951889,[34  9] ; [43 75],[20.56521739 22.43478261] ; [56.43478261 61.56521739],1
p4,1,1.2e-05,19.115216,[29 14] ; [35 84],[16.98765432 26.01234568] ; [47.01234568 71.98765432],1
s7,1,0.000323,12.929369,[14 25] ; [ 13 106],[ 6.66455696 32.33544304] ; [20.33544304 98.66455696],1
p8,1,0.000939,10.944198,[25 18] ; [36 85],[15.99390244 27.00609756] ; [45.00609756 75.99390244],1
v1,1,0.002311,9.28464,[24 19] ; [35 83],[15.75776398 27.24223602] ; [43.24223602 74.75776398],0
p5,1,0.004317,8.145602,[ 6 37] ; [  3 119],[ 2.34545455 40.65454545] ; [  6.65454545 115.34545455],0
n4,1,0.004781,7.960492,[33 10] ; [63 58],[25.17073171 17.82926829] ; [70.82926829 50.17073171],0
r3,1,0.011726,6.351866,[41  2] ; [95 26],[35.65853659  7.34146341] ; [100.34146341  20.65853659],0
r4,1,0.014078,6.028276,[37  6] ; [81 41],[30.75151515 12.24848485] ; [87.24848485 34.75151515],0
n5,1,0.020272,5.388338,[32 11] ; [65 55],[25.58895706 17.41104294] ; [71.41104294 48.58895706],0
b2,1,0.029855,4.717645,[12 13] ; [15 47],[ 7.75862069 17.24137931] ; [19.24137931 42.75862069],0
b3,1,0.029855,4.717645,[12 13] ; [15 47],[ 7.75862069 17.24137931] ; [19.24137931 42.75862069],0
p11,1,0.044806,4.025925,[34  9] ; [76 46],[28.66666667 14.33333333] ; [81.33333333 40.66666667],0
p3,1,0.048792,3.882481,[19 24] ; [34 88],[13.81212121 29.18787879] ; [39.18787879 82.81212121],0
p2,1,0.064127,3.427292,[35  8] ; [81 41],[30.23030303 12.76969697] ; [85.76969697 36.23030303],0
n1,1,0.072756,3.219725,[8 7] ; [11 29],[5.18181818 9.81818182] ; [13.81818182 26.18181818],0
p9,1,0.083996,2.985834,[33 10] ; [74 45],[28.40123457 14.59876543] ; [78.59876543 40.40123457],0
v4,1,0.09814,2.73551,[40  3] ; [100  21],[36.70731707  6.29268293] ; [103.29268293  17.70731707],0
n3,1,0.115109,2.482639,[13  2] ; [26 14],[10.63636364  4.36363636] ; [28.36363636 11.63636364],0
s8,1,0.116545,2.46315,[10 33] ; [ 16 106],[ 6.77575758 36.22424242] ; [ 19.22424242 102.77575758],0
s6,1,0.126608,2.333605,[19 22] ; [40 81],[14.93209877 26.06790123] ; [44.06790123 76.93209877],0
p1,1,0.12933,2.300528,[ 5 38] ; [  6 116],[ 2.86666667 40.13333333] ; [  8.13333333 113.86666667],0
a8,1,0.129628,2.296955,[ 7 33] ; [ 10 104],[ 4.41558442 35.58441558] ; [ 12.58441558 101.41558442],0
v2,1,0.132485,2.26314,[22 20] ; [44 69],[17.88387097 24.11612903] ; [48.11612903 64.88387097],0
v3,1,0.204077,1.612952,[16 27] ; [32 87],[12.74074074 30.25925926] ; [35.25925926 83.74074074],0
d5,1,0.244622,1.35376,[28 15] ; [67 55],[24.75757576 18.24242424] ; [70.24242424 51.75757576],0
b5,1,0.246686,1.341975,[29 14] ; [70 52],[25.8 17.2] ; [73.2 48.8],0
r2,1,0.269253,1.22055,[38  5] ; [98 23],[35.65853659  7.34146341] ; [100.34146341  20.65853659],0
p12,1,0.27361,1.198559,[ 2 41] ; [  2 119],[ 1.04878049 41.95121951] ; [  2.95121951 118.04878049],0
