Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,154.931513,[246  15] ; [25 58],[205.61337209  55.38662791] ; [65.38662791 17.61337209],1
p11,1,0.0,57.977853,[226  36] ; [39 46],[200.08645533  61.91354467] ; [64.91354467 20.08645533],1
n6,1,0.0,28.043479,[221  40] ; [48 36],[203.50434783  57.49565217] ; [65.49565217 18.50434783],1
r3,1,1e-06,23.528928,[254   6] ; [71 14],[244.92753623  15.07246377] ; [80.07246377  4.92753623],1
p2,1,2e-06,23.104822,[225  36] ; [53 32],[209.70520231  51.29479769] ; [68.29479769 16.70520231],1
v4,1,2e-06,22.491395,[251   9] ; [69 16],[241.15942029  18.84057971] ; [78.84057971  6.15942029],1
r4,1,7.8e-05,15.606455,[238  24] ; [63 22],[227.26801153  34.73198847] ; [73.73198847 11.26801153],1
p8,1,0.000415,12.461461,[137 121] ; [26 58],[122.96491228 135.03508772] ; [40.03508772 43.96491228],1
s2,1,0.002722,8.984896,[ 91 167] ; [15 69],[ 79.96491228 178.03508772] ; [26.03508772 57.96491228],0
n5,1,0.003722,8.414916,[183  78] ; [45 40],[171.98843931  89.01156069] ; [56.01156069 28.98843931],0
p4,1,0.004569,8.042664,[145 117] ; [32 53],[133.6426513 128.3573487] ; [43.3573487 41.6426513],0
p7,1,0.006435,7.424344,[153 105] ; [36 49],[142.16326531 115.83673469] ; [46.83673469 38.16326531],0
r2,1,0.008649,6.893959,[244  14] ; [73 12],[238.44314869  19.55685131] ; [78.55685131  6.44314869],0
s1,1,0.0107,6.514411,[  3 256] ; [ 5 78],[  6.05847953 252.94152047] ; [ 1.94152047 81.05847953],0
u2,1,0.011098,6.449577,[58 39] ; [10 20],[51.93700787 45.06299213] ; [16.06299213 13.93700787],0
a5,1,0.017512,5.64435,[190  72] ; [50 35],[181.21037464  80.78962536] ; [58.78962536 26.21037464],0
n4,1,0.021242,5.306852,[189  73] ; [50 35],[180.45533141  81.54466859] ; [58.54466859 26.45533141],0
s8,1,0.022632,5.196496,[ 57 205] ; [ 9 76],[ 49.83285303 212.16714697] ; [16.16714697 68.83285303],0
d3,1,0.028126,4.820326,[203  58] ; [56 29],[195.37283237  65.62716763] ; [63.62716763 21.37283237],0
v2,1,0.030675,4.671053,[135 109] ; [35 49],[126.46341463 117.53658537] ; [43.53658537 40.46341463],0
v1,1,0.033185,4.536218,[128 123] ; [32 53],[119.52380952 131.47619048] ; [40.47619048 44.52380952],0
s5,1,0.033436,4.523292,[ 54 199] ; [ 9 74],[ 47.4375 205.5625] ; [15.5625 67.4375],0
p6,1,0.034288,4.480304,[ 77 183] ; [15 69],[ 69.53488372 190.46511628] ; [22.46511628 61.53488372],0
p3,1,0.035694,4.411665,[115 147] ; [26 58],[106.76878613 155.23121387] ; [34.23121387 49.76878613],0
s6,1,0.036027,4.395841,[139 117] ; [35 50],[130.62756598 125.37243402] ; [43.37243402 41.62756598],0
p12,1,0.036762,4.361412,[ 19 243] ; [ 1 84],[ 15.10086455 246.89913545] ; [ 4.89913545 80.10086455],0
d4,1,0.037493,4.327865,[223  39] ; [64 21],[216.69740634  45.30259366] ; [70.30259366 14.69740634],0
a1,1,0.041226,4.166693,[  8 254] ; [ 7 78],[ 11.32564841 250.67435159] ; [ 3.67435159 81.32564841],0
p5,1,0.046766,3.953795,[ 18 244] ; [ 1 83],[ 14.38728324 247.61271676] ; [ 4.61271676 79.38728324],0
b1,1,0.047007,3.94514,[ 86 176] ; [38 47],[ 93.62536023 168.37463977] ; [30.37463977 54.62536023],0
v3,1,0.051312,3.79806,[ 85 165] ; [19 65],[ 77.84431138 172.15568862] ; [26.15568862 57.84431138],0
n2,1,0.117601,2.44898,[36 13] ; [20 15],[32.66666667 16.33333333] ; [23.33333333 11.66666667],0
d1,1,0.165336,1.924729,[155 107] ; [43 42],[149.49855908 112.50144092] ; [48.50144092 36.49855908],0
d2,1,0.1734,1.853298,[104 157] ; [41 44],[109.37861272 151.62138728] ; [35.62138728 49.37861272],0
