Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003464,8.545196,[90 21] ; [14 12],[84.26277372 26.73722628] ; [19.73722628  6.26277372],0
n4,1,0.004849,7.935089,[86 25] ; [13 13],[80.21167883 30.78832117] ; [18.78832117  7.21167883],0
b1,1,0.00956,6.715024,[34 77] ; [15 11],[39.70072993 71.29927007] ; [ 9.29927007 16.70072993],0
r2,1,0.021929,5.251417,[102   9] ; [19  6],[98.75735294 12.24264706] ; [22.24264706  2.75735294],0
u2,1,0.022748,5.187622,[23 32] ; [10  3],[26.69117647 28.30882353] ; [6.30882353 6.69117647],0
a7,1,0.027693,4.847093,[69 42] ; [10 16],[64.00729927 46.99270073] ; [14.99270073 11.00729927],0
r4,1,0.034093,4.49004,[96 15] ; [18  8],[92.3649635 18.6350365] ; [21.6350365  4.3649635],0
p9,1,0.097654,2.743448,[91 18] ; [18  8],[88.00740741 20.99259259] ; [20.99259259  5.00740741],0
p10,1,0.13264,2.261328,[89 19] ; [18  8],[86.23880597 21.76119403] ; [20.76119403  5.23880597],0
s2,1,0.168946,1.892272,[40 67] ; [ 6 20],[37.0075188 69.9924812] ; [ 8.9924812 17.0075188],0
p3,1,0.170441,1.879064,[54 55] ; [ 9 17],[50.86666667 58.13333333] ; [12.13333333 13.86666667],0
s6,1,0.176418,1.827544,[65 42] ; [12 14],[61.94736842 45.05263158] ; [15.05263158 10.94736842],0
d3,1,0.186822,1.742502,[31 80] ; [ 4 22],[28.35766423 82.64233577] ; [ 6.64233577 19.35766423],0
p5,1,0.189584,1.720845,[14 95] ; [ 1 25],[12.11111111 96.88888889] ; [ 2.88888889 23.11111111],0
p8,1,0.236427,1.401772,[52 55] ; [16 10],[54.70676692 52.29323308] ; [13.29323308 12.70676692],0
s7,1,0.274058,1.196324,[41 62] ; [ 7 18],[38.625 64.375] ; [ 9.375 15.625],0
b4,1,0.288065,1.128644,[64 47] ; [12 14],[61.57664234 49.42335766] ; [14.42335766 11.57664234],0
p7,1,0.291713,1.111701,[62 45] ; [18  8],[64.36090226 42.63909774] ; [15.63909774 10.36090226],0
v3,1,0.311485,1.024367,[36 72] ; [ 6 20],[33.85074627 74.14925373] ; [ 8.14925373 17.85074627],0
s5,1,0.326803,0.961526,[27 80] ; [ 4 21],[25.12878788 81.87121212] ; [ 5.87121212 19.12878788],0
s3,1,0.332031,0.940959,[52 54] ; [10 16],[49.78787879 56.21212121] ; [12.21212121 13.78787879],0
a2,1,0.383208,0.760385,[ 10 101] ; [ 1 25],[  8.91240876 102.08759124] ; [ 2.08759124 23.91240876],0
v4,1,0.449881,0.570951,[105   5] ; [22  2],[104.25373134   5.74626866] ; [22.74626866  1.25373134],0
p2,1,0.452123,0.565323,[87 22] ; [19  7],[85.58518519 23.41481481] ; [20.41481481  5.58518519],0
a6,1,0.487504,0.482031,[68 43] ; [14 12],[66.4379562 44.5620438] ; [15.5620438 10.4379562],0
u3,1,0.506226,0.44186,[24 31] ; [7 6],[25.07352941 29.92647059] ; [5.92647059 7.07352941],0
r1,1,0.580904,0.304775,[78 32] ; [17  9],[76.83823529 33.16176471] ; [18.16176471  7.83823529],0
a8,1,0.580914,0.30476,[ 9 93] ; [ 3 21],[ 9.71428571 92.28571429] ; [ 2.28571429 21.71428571],0
r3,1,0.587339,0.294518,[101   9] ; [23  3],[100.29411765   9.70588235] ; [23.70588235  2.29411765],0
n2,1,0.632912,0.228132,[23  5] ; [8 1],[23.45945946  4.54054054] ; [7.54054054 1.45945946],0
s4,1,0.647083,0.209598,[21 88] ; [ 4 22],[20.18518519 88.81481481] ; [ 4.81481481 21.18518519],0
b5,1,0.656909,0.1973,[63 48] ; [16 10],[64.00729927 46.99270073] ; [14.99270073 11.00729927],0
p6,1,0.670546,0.180964,[34 75] ; [ 7 19],[33.1037037 75.8962963] ; [ 7.8962963 18.1037037],0
d5,1,0.675932,0.174741,[52 59] ; [11 15],[51.04379562 59.95620438] ; [11.95620438 14.04379562],0
b3,1,0.677188,0.173309,[19 52] ; [ 3 11],[18.37647059 52.62352941] ; [ 3.62352941 10.37647059],0
b2,1,0.677188,0.173309,[19 52] ; [ 3 11],[18.37647059 52.62352941] ; [ 3.62352941 10.37647059],0
d2,1,0.680404,0.169672,[30 81] ; [ 6 20],[29.16788321 81.83211679] ; [ 6.83211679 19.16788321],0
a5,1,0.709188,0.139089,[60 51] ; [13 13],[59.1459854 51.8540146] ; [13.8540146 12.1459854],0
s1,1,0.718285,0.130142,[  6 101] ; [ 1 25],[  5.63157895 101.36842105] ; [ 1.36842105 24.63157895],0
n1,1,0.719918,0.128571,[12 16] ; [4 4],[12.44444444 15.55555556] ; [3.55555556 4.44444444],0
