Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.734537,[  9 100] ; [43 34],[30.47311828 78.52688172] ; [21.52688172 55.47311828],1
s3,1,0.0,34.308284,[24 84] ; [49 26],[43.08196721 64.91803279] ; [29.91803279 45.08196721],1
s7,1,0.0,29.340611,[12 89] ; [37 39],[27.96045198 73.03954802] ; [21.03954802 54.96045198],1
s8,1,1e-06,23.814316,[11 99] ; [31 46],[24.70588235 85.29411765] ; [17.29411765 59.70588235],1
p4,1,0.000143,14.461872,[27 82] ; [40 37],[39.26344086 69.73655914] ; [27.73655914 49.26344086],1
s5,1,0.00021,13.742538,[  8 100] ; [21 55],[17.02173913 90.97826087] ; [11.97826087 64.02173913],1
r3,1,0.000377,12.640435,[81 27] ; [73  4],[89.9027027 18.0972973] ; [64.0972973 12.9027027],1
v1,1,0.001165,10.545029,[30 78] ; [39 37],[40.5 67.5] ; [28.5 47.5],0
r4,1,0.001656,9.896797,[68 42] ; [64 13],[77.64705882 32.35294118] ; [54.35294118 22.64705882],0
d4,1,0.002427,9.194979,[69 39] ; [64 12],[78.06521739 29.93478261] ; [54.93478261 21.06521739],0
p5,1,0.003025,8.792537,[  1 108] ; [ 8 69],[  5.27419355 103.72580645] ; [ 3.72580645 73.27419355],0
d5,1,0.003511,8.520748,[66 44] ; [61 15],[75.10752688 34.89247312] ; [51.89247312 24.10752688],0
r1,1,0.004251,8.173577,[64 44] ; [61 16],[72.97297297 35.02702703] ; [52.02702703 24.97297297],0
u3,1,0.005129,7.833355,[15 30] ; [21 11],[21.03896104 23.96103896] ; [14.96103896 17.03896104],0
v3,1,0.006435,7.4243,[22 83] ; [29 44],[30.08426966 74.91573034] ; [20.91573034 52.08426966],0
u1,1,0.00687,7.306542,[  9 101] ; [17 60],[15.29411765 94.70588235] ; [10.70588235 66.29411765],0
p3,1,0.007863,7.064338,[23 86] ; [30 47],[31.05913978 77.94086022] ; [21.94086022 55.05913978],0
v4,1,0.012382,6.255334,[81 27] ; [69  8],[87.56756757 20.43243243] ; [62.43243243 14.56756757],0
p9,1,0.014526,5.973118,[31 76] ; [35 40],[38.8021978 68.1978022] ; [27.1978022 47.8021978],0
r2,1,0.01862,5.536852,[86 22] ; [71  6],[91.65405405 16.34594595] ; [65.34594595 11.65405405],0
d1,1,0.020807,5.342857,[44 66] ; [44 33],[51.76470588 58.23529412] ; [36.23529412 40.76470588],0
