Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,7e-06,20.230541,[ 1 33] ; [21 21],[ 9.84210526 24.15789474] ; [12.15789474 29.84210526],1
a5,1,0.000587,11.815495,[10 24] ; [29 13],[17.44736842 16.55263158] ; [21.55263158 20.44736842],1
s7,1,0.00293,8.850433,[ 2 30] ; [14 25],[ 7.21126761 24.78873239] ; [ 8.78873239 30.21126761],0
d4,1,0.003069,8.766234,[16 17] ; [34  8],[22. 11.] ; [28. 14.],0
s6,1,0.003831,8.36228,[ 9 25] ; [24 16],[15.16216216 18.83783784] ; [17.83783784 22.16216216],0
r2,1,0.004818,7.946404,[23 11] ; [39  3],[27.73684211  6.26315789] ; [34.26315789  7.73684211],0
a4,1,0.006172,7.499453,[ 6 28] ; [20 22],[11.63157895 22.36842105] ; [14.36842105 27.63157895],0
d2,1,0.008218,6.985294,[ 7 27] ; [21 21],[12.52631579 21.47368421] ; [15.47368421 26.52631579],0
s5,1,0.010663,6.520592,[ 5 29] ; [16 22],[ 9.91666667 24.08333333] ; [11.08333333 26.91666667],0
s4,1,0.010787,6.500108,[ 3 31] ; [14 28],[ 7.60526316 26.39473684] ; [ 9.39473684 32.60526316],0
v2,1,0.013702,6.0761,[ 6 26] ; [19 22],[10.95890411 21.04109589] ; [14.04109589 26.95890411],0
p6,1,0.018815,5.518599,[ 3 30] ; [13 28],[ 7.13513514 25.86486486] ; [ 8.86486486 32.13513514],0
n1,1,0.020058,5.406866,[ 1 12] ; [10 12],[4.08571429 8.91428571] ; [ 6.91428571 15.08571429],0
d3,1,0.036923,4.353964,[ 9 25] ; [21 21],[13.42105263 20.57894737] ; [16.57894737 25.42105263],0
p4,1,0.046118,3.977273,[ 9 24] ; [21 21],[13.2 19.8] ; [16.8 25.2],0
a8,1,0.078529,3.095096,[ 4 27] ; [ 1 41],[ 2.12328767 28.87671233] ; [ 2.87671233 39.12328767],0
v4,1,0.084364,2.978767,[25  8] ; [38  4],[27.72  5.28] ; [35.28  6.72],0
s8,1,0.086121,2.945424,[ 5 29] ; [13 28],[ 8.16 25.84] ; [ 9.84 31.16],0
p10,1,0.087536,2.919104,[14 20] ; [25 16],[17.68 16.32] ; [21.32 19.68],0
