Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.0,39.945147,[132 112] ; [90 10],[157.46511628  86.53488372] ; [64.53488372 35.46511628],1
s2,1,0.0,31.995617,[100 145] ; [75 26],[123.91618497 121.08381503] ; [51.08381503 49.91618497],1
s7,1,1e-06,24.924879,[ 81 157] ; [64 37],[101.79941003 136.20058997] ; [43.20058997 57.79941003],1
s8,1,4e-06,21.50441,[ 80 166] ; [60 41],[ 99.25072046 146.74927954] ; [40.74927954 60.25072046],1
s3,1,6e-06,20.491582,[113 132] ; [71 26],[131.8128655 113.1871345] ; [52.1871345 44.8128655],1
p12,1,1.2e-05,19.087635,[  4 241] ; [13 89],[ 12.00288184 232.99711816] ; [ 4.99711816 97.00288184],1
s4,1,4.8e-05,16.525514,[ 29 216] ; [30 70],[ 41.89855072 203.10144928] ; [17.10144928 82.89855072],1
b3,1,0.006614,7.374965,[38 92] ; [28 28],[46.12903226 83.87096774] ; [19.87096774 36.12903226],0
b2,1,0.006614,7.374965,[38 92] ; [28 28],[46.12903226 83.87096774] ; [19.87096774 36.12903226],0
b5,1,0.007583,7.129484,[163  83] ; [52 50],[151.98275862  94.01724138] ; [63.01724138 38.98275862],0
p6,1,0.008511,6.922637,[ 52 191] ; [35 65],[ 61.63556851 181.36443149] ; [25.36443149 74.63556851],0
d2,1,0.016555,5.742938,[ 90 156] ; [51 50],[ 99.95965418 146.04034582] ; [41.04034582 59.95965418],0
a4,1,0.018603,5.538423,[ 85 161] ; [49 53],[ 94.72413793 151.27586207] ; [39.27586207 62.72413793],0
n6,1,0.019882,5.422243,[194  50] ; [90 10],[201.44186047  42.55813953] ; [82.55813953 17.44186047],0
r4,1,0.020682,5.353403,[203  43] ; [94  8],[209.94827586  36.05172414] ; [87.05172414 14.94827586],0
v1,1,0.020983,5.328209,[105 135] ; [58 43],[114.72140762 125.27859238] ; [48.27859238 52.72140762],0
a5,1,0.041121,4.171017,[158  88] ; [77 25],[166.12068966  79.87931034] ; [68.87931034 33.12068966],0
p7,1,0.041311,4.163227,[120 117] ; [61 36],[128.43413174 108.56586826] ; [52.56586826 44.43413174],0
a2,1,0.045543,3.998422,[ 36 210] ; [24 78],[ 42.4137931 203.5862069] ; [17.5862069 84.4137931],0
p5,1,0.059961,3.53846,[ 11 233] ; [10 92],[ 14.80924855 229.19075145] ; [ 6.19075145 95.80924855],0
p1,1,0.062684,3.464901,[  8 238] ; [ 8 94],[ 11.31034483 234.68965517] ; [ 4.68965517 97.31034483],0
r2,1,0.089872,2.876668,[219  23] ; [95  4],[222.83870968  19.16129032] ; [91.16129032  7.83870968],0
d5,1,0.105574,2.619254,[182  63] ; [84 18],[187.80979827  57.19020173] ; [78.19020173 23.80979827],0
a1,1,0.144712,2.127121,[  5 241] ; [ 5 97],[  7.06896552 238.93103448] ; [ 2.93103448 99.06896552],0
u1,1,0.144756,2.126656,[ 23 223] ; [15 87],[ 26.86206897 219.13793103] ; [11.13793103 90.86206897],0
a3,1,0.153059,2.041497,[159  87] ; [74 28],[164.70689655  81.29310345] ; [68.29310345 33.70689655],0
a6,1,0.164337,1.933857,[164  82] ; [60 42],[158.34482759  87.65517241] ; [65.65517241 36.34482759],0
d1,1,0.206001,1.599308,[124 122] ; [59 43],[129.36206897 116.63793103] ; [53.63793103 48.36206897],0
v4,1,0.240738,1.376269,[229  15] ; [96  3],[231.19533528  12.80466472] ; [93.80466472  5.19533528],0
d4,1,0.242989,1.363167,[194  52] ; [86 16],[197.93103448  48.06896552] ; [82.06896552 19.93103448],0
u3,1,0.248195,1.333436,[44 41] ; [18 10],[46.63716814 38.36283186] ; [15.36283186 12.63716814],0
p4,1,0.277616,1.178723,[ 91 153] ; [44 57],[ 95.47826087 148.52173913] ; [39.52173913 61.47826087],0
n1,1,0.293907,1.101639,[21 43] ; [14 18],[23.33333333 40.66666667] ; [11.66666667 20.33333333],0
u2,1,0.307595,1.040974,[51 35] ; [13 14],[48.7079646 37.2920354] ; [15.2920354 11.7079646],0
r1,1,0.317728,0.998274,[185  61] ; [81 20],[188.57636888  57.42363112] ; [77.42363112 23.57636888],0
p11,1,0.35127,0.868864,[199  47] ; [78 24],[195.81034483  50.18965517] ; [81.18965517 20.81034483],0
p8,1,0.37616,0.783213,[ 95 147] ; [44 55],[ 98.64516129 143.35483871] ; [40.35483871 58.64516129],0
a8,1,0.380301,0.769728,[ 34 197] ; [10 81],[ 31.56521739 199.43478261] ; [12.43478261 78.56521739],0
b1,1,0.381217,0.766774,[ 75 171] ; [36 66],[ 78.46551724 167.53448276] ; [32.53448276 69.46551724],0
s1,1,0.451587,0.566665,[  8 235] ; [ 5 95],[  9.20991254 233.79008746] ; [ 3.79008746 96.20991254],0
d3,1,0.565107,0.330939,[168  76] ; [67 35],[165.72254335  78.27745665] ; [69.27745665 32.72254335],0
n4,1,0.572138,0.319117,[171  75] ; [74 28],[173.18965517  72.81034483] ; [71.81034483 30.18965517],0
p9,1,0.664016,0.188682,[222  23] ; [93  8],[223.04913295  21.95086705] ; [91.95086705  9.04913295],0
v3,1,0.667282,0.184797,[ 76 162] ; [34 65],[ 77.68545994 160.31454006] ; [32.31454006 66.68545994],0
r3,1,0.671065,0.180359,[230  15] ; [96  5],[230.83815029  14.16184971] ; [95.16184971  5.83815029],0
b4,1,0.697757,0.150816,[144 102] ; [62 40],[145.62068966 100.37931034] ; [60.37931034 41.62068966],0
n2,1,0.701886,0.146517,[51 14] ; [24  8],[50.25773196 14.74226804] ; [24.74226804  7.25773196],0
n5,1,0.723942,0.124747,[176  68] ; [74 26],[177.3255814  66.6744186] ; [72.6744186 27.3255814],0
n3,1,0.746128,0.104814,[44 21] ; [22  9],[44.6875 20.3125] ; [21.3125  9.6875],0
u4,1,0.877811,0.023638,[  2 244] ; [  1 101],[  2.12068966 243.87931034] ; [  0.87931034 101.12068966],0
p2,1,0.883038,0.021644,[201  44] ; [83 19],[200.51873199  44.48126801] ; [83.48126801 18.51873199],0
v2,1,0.976532,0.000865,[120 112] ; [50 47],[119.87841945 112.12158055] ; [50.12158055 46.87841945],0
a7,1,0.984202,0.000392,[178  67] ; [74 28],[177.92507205  67.07492795] ; [74.07492795 27.92507205],0
