Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.002172,9.398601,[44  6] ; [34 21],[37.14285714 12.85714286] ; [40.85714286 14.14285714],0
p7,1,0.002178,9.393281,[26 25] ; [12 42],[18.45714286 32.54285714] ; [19.54285714 34.45714286],0
p8,1,0.003387,8.586189,[20 31] ; [ 8 48],[13.34579439 37.65420561] ; [14.65420561 41.34579439],0
v4,1,0.009977,6.638998,[45  6] ; [37 18],[39.45283019 11.54716981] ; [42.54716981 12.45283019],0
v1,1,0.014025,6.034944,[20 31] ; [10 46],[14.29906542 36.70093458] ; [15.70093458 40.29906542],0
p11,1,0.017544,5.641111,[28 23] ; [18 38],[21.92523364 29.07476636] ; [24.07476636 31.92523364],0
p4,1,0.020619,5.358729,[21 30] ; [11 43],[15.54285714 35.45714286] ; [16.45714286 37.54285714],0
b3,1,0.03371,4.509368,[ 5 25] ; [15 22],[ 8.95522388 21.04477612] ; [11.04477612 25.95522388],0
b2,1,0.03371,4.509368,[ 5 25] ; [15 22],[ 8.95522388 21.04477612] ; [11.04477612 25.95522388],0
d3,1,0.035138,4.438458,[34 17] ; [26 30],[28.59813084 22.40186916] ; [31.40186916 24.59813084],0
a1,1,0.038432,4.285815,[ 1 50] ; [ 7 49],[ 3.81308411 47.18691589] ; [ 4.18691589 51.81308411],0
v2,1,0.04228,4.123954,[26 25] ; [17 37],[20.88571429 30.11428571] ; [22.11428571 31.88571429],0
p6,1,0.059473,3.552032,[11 38] ; [ 5 50],[ 7.53846154 41.46153846] ; [ 8.46153846 46.53846154],0
p3,1,0.06565,3.388569,[17 34] ; [10 46],[12.86915888 38.13084112] ; [14.13084112 41.86915888],0
n2,1,0.08287,3.0077,[15  6] ; [11 13],[12.13333333  8.86666667] ; [13.86666667 10.13333333],0
b5,1,0.086023,2.947259,[33 18] ; [27 29],[28.59813084 22.40186916] ; [31.40186916 24.59813084],0
a7,1,0.103385,2.652535,[35 15] ; [30 25],[30.95238095 19.04761905] ; [34.04761905 20.95238095],0
r4,1,0.111173,2.537464,[35 16] ; [30 26],[30.98130841 20.01869159] ; [34.01869159 21.98130841],0
s1,1,0.11246,2.519311,[ 1 50] ; [ 5 50],[ 2.88679245 48.11320755] ; [ 3.11320755 51.88679245],0
r1,1,0.121026,2.403988,[37 14] ; [32 23],[33.19811321 17.80188679] ; [35.80188679 19.19811321],0
