Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,25.253351,[97 19] ; [16 22],[85.11688312 30.88311688] ; [27.88311688 10.11688312],1
v4,1,0.000535,11.988943,[104  12] ; [25 13],[97.16883117 18.83116883] ; [31.83116883  6.16883117],1
p11,1,0.001516,10.059603,[88 28] ; [19 20],[80.07741935 35.92258065] ; [26.92258065 12.07741935],0
s8,1,0.001623,9.93311,[50 65] ; [ 6 33],[41.81818182 73.18181818] ; [14.18181818 24.81818182],0
s7,1,0.002567,9.092125,[57 55] ; [ 8 28],[49.18918919 62.81081081] ; [15.81081081 20.18918919],0
p9,1,0.002828,8.915231,[85 29] ; [19 20],[77.49019608 36.50980392] ; [26.50980392 12.49019608],0
r4,1,0.003865,8.346359,[88 28] ; [20 19],[80.82580645 35.17419355] ; [27.17419355 11.82580645],0
d5,1,0.00422,8.186625,[77 38] ; [16 23],[69.44805195 45.55194805] ; [23.55194805 15.44805195],0
p10,1,0.005171,7.818723,[79 36] ; [17 22],[71.68831169 43.31168831] ; [24.31168831 14.68831169],0
r3,1,0.009998,6.635242,[97 19] ; [25 14],[91.30322581 24.69677419] ; [30.69677419  8.30322581],0
p8,1,0.011667,6.360792,[50 66] ; [ 8 31],[43.40645161 72.59354839] ; [14.59354839 24.40645161],0
a5,1,0.015601,5.847333,[76 40] ; [17 22],[69.6 46.4] ; [23.4 15.6],0
n4,1,0.017739,5.621723,[86 30] ; [21 18],[80.07741935 35.92258065] ; [26.92258065 12.07741935],0
s6,1,0.021938,5.250656,[69 42] ; [16 23],[62.9 48.1] ; [22.1 16.9],0
u2,1,0.025138,5.01436,[15 28] ; [13  7],[19.11111111 23.88888889] ; [ 8.88888889 11.11111111],0
d1,1,0.025861,4.965263,[50 66] ; [ 9 30],[44.15483871 71.84516129] ; [14.84516129 24.15483871],0
p2,1,0.052743,3.752057,[83 32] ; [21 17],[78.16993464 36.83006536] ; [25.83006536 12.16993464],0
a1,1,0.061281,3.502374,[  5 111] ; [ 5 34],[  7.48387097 108.51612903] ; [ 2.51612903 36.48387097],0
a3,1,0.104327,2.638121,[73 42] ; [19 20],[68.7012987 46.2987013] ; [23.2987013 15.7012987],0
p5,1,0.136164,2.220783,[16 98] ; [ 2 37],[ 13.41176471 100.58823529] ; [ 4.58823529 34.41176471],0
r1,1,0.138001,2.200113,[75 41] ; [20 19],[71.09677419 44.90322581] ; [23.90322581 15.09677419],0
s5,1,0.142287,2.153047,[39 74] ; [ 8 29],[35.40666667 77.59333333] ; [11.59333333 25.40666667],0
s1,1,0.174047,1.847734,[  5 110] ; [ 4 35],[  6.72077922 108.27922078] ; [ 2.27922078 36.72077922],0
s2,1,0.187406,1.737893,[46 69] ; [11 28],[42.56493506 72.43506494] ; [14.43506494 24.56493506],0
p6,1,0.188357,1.730425,[38 77] ; [ 8 29],[34.80263158 80.19736842] ; [11.19736842 25.80263158],0
r2,1,0.197214,1.662884,[99 17] ; [29  9],[96.41558442 19.58441558] ; [31.58441558  6.41558442],0
p4,1,0.219253,1.509256,[56 60] ; [14 24],[52.72727273 63.27272727] ; [17.27272727 20.72727273],0
v3,1,0.267445,1.229804,[26 90] ; [ 5 31],[23.65789474 92.34210526] ; [ 7.34210526 28.65789474],0
d3,1,0.32921,0.952002,[52 64] ; [14 25],[49.39354839 66.60645161] ; [16.60645161 22.39354839],0
a4,1,0.33507,0.929204,[51 63] ; [14 25],[48.43137255 65.56862745] ; [16.56862745 22.43137255],0
s4,1,0.344841,0.89235,[24 91] ; [11 28],[26.13636364 88.86363636] ; [ 8.86363636 30.13636364],0
p3,1,0.353667,0.860257,[48 67] ; [13 26],[45.55194805 69.44805195] ; [15.44805195 23.55194805],0
b5,1,0.379433,0.772537,[60 56] ; [17 22],[57.62580645 58.37419355] ; [19.37419355 19.62580645],0
v1,1,0.390792,0.736475,[35 78] ; [15 24],[37.17105263 75.82894737] ; [12.82894737 26.17105263],0
a2,1,0.396047,0.720294,[ 11 105] ; [ 2 37],[  9.72903226 106.27096774] ; [ 3.27096774 35.72903226],0
b2,1,0.408088,0.684363,[30 43] ; [ 9 19],[28.18811881 44.81188119] ; [10.81188119 17.18811881],0
b3,1,0.408088,0.684363,[30 43] ; [ 9 19],[28.18811881 44.81188119] ; [10.81188119 17.18811881],0
p1,1,0.449248,0.572547,[ 14 102] ; [ 3 36],[ 12.72258065 103.27741935] ; [ 4.27741935 34.72258065],0
d4,1,0.483694,0.490524,[75 40] ; [23 16],[73.18181818 41.81818182] ; [24.81818182 14.18181818],0
b1,1,0.488316,0.480235,[58 58] ; [22 17],[59.87096774 56.12903226] ; [20.12903226 18.87096774],0
s3,1,0.539831,0.375853,[60 55] ; [22 16],[61.63398693 53.36601307] ; [20.36601307 17.63398693],0
p7,1,0.543908,0.368345,[61 54] ; [18 20],[59.37908497 55.62091503] ; [19.62091503 18.37908497],0
u3,1,0.556299,0.346153,[16 27] ; [ 9 11],[17.06349206 25.93650794] ; [ 7.93650794 12.06349206],0
n3,1,0.610032,0.260129,[23 17] ; [8 8],[22.14285714 17.85714286] ; [8.85714286 7.14285714],0
a6,1,0.611304,0.258281,[50 66] ; [15 24],[48.64516129 67.35483871] ; [16.35483871 22.64516129],0
a8,1,0.615535,0.252193,[12 97] ; [ 3 34],[11.19863014 97.80136986] ; [ 3.80136986 33.19863014],0
n2,1,0.643241,0.214528,[27 15] ; [12  5],[27.76271186 14.23728814] ; [11.23728814  5.76271186],0
d2,1,0.686775,0.162599,[51 63] ; [16 23],[49.92156863 64.07843137] ; [17.07843137 21.92156863],0
b4,1,0.742885,0.107607,[63 53] ; [20 19],[62.11612903 53.88387097] ; [20.88387097 18.11612903],0
n1,1,0.840301,0.040606,[16 26] ; [ 6 11],[15.66101695 26.33898305] ; [ 6.33898305 10.66101695],0
