Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.2e-05,19.112658,[18 29] ; [206  85],[31.14792899 15.85207101] ; [192.85207101  98.14792899],1
p8,1,8.6e-05,15.431235,[13 35] ; [166 122],[25.57142857 22.42857143] ; [153.42857143 134.57142857],1
p7,1,0.002327,9.27148,[21 25] ; [193  88],[30.10397554 15.89602446] ; [183.89602446  97.10397554],0
p10,1,0.022751,5.187405,[37 11] ; [257  32],[41.87537092  6.12462908] ; [252.12462908  36.87537092],0
p11,1,0.03106,4.649647,[31 17] ; [230  62],[36.84705882 11.15294118] ; [224.15294118  67.84705882],0
p3,1,0.046282,3.971308,[18 29] ; [157 134],[24.33431953 22.66568047] ; [150.66568047 140.33431953],0
d5,1,0.052344,3.764748,[34 12] ; [249  43],[38.5147929  7.4852071] ; [244.4852071  47.5147929],0
s1,1,0.068476,3.319189,[ 5 43] ; [ 12 275],[ 2.4358209 45.5641791] ; [ 14.5641791 272.4358209],0
n6,1,0.074693,3.176763,[37 10] ; [254  34],[40.82686567  6.17313433] ; [250.17313433  37.82686567],0
p9,1,0.094258,2.80011,[39  8] ; [261  26],[42.21556886  4.78443114] ; [257.78443114  29.21556886],0
b5,1,0.131566,2.273923,[37 11] ; [193  99],[32.47058824 15.52941176] ; [197.52941176  94.47058824],0
p5,1,0.172376,1.862157,[ 3 43] ; [ 40 251],[ 5.8694362 40.1305638] ; [ 37.1305638 253.8694362],0
r2,1,0.178496,1.810101,[46  2] ; [284   4],[47.14285714  0.85714286] ; [282.85714286   5.14285714],0
d4,1,0.181293,1.786994,[38  8] ; [261  31],[40.69230769  5.30769231] ; [258.30769231  33.69230769],0
r4,1,0.187897,1.734032,[43  5] ; [276  16],[45.03529412  2.96470588] ; [273.96470588  18.03529412],0
s8,1,0.190366,1.714784,[23 24] ; [172 119],[27.11538462 19.88461538] ; [167.88461538 123.11538462],0
u4,1,0.202737,1.622544,[ 3 45] ; [  8 284],[ 1.55294118 46.44705882] ; [  9.44705882 282.55294118],0
p6,1,0.250175,1.322323,[17 31] ; [128 161],[20.65281899 27.34718101] ; [124.34718101 164.65281899],0
a3,1,0.250599,1.319963,[32 16] ; [217  74],[35.25663717 12.74336283] ; [213.74336283  77.25663717],0
r1,1,0.263137,1.252176,[38 10] ; [247  42],[40.59347181  7.40652819] ; [244.40652819  44.59347181],0
s3,1,0.276457,1.184424,[39  8] ; [256  33],[41.26488095  5.73511905] ; [253.73511905  35.26488095],0
b1,1,0.278776,1.173049,[21 27] ; [104 188],[17.64705882 30.35294118] ; [107.35294118 184.64705882],0
a5,1,0.293741,1.102397,[34 14] ; [227  65],[36.84705882 11.15294118] ; [224.15294118  67.84705882],0
a6,1,0.299263,1.077475,[32 14] ; [223  68],[34.80712166 11.19287834] ; [220.19287834  70.80712166],0
d1,1,0.357064,0.848193,[30 18] ; [202  90],[32.75294118 15.24705882] ; [199.24705882  92.75294118],0
d3,1,0.362724,0.828439,[34 12] ; [233  59],[36.33727811  9.66272189] ; [230.66272189  61.33727811],0
v4,1,0.375853,0.784222,[46  2] ; [284   6],[46.86390533  1.13609467] ; [283.13609467   6.86390533],0
a2,1,0.39973,0.709139,[13 35] ; [ 97 195],[15.52941176 32.47058824] ; [ 94.47058824 197.52941176],0
n3,1,0.421274,0.646757,[12  5] ; [40 10],[13.19402985  3.80597015] ; [38.80597015 11.19402985],0
s6,1,0.43376,0.612735,[40  8] ; [251  36],[41.69552239  6.30447761] ; [249.30447761  37.69552239],0
s5,1,0.456118,0.555403,[19 26] ; [134 144],[21.31578947 23.68421053] ; [131.68421053 146.31578947],0
b2,1,0.556161,0.346394,[ 9 19] ; [ 63 103],[10.39175258 17.60824742] ; [ 61.60824742 104.39175258],0
b3,1,0.556161,0.346394,[ 9 19] ; [ 63 103],[10.39175258 17.60824742] ; [ 61.60824742 104.39175258],0
s7,1,0.557934,0.343293,[28 16] ; [192  90],[29.69325153 14.30674847] ; [190.30674847  91.69325153],0
u3,1,0.565685,0.329956,[10  6] ; [51 22],[10.96629213  5.03370787] ; [50.03370787 22.96629213],0
a1,1,0.585668,0.29716,[ 3 45] ; [ 13 279],[ 2.25882353 45.74117647] ; [ 13.74117647 278.25882353],0
n4,1,0.604362,0.268468,[36 12] ; [228  63],[37.38053097 10.61946903] ; [226.61946903  64.38053097],0
a4,1,0.620182,0.245612,[21 27] ; [139 153],[22.58823529 25.41176471] ; [137.41176471 154.58823529],0
