Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6.4e-05,15.968544,[97 13] ; [4 6],[92.58333333 17.41666667] ; [8.41666667 1.58333333],1
v4,1,0.000707,11.470126,[105   4] ; [7 3],[102.58823529   6.41176471] ; [9.41176471 0.58823529],1
p9,1,0.002317,9.279423,[85 19] ; [4 6],[81.19298246 22.80701754] ; [7.80701754 2.19298246],0
a7,1,0.0075,7.14915,[77 31] ; [3 7],[73.22033898 34.77966102] ; [6.77966102 3.22033898],0
r3,1,0.009695,6.690147,[105   3] ; [8 2],[103.42372881   4.57627119] ; [9.57627119 0.42372881],0
r1,1,0.016215,5.779424,[83 27] ; [4 6],[79.75 30.25] ; [7.25 2.75],0
p2,1,0.019766,5.432417,[88 20] ; [5 5],[85.11864407 22.88135593] ; [7.88135593 2.11864407],0
n2,1,0.02278,5.185227,[21  3] ; [1 2],[19.55555556  4.44444444] ; [2.44444444 0.55555556],0
d5,1,0.026546,4.920122,[80 29] ; [4 6],[76.94117647 32.05882353] ; [7.05882353 2.94117647],0
n5,1,0.100256,2.701468,[81 28] ; [5 5],[78.77310924 30.22689076] ; [7.22689076 2.77310924],0
p10,1,0.119248,2.427176,[85 20] ; [6 4],[83.08695652 21.91304348] ; [7.91304348 2.08695652],0
s7,1,0.132294,2.265372,[61 42] ; [3 6],[58.85714286 44.14285714] ; [5.14285714 3.85714286],0
n6,1,0.151916,2.052905,[86 22] ; [6 4],[84.20338983 23.79661017] ; [7.79661017 2.20338983],0
a1,1,0.219949,1.504702,[  3 107] ; [1 9],[  3.66666667 106.33333333] ; [0.33333333 9.66666667],0
s8,1,0.225614,1.468298,[55 55] ; [3 7],[53.16666667 56.83333333] ; [4.83333333 5.16666667],0
s5,1,0.234222,1.415036,[41 64] ; [2 8],[39.26086957 65.73913043] ; [3.73913043 6.26086957],0
p8,1,0.237021,1.398224,[53 54] ; [3 7],[51.21367521 55.78632479] ; [4.78632479 5.21367521],0
b1,1,0.242307,1.367124,[45 65] ; [6 4],[46.75 63.25] ; [4.25 5.75],0
p11,1,0.512074,0.429827,[77 33] ; [6 4],[76.08333333 33.91666667] ; [6.91666667 3.08333333],0
a4,1,0.514438,0.42503,[20 90] ; [1 9],[19.25 90.75] ; [1.75 8.25],0
b4,1,0.537914,0.379419,[66 44] ; [5 5],[65.08333333 44.91666667] ; [5.91666667 4.08333333],0
p4,1,0.563456,0.333756,[55 54] ; [6 4],[55.87394958 53.12605042] ; [5.12605042 4.87394958],0
b5,1,0.57132,0.320479,[67 43] ; [7 3],[67.83333333 42.16666667] ; [6.16666667 3.83333333],0
p3,1,0.594379,0.283558,[42 67] ; [3 7],[41.21848739 67.78151261] ; [3.78151261 6.21848739],0
d2,1,0.602639,0.271033,[25 85] ; [3 7],[25.66666667 84.33333333] ; [2.33333333 7.66666667],0
a6,1,0.619856,0.24607,[53 57] ; [4 6],[52.25 57.75] ; [4.75 5.25],0
v2,1,0.620843,0.244684,[44 61] ; [5 5],[44.73913043 60.26086957] ; [4.26086957 5.73913043],0
d3,1,0.633078,0.22791,[68 41] ; [7 3],[68.69747899 40.30252101] ; [6.30252101 3.69747899],0
p6,1,0.669207,0.182531,[39 67] ; [3 7],[38.37931034 67.62068966] ; [3.62068966 6.37931034],0
s1,1,0.678634,0.171668,[  7 100] ; [1 9],[ 7.31623932 99.68376068] ; [0.68376068 9.31623932],0
v1,1,0.683131,0.166622,[50 57] ; [4 6],[49.38461538 57.61538462] ; [4.61538462 5.38461538],0
n4,1,0.687829,0.161445,[70 40] ; [7 3],[70.58333333 39.41666667] ; [6.41666667 3.58333333],0
p5,1,0.715941,0.132415,[15 91] ; [1 9],[14.62068966 91.37931034] ; [1.37931034 8.62068966],0
p7,1,0.718698,0.129744,[67 35] ; [6 4],[66.48214286 35.51785714] ; [6.51785714 3.48214286],0
n1,1,0.781814,0.076705,[10 14] ; [1 2],[ 9.77777778 14.22222222] ; [1.22222222 1.77777778],0
a3,1,0.782393,0.076287,[50 60] ; [5 5],[50.41666667 59.58333333] ; [4.58333333 5.41666667],0
p1,1,0.787852,0.072415,[14 94] ; [1 9],[13.72881356 94.27118644] ; [1.27118644 8.72881356],0
s3,1,0.802839,0.062338,[96 14] ; [9 1],[96.25 13.75] ; [8.75 1.25],0
d4,1,0.843249,0.039101,[85 25] ; [8 2],[85.25 24.75] ; [7.75 2.25],0
u3,1,0.843685,0.038881,[38 21] ; [3 2],[37.796875 21.203125] ; [3.203125 1.796875],0
d1,1,0.864569,0.029091,[41 69] ; [4 6],[41.25 68.75] ; [3.75 6.25],0
v3,1,0.944407,0.004863,[32 71] ; [3 7],[31.90265487 71.09734513] ; [3.09734513 6.90265487],0
a8,1,0.961362,0.002347,[12 91] ; [1 8],[11.95535714 91.04464286] ; [1.04464286 7.95535714],0
s6,1,0.966502,0.001764,[85 22] ; [8 2],[85.05128205 21.94871795] ; [7.94871795 2.05128205],0
s4,1,0.980429,0.000602,[32 76] ; [3 7],[32.03389831 75.96610169] ; [2.96610169 7.03389831],0
u2,1,0.987935,0.000229,[35 23] ; [3 2],[34.98412698 23.01587302] ; [3.01587302 1.98412698],0
