Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,0.0,34.04048,[101   3] ; [85 43],[83.37931034 20.62068966] ; [102.62068966  25.37931034],1
p7,1,0.0,29.726959,[78 24] ; [51 75],[57.71052632 44.28947368] ; [71.28947368 54.71052632],1
p10,1,0.000311,13.001929,[97  7] ; [96 31],[86.89177489 17.10822511] ; [106.10822511  20.89177489],1
p4,1,0.007573,7.13177,[67 37] ; [60 68],[56.93103448 47.06896552] ; [70.06896552 57.93103448],0
p11,1,0.012202,6.281243,[89 15] ; [92 36],[81.13793103 22.86206897] ; [99.86206897 28.13793103],0
s1,1,0.021443,5.290415,[  1 103] ; [  9 116],[ 4.54148472 99.45851528] ; [  5.45851528 119.54148472],0
b5,1,0.025181,5.011422,[54 50] ; [85 43],[62.31034483 41.68965517] ; [76.68965517 51.31034483],0
p3,1,0.031556,4.622482,[54 49] ; [49 79],[45.92640693 57.07359307] ; [57.07359307 70.92640693],0
v4,1,0.044515,4.036933,[100   2] ; [116  10],[96.63157895  5.36842105] ; [119.36842105   6.63157895],0
p9,1,0.075067,3.168599,[93 11] ; [102  24],[88.17391304 15.82608696] ; [106.82608696  19.17391304],0
d5,1,0.116,2.47052,[81 23] ; [109  18],[85.54112554 18.45887446] ; [104.45887446  22.54112554],0
n6,1,0.119752,2.420563,[91 12] ; [101  24],[86.73684211 16.26315789] ; [105.26315789  19.73684211],0
a7,1,0.132198,2.266496,[77 27] ; [83 45],[71.72413793 32.27586207] ; [88.27586207 39.72413793],0
p1,1,0.140718,2.170094,[10 94] ; [  6 122],[ 7.17241379 96.82758621] ; [  8.82758621 119.17241379],0
d2,1,0.147039,2.102703,[49 55] ; [72 55],[54.47619048 49.52380952] ; [66.52380952 60.47619048],0
r4,1,0.150062,2.071624,[95  9] ; [109  19],[91.44827586 12.55172414] ; [112.55172414  15.44827586],0
a1,1,0.164261,1.934556,[  2 102] ; [  7 121],[ 4.03448276 99.96551724] ; [  4.96551724 123.03448276],0
p5,1,0.188466,1.729569,[13 91] ; [  9 114],[10.07929515 93.92070485] ; [ 11.92070485 111.07929515],0
s6,1,0.192321,1.699744,[87 14] ; [101  26],[83.28070175 17.71929825] ; [104.71929825  22.28070175],0
a4,1,0.200247,1.640572,[42 61] ; [63 65],[46.81818182 56.18181818] ; [58.18181818 69.81818182],0
v1,1,0.206804,1.59366,[57 44] ; [58 63],[52.31981982 48.68018018] ; [62.68018018 58.31981982],0
u2,1,0.223994,1.478596,[12  6] ; [12 13],[10.04651163  7.95348837] ; [13.95348837 11.04651163],0
n2,1,0.235372,1.408103,[17  2] ; [29  9],[15.33333333  3.66666667] ; [30.66666667  7.33333333],0
u4,1,0.251122,1.31705,[  2 102] ; [  6 122],[  3.5862069 100.4137931] ; [  4.4137931 123.5862069],0
v2,1,0.273288,1.20017,[62 39] ; [66 56],[57.97309417 43.02690583] ; [70.02690583 51.97309417],0
r1,1,0.353736,0.860009,[89 14] ; [104  23],[86.43043478 16.56956522] ; [106.56956522  20.43043478],0
n3,1,0.354394,0.857661,[11  8] ; [26 11],[12.55357143  6.44642857] ; [24.44642857 12.55357143],0
s5,1,0.368283,0.809449,[41 61] ; [43 82],[37.74449339 64.25550661] ; [46.25550661 78.74449339],0
b3,1,0.387664,0.746258,[22 46] ; [37 58],[24.61349693 43.38650307] ; [34.38650307 60.61349693],0
b2,1,0.387664,0.746258,[22 46] ; [37 58],[24.61349693 43.38650307] ; [34.38650307 60.61349693],0
v3,1,0.405302,0.692541,[48 55] ; [48 69],[44.94545455 58.05454545] ; [51.05454545 65.94545455],0
s8,1,0.41686,0.659151,[69 33] ; [80 48],[66.07826087 35.92173913] ; [82.92173913 45.07826087],0
s3,1,0.437857,0.601891,[80 23] ; [93 34],[77.47391304 25.52608696] ; [95.52608696 31.47391304],0
a3,1,0.46826,0.52608,[86 18] ; [101  27],[83.82758621 20.17241379] ; [103.17241379  24.82758621],0
b1,1,0.468739,0.524948,[39 65] ; [54 74],[41.68965517 62.31034483] ; [51.31034483 76.68965517],0
p12,1,0.490672,0.475052,[ 5 98] ; [  9 119],[ 6.24242424 96.75757576] ; [  7.75757576 120.24242424],0
n4,1,0.551058,0.355426,[85 19] ; [99 27],[83.2 20.8] ; [100.8  25.2],0
r3,1,0.554233,0.349788,[100   4] ; [120   7],[99.04761905  4.95238095] ; [120.95238095   6.04761905],0
a8,1,0.558066,0.343064,[16 79] ; [23 92],[17.64285714 77.35714286] ; [21.35714286 93.64285714],0
r2,1,0.616437,0.250907,[98  5] ; [117   8],[97.12719298  5.87280702] ; [117.87280702   7.12719298],0
a2,1,0.617728,0.249074,[27 77] ; [37 91],[28.68965517 75.31034483] ; [35.31034483 92.68965517],0
n1,1,0.642028,0.2161,[ 8 11] ; [18 19],[ 8.82142857 10.17857143] ; [17.17857143 19.82142857],0
u1,1,0.649889,0.20604,[21 83] ; [29 99],[22.4137931 81.5862069] ; [ 27.5862069 100.4137931],0
a5,1,0.649889,0.20604,[83 21] ; [99 29],[81.5862069 22.4137931] ; [100.4137931  27.5862069],0
d3,1,0.686083,0.163358,[73 31] ; [86 41],[71.58441558 32.41558442] ; [87.41558442 39.58441558],0
s2,1,0.746979,0.104087,[70 34] ; [88 39],[71.13419913 32.86580087] ; [86.86580087 40.13419913],0
a6,1,0.754789,0.09755,[70 34] ; [83 44],[68.88311688 35.11688312] ; [84.11688312 42.88311688],0
d1,1,0.759604,0.093637,[63 41] ; [75 53],[61.86206897 42.13793103] ; [76.13793103 51.86206897],0
b4,1,0.803489,0.061919,[61 43] ; [73 55],[60.06896552 43.93103448] ; [73.93103448 54.06896552],0
s4,1,0.807345,0.059464,[19 85] ; [ 25 103],[19.72413793 84.27586207] ; [ 24.27586207 103.72413793],0
n5,1,0.875039,0.024731,[81 22] ; [98 28],[80.51091703 22.48908297] ; [98.48908297 27.51091703],0
u3,1,0.900109,0.015756,[11  7] ; [17 10],[11.2  6.8] ; [16.8 10.2],0
d4,1,0.997586,9e-06,[86 18] ; [105  22],[85.99134199 18.00865801] ; [105.00865801  21.99134199],0
