Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,34.074059,[ 8 23] ; [75 16],[21.09016393  9.90983607] ; [61.90983607 29.09016393],1
s2,1,1.7e-05,18.460421,[16 15] ; [81 11],[24.44715447  6.55284553] ; [72.55284553 19.44715447],1
s6,1,8.9e-05,15.359448,[21 10] ; [86  5],[27.18852459  3.81147541] ; [79.81147541 11.18852459],1
s3,1,0.000156,14.296752,[15 15] ; [75 14],[22.68907563  7.31092437] ; [67.31092437 21.68907563],1
n5,1,0.015521,5.856365,[22  9] ; [82 10],[26.21138211  4.78861789] ; [77.78861789 14.21138211],0
p9,1,0.033128,4.539177,[24  6] ; [85  6],[27.02479339  2.97520661] ; [81.97520661  9.02479339],0
p6,1,0.039181,4.253009,[ 9 21] ; [47 44],[13.88429752 16.11570248] ; [42.11570248 48.88429752],0
n4,1,0.039343,4.245982,[23  8] ; [83 10],[26.5  4.5] ; [79.5 13.5],0
b1,1,0.088547,2.900585,[ 8 23] ; [40 53],[12. 19.] ; [36. 57.],0
a3,1,0.121974,2.391786,[22  9] ; [77 15],[24.95121951  6.04878049] ; [74.04878049 17.95121951],0
p7,1,0.1231,2.377427,[21 10] ; [73 17],[24.08264463  6.91735537] ; [69.91735537 20.08264463],0
d3,1,0.127417,2.32369,[20 11] ; [72 20],[23.18699187  7.81300813] ; [68.81300813 23.18699187],0
n6,1,0.160538,1.969149,[28  3] ; [87  3],[29.46280992  1.53719008] ; [85.53719008  4.46280992],0
p8,1,0.193382,1.691665,[19 12] ; [67 24],[21.85245902  9.14754098] ; [64.14754098 26.85245902],0
s4,1,0.228543,1.449909,[ 4 26] ; [22 71],[ 6.34146341 23.65853659] ; [19.65853659 73.34146341],0
u2,1,0.233762,1.417824,[4 5] ; [11  5],[5.4 3.6] ; [9.6 6.4],0
n1,1,0.257757,1.280763,[1 5] ; [ 8 11],[2.16 3.84] ; [ 6.84 12.16],0
p4,1,0.355987,0.852,[21  9] ; [72 20],[22.86885246  7.13114754] ; [70.13114754 21.86885246],0
a2,1,0.360826,0.835017,[ 7 24] ; [29 64],[ 9. 22.] ; [27. 66.],0
p2,1,0.37718,0.779874,[25  6] ; [81 12],[26.5  4.5] ; [79.5 13.5],0
b4,1,0.394461,0.725146,[21 10] ; [55 38],[19. 12.] ; [57. 36.],0
b2,1,0.406046,0.690349,[9 7] ; [24 30],[7.54285714 8.45714286] ; [25.45714286 28.54285714],0
b3,1,0.406046,0.690349,[9 7] ; [24 30],[7.54285714 8.45714286] ; [25.45714286 28.54285714],0
v2,1,0.454267,0.559984,[26  4] ; [75 18],[24.63414634  5.36585366] ; [76.36585366 16.63414634],0
a5,1,0.471713,0.517962,[25  6] ; [80 13],[26.25  4.75] ; [78.75 14.25],0
r1,1,0.49472,0.466245,[27  4] ; [84  8],[27.97560976  3.02439024] ; [83.02439024  8.97560976],0
u3,1,0.509432,0.435233,[5 4] ; [11  5],[5.76 3.24] ; [10.24  5.76],0
a1,1,0.584337,0.299276,[ 2 29] ; [ 9 84],[ 2.75 28.25] ; [ 8.25 84.75],0
a4,1,0.603702,0.269448,[15 16] ; [50 43],[16.25 14.75] ; [48.75 44.25],0
a6,1,0.60612,0.265864,[22  9] ; [60 31],[20.83606557 10.16393443] ; [61.16393443 29.83606557],0
d2,1,0.613239,0.255485,[17 12] ; [49 43],[15.81818182 13.18181818] ; [50.18181818 41.81818182],0
p10,1,0.69876,0.149765,[26  4] ; [83 10],[26.58536585  3.41463415] ; [82.41463415 10.58536585],0
a7,1,0.718718,0.129724,[22  8] ; [65 28],[21.2195122  8.7804878] ; [65.7804878 27.2195122],0
v1,1,0.739833,0.110273,[21  9] ; [68 25],[21.70731707  8.29268293] ; [67.29268293 25.70731707],0
s1,1,0.749586,0.101879,[ 1 30] ; [ 2 89],[ 0.76229508 30.23770492] ; [ 2.23770492 88.76229508],0
p3,1,0.776465,0.080615,[19 12] ; [59 33],[19.65853659 11.34146341] ; [58.34146341 33.65853659],0
p12,1,0.786055,0.073678,[ 6 25] ; [16 77],[ 5.5 25.5] ; [16.5 76.5],0
p1,1,0.80513,0.060868,[ 6 25] ; [16 76],[ 5.54471545 25.45528455] ; [16.45528455 75.54471545],0
d5,1,0.847769,0.036851,[27  4] ; [78 13],[26.68032787  4.31967213] ; [78.31967213 12.68032787],0
d4,1,0.857536,0.032224,[26  4] ; [80 11],[26.28099174  3.71900826] ; [79.71900826 11.28099174],0
d1,1,0.911091,0.012469,[21 10] ; [64 29],[21.25  9.75] ; [63.75 29.25],0
n2,1,0.924899,0.008886,[6 1] ; [16  3],[5.92307692 1.07692308] ; [16.07692308  2.92307692],0
a8,1,0.927335,0.008317,[ 3 26] ; [ 8 74],[ 2.87387387 26.12612613] ; [ 8.12612613 73.87387387],0
n3,1,0.943206,0.005075,[6 2] ; [14  5],[5.92592593 2.07407407] ; [14.07407407  4.92592593],0
r3,1,0.976967,0.000834,[29  1] ; [90  3],[29.02439024  0.97560976] ; [89.97560976  3.02439024],0
r4,1,1.0,0.0,[30  1] ; [90  3],[30.  1.] ; [90.  3.],0
r2,1,1.0,0.0,[30  1] ; [90  3],[30.  1.] ; [90.  3.],0
u1,1,1.0,0.0,[ 8 23] ; [24 69],[ 8. 23.] ; [24. 69.],0
p5,1,1.0,0.0,[10 21] ; [30 63],[10. 21.] ; [30. 63.],0
b5,1,1.0,0.0,[16 15] ; [48 45],[16. 15.] ; [48. 45.],0
p11,1,1.0,0.0,[25  6] ; [75 18],[25.  6.] ; [75. 18.],0
