Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,0.000183,14.001293,[ 4 13] ; [12  1],[9.06666667 7.93333333] ; [6.93333333 6.06666667],1
p7,1,0.000689,11.519313,[ 2 15] ; [10  4],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],1
p2,1,0.00172,9.826919,[ 5 12] ; [12  2],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
p9,1,0.002275,9.313568,[ 4 13] ; [11  3],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
p11,1,0.019826,5.427171,[ 5 12] ; [10  4],[8.22580645 8.77419355] ; [6.77419355 7.22580645],0
s7,1,0.043047,4.093567,[ 2 12] ; [7 7],[4.5 9.5] ; [4.5 9.5],0
n5,1,0.045126,4.013936,[ 6 11] ; [10  4],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
s6,1,0.065447,3.393665,[ 6 11] ; [9 4],[8.5 8.5] ; [6.5 6.5],0
s8,1,0.112483,2.518983,[ 2 15] ; [5 9],[ 3.83870968 13.16129032] ; [ 3.16129032 10.83870968],0
p6,1,0.112483,2.518983,[ 2 15] ; [5 9],[ 3.83870968 13.16129032] ; [ 3.16129032 10.83870968],0
p3,1,0.123828,2.36822,[ 3 14] ; [6 8],[ 4.93548387 12.06451613] ; [4.06451613 9.93548387],0
s5,1,0.123828,2.36822,[ 3 14] ; [6 8],[ 4.93548387 12.06451613] ; [4.06451613 9.93548387],0
v1,1,0.125294,2.349866,[ 4 13] ; [7 7],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
p4,1,0.125294,2.349866,[ 4 13] ; [7 7],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
a5,1,0.137739,2.203037,[9 8] ; [11  3],[10.96774194  6.03225806] ; [9.03225806 4.96774194],0
n3,1,0.164264,1.934524,[3 6] ; [3 1],[4.15384615 4.84615385] ; [1.84615385 2.15384615],0
b4,1,0.171188,1.872513,[8 9] ; [10  4],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
r3,1,0.183416,1.76973,[11  6] ; [12  2],[12.61290323  4.38709677] ; [10.38709677  3.61290323],0
v2,1,0.2238,1.479839,[ 6 11] ; [8 6],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
n4,1,0.24179,1.370128,[10  7] ; [11  3],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
r2,1,0.251952,1.312445,[13  4] ; [8 6],[11.51612903  5.48387097] ; [9.48387097 4.51612903],0
p8,1,0.251952,1.312445,[ 4 13] ; [6 8],[ 5.48387097 11.51612903] ; [4.51612903 9.48387097],0
a4,1,0.292953,1.106,[8 9] ; [ 4 10],[ 6.58064516 10.41935484] ; [5.41935484 8.58064516],0
a7,1,0.376017,0.783683,[10  7] ; [6 8],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
s1,1,0.385284,0.753774,[ 3 14] ; [ 1 13],[ 2.19354839 14.80645161] ; [ 1.80645161 12.19354839],0
u3,1,0.386916,0.748611,[1 5] ; [2 3],[1.63636364 4.36363636] ; [1.36363636 3.63636364],0
a6,1,0.465411,0.53285,[ 7 10] ; [ 4 10],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
b1,1,0.524116,0.405785,[9 8] ; [9 5],[9.87096774 7.12903226] ; [8.12903226 5.87096774],0
d3,1,0.524116,0.405785,[8 9] ; [5 9],[7.12903226 9.87096774] ; [5.87096774 8.12903226],0
