Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.2e-05,16.391077,[13 70] ; [16 14],[21.30088496 61.69911504] ; [ 7.69911504 22.30088496],1
r1,1,0.000694,11.504822,[40 44] ; [25  5],[47.89473684 36.10526316] ; [17.10526316 12.89473684],1
b5,1,0.00489,7.919835,[53 31] ; [10 20],[46.42105263 37.57894737] ; [16.57894737 13.42105263],0
r3,1,0.009843,6.663142,[63 21] ; [29  1],[67.78947368 16.21052632] ; [24.21052632  5.78947368],0
p11,1,0.012259,6.273016,[52 32] ; [26  4],[57.47368421 26.52631579] ; [20.52631579  9.47368421],0
r4,1,0.016277,5.772741,[53 31] ; [26  4],[58.21052632 25.78947368] ; [20.78947368  9.21052632],0
v4,1,0.022439,5.211429,[66 18] ; [29  1],[70. 14.] ; [25.  5.],0
a7,1,0.02764,4.850371,[41 43] ; [21  8],[46.08849558 37.91150442] ; [15.91150442 13.08849558],0
p7,1,0.042962,4.096901,[37 44] ; [19  9],[41.6146789 39.3853211] ; [14.3853211 13.6146789],0
p3,1,0.044875,4.023332,[26 58] ; [15 14],[30.47787611 53.52212389] ; [10.52212389 18.47787611],0
r2,1,0.083651,2.9925,[63 21] ; [27  3],[66.31578947 17.68421053] ; [23.68421053  6.31578947],0
n6,1,0.105377,2.622223,[57 27] ; [25  5],[60.42105263 23.57894737] ; [21.57894737  8.42105263],0
a3,1,0.119529,2.423487,[32 51] ; [16 13],[35.57142857 47.42857143] ; [12.42857143 16.57142857],0
p8,1,0.164067,1.936333,[33 49] ; [16 13],[36.1981982 45.8018018] ; [12.8018018 16.1981982],0
p1,1,0.185317,1.754457,[10 74] ; [ 1 28],[ 8.17699115 75.82300885] ; [ 2.82300885 26.17699115],0
a4,1,0.228767,1.448513,[17 67] ; [ 3 26],[14.86725664 69.13274336] ; [ 5.13274336 23.86725664],0
d2,1,0.276645,1.183496,[19 65] ; [ 4 26],[16.94736842 67.05263158] ; [ 6.05263158 23.94736842],0
p10,1,0.295256,1.095498,[47 36] ; [19  9],[49.35135135 33.64864865] ; [16.64864865 11.35135135],0
p6,1,0.302807,1.06179,[23 60] ; [11 18],[25.19642857 57.80357143] ; [ 8.80357143 20.19642857],0
s5,1,0.346703,0.885489,[19 63] ; [ 9 19],[20.87272727 61.12727273] ; [ 7.12727273 20.87272727],0
a5,1,0.347125,0.88394,[35 49] ; [15 14],[37.16814159 46.83185841] ; [12.83185841 16.16814159],0
b2,1,0.352475,0.864526,[15 31] ; [ 3 12],[13.57377049 32.42622951] ; [ 4.42622951 10.57377049],0
b3,1,0.352475,0.864526,[15 31] ; [ 3 12],[13.57377049 32.42622951] ; [ 4.42622951 10.57377049],0
s2,1,0.390536,0.737273,[29 55] ; [13 17],[30.94736842 53.05263158] ; [11.05263158 18.94736842],0
p12,1,0.396818,0.717949,[ 5 79] ; [ 3 25],[ 6. 78.] ; [ 2. 26.],0
p9,1,0.511174,0.431664,[53 29] ; [20  8],[54.41818182 27.58181818] ; [18.58181818  9.41818182],0
s6,1,0.54028,0.375021,[37 45] ; [15 14],[38.41441441 43.58558559] ; [13.58558559 15.41441441],0
u2,1,0.554811,0.348768,[21 30] ; [7 7],[21.96923077 29.03076923] ; [6.03076923 7.96923077],0
a1,1,0.581323,0.304101,[ 5 79] ; [ 1 29],[ 4.42105263 79.57894737] ; [ 1.57894737 28.42105263],0
a2,1,0.581323,0.304101,[ 5 79] ; [ 1 29],[ 4.42105263 79.57894737] ; [ 1.57894737 28.42105263],0
a6,1,0.63756,0.221947,[45 39] ; [17 12],[46.08849558 37.91150442] ; [15.91150442 13.08849558],0
s8,1,0.647764,0.208731,[20 63] ; [ 6 24],[19.09734513 63.90265487] ; [ 6.90265487 23.09734513],0
n2,1,0.681442,0.168507,[22 12] ; [3 1],[22.36842105 11.63157895] ; [2.63157895 1.36842105],0
b1,1,0.700673,0.147773,[37 47] ; [12 18],[36.10526316 47.89473684] ; [12.89473684 17.10526316],0
s7,1,0.745724,0.10516,[24 56] ; [ 9 18],[24.6728972 55.3271028] ; [ 8.3271028 18.6728972],0
u1,1,0.779684,0.07825,[ 2 82] ; [ 1 29],[ 2.21052632 81.78947368] ; [ 0.78947368 29.21052632],0
p5,1,0.793214,0.068717,[ 7 76] ; [ 2 27],[ 6.66964286 76.33035714] ; [ 2.33035714 26.66964286],0
d3,1,0.815078,0.0547,[31 53] ; [10 19],[30.47787611 53.52212389] ; [10.52212389 18.47787611],0
p2,1,0.820076,0.051732,[56 28] ; [20  9],[56.49557522 27.50442478] ; [19.50442478  9.49557522],0
