Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,27.529857,[73  9] ; [ 4 10],[65.77083333 16.22916667] ; [11.22916667  2.77083333],1
d1,1,2e-06,22.504526,[60 22] ; [ 1 13],[52.10416667 29.89583333] ; [8.89583333 5.10416667],1
d3,1,0.000102,15.094077,[61 21] ; [ 3 11],[54.66666667 27.33333333] ; [9.33333333 4.66666667],1
a3,1,0.003643,8.453915,[69 13] ; [7 7],[64.91666667 17.08333333] ; [11.08333333  2.91666667],0
d2,1,0.007813,7.075851,[49 33] ; [ 3 11],[44.41666667 37.58333333] ; [7.58333333 6.41666667],0
p1,1,0.008978,6.827248,[19 63] ; [8 6],[23.0625 58.9375] ; [ 3.9375 10.0625],0
a4,1,0.010368,6.5706,[42 40] ; [ 2 12],[37.58333333 44.41666667] ; [6.41666667 7.58333333],0
s8,1,0.055651,3.662477,[51 30] ; [5 9],[47.74736842 33.25263158] ; [8.25263158 5.74736842],0
p2,1,0.057696,3.602413,[76  5] ; [11  3],[74.17894737  6.82105263] ; [12.82105263  1.17894737],0
v1,1,0.084009,2.985577,[57 21] ; [7 7],[54.26086957 23.73913043] ; [9.73913043 4.26086957],0
s1,1,0.09814,2.735506,[ 3 79] ; [ 2 12],[ 4.27083333 77.72916667] ; [ 0.72916667 13.27083333],0
s2,1,0.109739,2.557977,[47 33] ; [5 9],[44.25531915 35.74468085] ; [7.74468085 6.25531915],0
a5,1,0.137955,2.200624,[67 15] ; [9 5],[64.91666667 17.08333333] ; [11.08333333  2.91666667],0
a2,1,0.149092,2.081513,[20 62] ; [ 1 13],[17.9375 64.0625] ; [ 3.0625 10.9375],0
p6,1,0.184825,1.758395,[48 32] ; [11  3],[50.21276596 29.78723404] ; [8.78723404 5.21276596],0
v3,1,0.225124,1.471404,[47 31] ; [6 8],[44.93478261 33.06521739] ; [8.06521739 5.93478261],0
u3,1,0.250829,1.318681,[9 4] ; [3 4],[7.8 5.2] ; [4.2 2.8],0
n4,1,0.274399,1.194624,[73  9] ; [11  3],[71.75 10.25] ; [12.25  1.75],0
r3,1,0.290718,1.116291,[75  5] ; [12  2],[74.04255319  5.95744681] ; [12.95744681  1.04255319],0
p7,1,0.343607,0.896926,[65 14] ; [10  4],[63.70967742 15.29032258] ; [11.29032258  2.70967742],0
s3,1,0.348072,0.880473,[48 32] ; [6 7],[46.4516129 33.5483871] ; [7.5483871 5.4516129],0
v2,1,0.365447,0.819088,[49 29] ; [7 7],[47.47826087 30.52173913] ; [8.52173913 5.47826087],0
n2,1,0.396144,0.72,[13  2] ; [2 1],[12.5  2.5] ; [2.5 0.5],0
b5,1,0.410965,0.676007,[39 43] ; [5 9],[37.58333333 44.41666667] ; [6.41666667 7.58333333],0
a7,1,0.431693,0.618264,[61 21] ; [9 5],[59.79166667 22.20833333] ; [10.20833333  3.79166667],0
a1,1,0.448991,0.573198,[12 70] ; [ 1 13],[11.10416667 70.89583333] ; [ 1.89583333 12.10416667],0
a8,1,0.489144,0.47841,[11 63] ; [ 1 12],[10.20689655 63.79310345] ; [ 1.79310345 11.20689655],0
n1,1,0.527089,0.4,[7 8] ; [2 1],[7.5 7.5] ; [1.5 1.5],0
b1,1,0.567033,0.327671,[36 46] ; [5 9],[35.02083333 46.97916667] ; [5.97916667 8.02083333],0
n5,1,0.58334,0.300866,[72 10] ; [13  1],[72.60416667  9.39583333] ; [12.39583333  1.60416667],0
r4,1,0.58334,0.300866,[72 10] ; [13  1],[72.60416667  9.39583333] ; [12.39583333  1.60416667],0
p3,1,0.585965,0.296689,[64 18] ; [10  4],[63.20833333 18.79166667] ; [10.79166667  3.20833333],0
u2,1,0.588792,0.292235,[9 4] ; [4 3],[8.45 4.55] ; [4.55 2.45],0
s7,1,0.602763,0.270848,[53 24] ; [8 5],[52.18888889 24.81111111] ; [8.81111111 4.18888889],0
b2,1,0.61862,0.247811,[28 32] ; [5 4],[28.69565217 31.30434783] ; [4.30434783 4.69565217],0
b3,1,0.61862,0.247811,[28 32] ; [5 4],[28.69565217 31.30434783] ; [4.30434783 4.69565217],0
b4,1,0.685626,0.163862,[48 34] ; [9 5],[48.6875 33.3125] ; [8.3125 5.6875],0
s6,1,0.69312,0.155728,[62 14] ; [10  3],[61.48314607 14.51685393] ; [10.51685393  2.48314607],0
s5,1,0.743475,0.107096,[49 25] ; [8 5],[48.48275862 25.51724138] ; [8.51724138 4.48275862],0
r2,1,0.747065,0.104014,[73  8] ; [13  1],[73.32631579  7.67368421] ; [12.67368421  1.32631579],0
p11,1,0.756537,0.096119,[74  8] ; [13  1],[74.3125  7.6875] ; [12.6875  1.3125],0
r1,1,0.797519,0.065823,[66 15] ; [11  3],[65.65263158 15.34736842] ; [11.34736842  2.65263158],0
p4,1,0.826963,0.047785,[72 10] ; [12  2],[71.75 10.25] ; [12.25  1.75],0
p8,1,0.867899,0.027665,[66 16] ; [11  3],[65.77083333 16.22916667] ; [11.22916667  2.77083333],0
a6,1,0.909112,0.013032,[54 28] ; [9 5],[53.8125 28.1875] ; [9.1875 4.8125],0
s4,1,0.971308,0.001294,[11 68] ; [ 2 12],[11.04301075 67.95698925] ; [ 1.95698925 12.04301075],0
n6,1,0.981514,0.000537,[76  6] ; [13  1],[76.02083333  5.97916667] ; [12.97916667  1.02083333],0
p12,1,0.989221,0.000183,[23 58] ; [ 4 10],[23.02105263 57.97894737] ; [ 3.97894737 10.02105263],0
