Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,32.58427,[78  9] ; [11 18],[66.75 20.25] ; [22.25  6.75],1
r1,1,8e-06,19.908083,[65 23] ; [ 8 21],[54.90598291 33.09401709] ; [18.09401709 10.90598291],1
r2,1,1.4e-05,18.892475,[81  7] ; [16 12],[73.5862069 14.4137931] ; [23.4137931  4.5862069],1
p11,1,4.5e-05,16.639883,[51 38] ; [ 4 25],[41.48305085 47.51694915] ; [13.51694915 15.48305085],1
s2,1,0.000141,14.48994,[41 48] ; [ 2 27],[32.43220339 56.56779661] ; [10.56779661 18.43220339],1
d4,1,0.000452,12.30303,[73 14] ; [15 14],[66. 21.] ; [22.  7.],1
a1,1,0.000488,12.161855,[ 3 86] ; [ 7 22],[ 7.54237288 81.45762712] ; [ 2.45762712 26.54237288],1
v2,1,0.000762,11.331684,[38 44] ; [ 3 25],[30.56363636 51.43636364] ; [10.43636364 17.56363636],1
s6,1,0.000835,11.162343,[43 45] ; [ 4 25],[35.35042735 52.64957265] ; [11.64957265 17.35042735],1
p9,1,0.001629,9.926429,[58 30] ; [ 9 19],[50.82758621 37.17241379] ; [16.17241379 11.82758621],0
s3,1,0.001673,9.877544,[52 36] ; [ 7 21],[44.75862069 43.24137931] ; [14.24137931 13.75862069],0
u3,1,0.001688,9.861567,[21  7] ; [ 3 10],[16.3902439 11.6097561] ; [7.6097561 5.3902439],0
p4,1,0.002437,9.187215,[32 56] ; [ 2 27],[25.57264957 62.42735043] ; [ 8.42735043 20.57264957],0
p10,1,0.003088,8.754943,[47 41] ; [ 6 22],[40.20689655 47.79310345] ; [12.79310345 15.20689655],0
s8,1,0.004123,8.228717,[26 63] ; [ 1 28],[20.36440678 68.63559322] ; [ 6.63559322 22.36440678],0
p2,1,0.006036,7.539403,[56 32] ; [10 19],[49.64102564 38.35897436] ; [16.35897436 12.64102564],0
b5,1,0.007385,7.176932,[56 33] ; [10 19],[49.77966102 39.22033898] ; [16.22033898 12.77966102],0
d3,1,0.012557,6.23048,[56 31] ; [11 18],[50.25 36.75] ; [16.75 12.25],0
u2,1,0.014615,5.962243,[21  6] ; [5 8],[17.55  9.45] ; [8.45 4.55],0
n3,1,0.021252,5.306045,[28 10] ; [6 9],[24.37735849 13.62264151] ; [9.62264151 5.37735849],0
a7,1,0.02352,5.129694,[58 31] ; [12 17],[52.79661017 36.20338983] ; [17.20338983 11.79661017],0
n2,1,0.02565,4.979464,[29 11] ; [6 9],[25.45454545 14.54545455] ; [9.54545455 5.45454545],0
s7,1,0.026389,4.930355,[28 54] ; [ 3 23],[23.53703704 58.46296296] ; [ 7.46296296 18.53703704],0
d5,1,0.036202,4.38757,[64 24] ; [15 14],[59.41880342 28.58119658] ; [19.58119658  9.41880342],0
b2,1,0.037162,4.342978,[13 39] ; [8 7],[16.29850746 35.70149254] ; [ 4.70149254 10.29850746],0
b3,1,0.037162,4.342978,[13 39] ; [8 7],[16.29850746 35.70149254] ; [ 4.70149254 10.29850746],0
d1,1,0.050354,3.829628,[43 46] ; [ 8 21],[38.46610169 50.53389831] ; [12.53389831 16.46610169],0
p6,1,0.059701,3.54566,[15 71] ; [ 1 28],[11.96521739 74.03478261] ; [ 4.03478261 24.96521739],0
b1,1,0.066785,3.360325,[44 45] ; [20  9],[48.27118644 40.72881356] ; [15.72881356 13.27118644],0
a5,1,0.067308,3.347481,[57 32] ; [13 16],[52.79661017 36.20338983] ; [17.20338983 11.79661017],0
p7,1,0.081964,3.025522,[33 53] ; [ 6 23],[29.16521739 56.83478261] ; [ 9.83478261 19.16521739],0
n5,1,0.084594,2.974359,[35 52] ; [17 12],[39. 48.] ; [13. 16.],0
