Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6.2e-05,16.048301,[27 11] ; [ 7 24],[18.72463768 19.27536232] ; [15.27536232 15.72463768],1
a7,1,0.018622,5.536682,[11 26] ; [18 13],[15.77941176 21.22058824] ; [13.22058824 17.77941176],0
v2,1,0.035939,4.4,[16 20] ; [ 6 24],[12. 24.] ; [10. 20.],0
p2,1,0.066679,3.362945,[21 17] ; [23  7],[24.58823529 13.41176471] ; [19.41176471 10.58823529],0
u2,1,0.131269,2.277433,[ 8 14] ; [13  9],[10.5 11.5] ; [10.5 11.5],0
n1,1,0.146676,2.106481,[ 7 13] ; [ 2 13],[ 5.14285714 14.85714286] ; [ 3.85714286 11.14285714],0
n2,1,0.163187,1.944444,[14  6] ; [7 8],[12.  8.] ; [9. 6.],0
d2,1,0.18789,1.734089,[11 26] ; [ 5 26],[ 8.70588235 28.29411765] ; [ 7.29411765 23.70588235],0
d4,1,0.189359,1.722596,[18 19] ; [20 11],[20.67647059 16.32352941] ; [17.32352941 13.67647059],0
p8,1,0.231046,1.434408,[10 28] ; [12 18],[12.29411765 25.70588235] ; [ 9.70588235 20.29411765],0
s3,1,0.266579,1.234268,[12 26] ; [13 16],[14.17910448 23.82089552] ; [10.82089552 18.17910448],0
r3,1,0.274285,1.19519,[19 18] ; [20 11],[21.22058824 15.77941176] ; [17.77941176 13.22058824],0
v3,1,0.281131,1.161615,[ 9 29] ; [ 4 26],[ 7.26470588 30.73529412] ; [ 5.73529412 24.26470588],0
p3,1,0.303398,1.059198,[ 6 32] ; [ 8 23],[ 7.71014493 30.28985507] ; [ 6.28985507 24.71014493],0
s4,1,0.307516,1.041313,[10 28] ; [ 5 26],[ 8.26086957 29.73913043] ; [ 6.73913043 24.26086957],0
p4,1,0.322089,0.980444,[ 8 29] ; [10 21],[ 9.79411765 27.20588235] ; [ 8.20588235 22.79411765],0
s6,1,0.327856,0.957348,[14 24] ; [ 8 23],[12.11594203 25.88405797] ; [ 9.88405797 21.11594203],0
v4,1,0.332928,0.937476,[23 14] ; [22  8],[24.85074627 12.14925373] ; [20.14925373  9.85074627],0
n3,1,0.379581,0.772059,[ 9 11] ; [9 6],[10.28571429  9.71428571] ; [7.71428571 7.28571429],0
a1,1,0.409076,0.681484,[ 3 35] ; [ 1 30],[ 2.20289855 35.79710145] ; [ 1.79710145 29.20289855],0
a3,1,0.416966,0.658852,[15 23] ; [ 9 21],[13.41176471 24.58823529] ; [10.58823529 19.41176471],0
p5,1,0.421091,0.647269,[ 1 37] ; [ 2 28],[ 1.67647059 36.32352941] ; [ 1.32352941 28.67647059],0
p9,1,0.465112,0.533566,[17 20] ; [17 14],[18.5 18.5] ; [15.5 15.5],0
s5,1,0.47602,0.507968,[ 5 32] ; [ 6 24],[ 6.07462687 30.92537313] ; [ 4.92537313 25.07462687],0
v1,1,0.5283,0.397661,[10 28] ; [10 20],[11.17647059 26.82352941] ; [ 8.82352941 21.17647059],0
p6,1,0.539394,0.376664,[ 7 30] ; [ 4 26],[ 6.07462687 30.92537313] ; [ 4.92537313 25.07462687],0
p7,1,0.566498,0.328578,[14 23] ; [13 16],[15.13636364 21.86363636] ; [11.86363636 17.13636364],0
n6,1,0.569519,0.323487,[21 17] ; [15 16],[19.82608696 18.17391304] ; [16.17391304 14.82608696],0
p1,1,0.577415,0.310432,[ 4 34] ; [ 2 28],[ 3.35294118 34.64705882] ; [ 2.64705882 27.35294118],0
a4,1,0.653298,0.201768,[ 5 33] ; [ 3 28],[ 4.4057971 33.5942029] ; [ 3.5942029 27.4057971],0
r2,1,0.683623,0.166076,[21 15] ; [16 14],[20.18181818 15.81818182] ; [16.81818182 13.18181818],0
b4,1,0.698941,0.149576,[25 13] ; [19 12],[24.23188406 13.76811594] ; [19.76811594 11.23188406],0
a6,1,0.698941,0.149576,[13 25] ; [12 19],[13.76811594 24.23188406] ; [11.23188406 19.76811594],0
r1,1,0.720223,0.128279,[10 28] ; [ 7 24],[ 9.36231884 28.63768116] ; [ 7.63768116 23.36231884],0
s1,1,0.793775,0.068336,[ 3 35] ; [ 3 28],[ 3.30434783 34.69565217] ; [ 2.69565217 28.30434783],0
d5,1,0.79894,0.064882,[16 22] ; [14 17],[16.52173913 21.47826087] ; [13.47826087 17.52173913],0
p10,1,0.804125,0.06151,[18 19] ; [15 14],[18.5 18.5] ; [14.5 14.5],0
s7,1,0.816855,0.053635,[ 9 27] ; [ 7 24],[ 8.59701493 27.40298507] ; [ 7.40298507 23.59701493],0
b5,1,0.854898,0.033443,[20 18] ; [17 14],[20.37681159 17.62318841] ; [16.62318841 14.37681159],0
d3,1,0.907329,0.013551,[15 22] ; [13 18],[15.23529412 21.76470588] ; [12.76470588 18.23529412],0
d1,1,0.913961,0.011673,[ 9 29] ; [ 7 24],[ 8.8115942 29.1884058] ; [ 7.1884058 23.8115942],0
b3,1,0.914958,0.011404,[ 6 14] ; [ 6 13],[ 6.15384615 13.84615385] ; [ 5.84615385 13.15384615],0
b2,1,0.914958,0.011404,[ 6 14] ; [ 6 13],[ 6.15384615 13.84615385] ; [ 5.84615385 13.15384615],0
u3,1,0.920183,0.010041,[ 7 16] ; [ 7 15],[ 7.15555556 15.84444444] ; [ 6.84444444 15.15555556],0
b1,1,0.932849,0.0071,[18 20] ; [15 16],[18.17391304 19.82608696] ; [14.82608696 16.17391304],0
p11,1,0.932849,0.0071,[18 20] ; [15 16],[18.17391304 19.82608696] ; [14.82608696 16.17391304],0
s8,1,0.969427,0.001469,[ 6 32] ; [ 5 26],[ 6.05797101 31.94202899] ; [ 4.94202899 26.05797101],0
s2,1,0.993832,6e-05,[11 27] ; [ 9 22],[11.01449275 26.98550725] ; [ 8.98550725 22.01449275],0
