Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,77.528021,[64 32] ; [ 18 130],[32.26229508 63.73770492] ; [49.73770492 98.26229508],1
s6,1,3.8e-05,16.988594,[67 26] ; [66 81],[51.5375 41.4625] ; [81.4625 65.5375],1
s5,1,0.001216,10.466301,[33 61] ; [ 25 123],[22.52892562 71.47107438] ; [ 35.47107438 112.52892562],0
s7,1,0.008013,7.030644,[32 60] ; [ 27 113],[23.39655172 68.60344828] ; [ 35.60344828 104.39655172],0
s1,1,0.031433,4.629144,[ 6 87] ; [  2 146],[ 3.08713693 89.91286307] ; [  4.91286307 143.08713693],0
a6,1,0.033694,4.510188,[58 38] ; [110  40],[65.56097561 30.43902439] ; [102.43902439  47.56097561],0
s4,1,0.034576,4.465982,[18 77] ; [ 14 133],[12.56198347 82.43801653] ; [ 19.43801653 127.56198347],0
r3,1,0.042711,4.106804,[92  3] ; [133  15],[87.96296296  7.03703704] ; [137.03703704  10.96296296],0
p12,1,0.082588,3.013222,[ 9 85] ; [  6 142],[ 5.82644628 88.17355372] ; [  9.17355372 138.82644628],0
p9,1,0.113748,2.501365,[71 23] ; [124  24],[75.74380165 18.25619835] ; [119.25619835  28.74380165],0
p2,1,0.139624,2.1821,[76 19] ; [128  19],[80.08264463 14.91735537] ; [123.91735537  23.08264463],0
p8,1,0.151886,2.053202,[41 53] ; [77 68],[46.41004184 47.58995816] ; [71.58995816 73.41004184],0
v4,1,0.176847,1.823925,[91  4] ; [136  13],[88.38114754  6.61885246] ; [138.61885246  10.38114754],0
d5,1,0.214981,1.537559,[71 25] ; [121  29],[74.92682927 21.07317073] ; [117.07317073  32.92682927],0
p3,1,0.220682,1.499929,[41 53] ; [76 71],[45.63485477 48.36514523] ; [71.36514523 75.63485477],0
n3,1,0.226352,1.463641,[15  8] ; [24  6],[16.9245283  6.0754717] ; [22.0754717  7.9245283],0
p10,1,0.257044,1.284609,[69 24] ; [119  29],[72.54771784 20.45228216] ; [115.45228216  32.54771784],0
a1,1,0.280273,1.165764,[ 6 90] ; [  5 145],[ 4.29268293 91.70731707] ; [  6.70731707 143.29268293],0
