Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,77.231427,[ 76 191] ; [103  36],[117.71674877 149.28325123] ; [61.28325123 77.71674877],1
p7,1,0.0,30.145196,[109 154] ; [97 41],[135.10723192 127.89276808] ; [70.89276808 67.10723192],1
p8,1,0.0,29.598718,[ 86 180] ; [84 55],[111.65432099 154.34567901] ; [58.34567901 80.65432099],1
p6,1,2.9e-05,17.456496,[ 41 224] ; [46 91],[ 57.35074627 207.64925373] ; [ 29.64925373 107.35074627],1
p5,1,0.000473,12.220614,[ 10 259] ; [ 18 121],[ 18.46078431 250.53921569] ; [  9.53921569 129.46078431],1
n4,1,0.00082,11.195758,[161 109] ; [106  33],[176.2591687  93.7408313] ; [90.7408313 48.2591687],1
v1,1,0.003255,8.658609,[100 166] ; [72 64],[113.81094527 152.18905473] ; [58.18905473 77.81094527],0
r4,1,0.004493,8.073163,[204  68] ; [121  18],[215.08515815  56.91484185] ; [109.91484185  29.08515815],0
p1,1,0.005218,7.802282,[ 14 256] ; [ 18 120],[ 21.17647059 248.82352941] ; [ 10.82352941 127.17647059],0
a5,1,0.006246,7.47789,[154 118] ; [98 41],[166.77372263 105.22627737] ; [85.22627737 53.77372263],0
u1,1,0.007288,7.20058,[ 20 252] ; [ 22 117],[ 27.79562044 244.20437956] ; [ 14.20437956 124.79562044],0
n6,1,0.012937,6.177749,[195  75] ; [115  23],[205.14705882  64.85294118] ; [104.85294118  33.14705882],0
p10,1,0.014593,5.964938,[170  95] ; [105  33],[180.83126551  84.16873449] ; [94.16873449 43.83126551],0
s5,1,0.018604,5.538331,[ 43 222] ; [35 99],[ 51.80451128 213.19548872] ; [ 26.19548872 107.80451128],0
v2,1,0.027984,4.829024,[110 143] ; [75 61],[120.32133676 132.67866324] ; [64.67866324 71.32133676],0
p11,1,0.03355,4.517472,[184  88] ; [108  31],[193.24574209  78.75425791] ; [98.75425791 40.24574209],0
n3,1,0.034123,4.48855,[62 30] ; [19  2],[65.94690265 26.05309735] ; [15.05309735  5.94690265],0
p2,1,0.035981,4.398015,[189  81] ; [110  28],[197.86764706  72.13235294] ; [101.13235294  36.86764706],0
a7,1,0.050711,3.817799,[180  89] ; [106  33],[188.56372549  80.43627451] ; [97.43627451 41.56372549],0
b1,1,0.053397,3.731441,[ 91 181] ; [60 79],[ 99.93187348 172.06812652] ; [51.06812652 87.93187348],0
v4,1,0.064172,3.426143,[233  36] ; [128  10],[238.5970516  30.4029484] ; [122.4029484  15.5970516],0
n2,1,0.080135,3.06216,[61 31] ; [18  3],[64.31858407 27.68141593] ; [14.68141593  6.31858407],0
s6,1,0.091864,2.84141,[107 160] ; [66 69],[114.90298507 152.09701493] ; [58.09701493 76.90298507],0
r1,1,0.092594,2.82868,[179  91] ; [102  35],[186.41277641  83.58722359] ; [94.58722359 42.41277641],0
a4,1,0.102091,2.672576,[ 92 177] ; [59 80],[ 99.55637255 169.44362745] ; [51.44362745 87.55637255],0
r2,1,0.115733,2.474142,[233  33] ; [127  10],[237.617866  28.382134] ; [122.382134  14.617866],0
d5,1,0.121574,2.396928,[189  82] ; [107  32],[195.64878049  75.35121951] ; [100.35121951  38.64878049],0
n5,1,0.133067,2.256357,[171  98] ; [98 40],[177.79115479  91.20884521] ; [91.20884521 46.79115479],0
a6,1,0.139454,2.183974,[176  96] ; [100  39],[182.65693431  89.34306569] ; [93.34306569 45.65693431],0
u3,1,0.14429,2.131599,[50 65] ; [31 25],[54.47368421 60.52631579] ; [26.52631579 29.47368421],0
p9,1,0.162277,1.952874,[186  78] ; [107  32],[191.94044665  72.05955335] ; [101.05955335  37.94044665],0
r3,1,0.165163,1.926309,[233  36] ; [126  12],[237.27518428  31.72481572] ; [121.72481572  16.27518428],0
a2,1,0.183947,1.765443,[ 39 233] ; [ 27 112],[ 43.67883212 228.32116788] ; [ 22.32116788 116.67883212],0
v3,1,0.208961,1.578611,[ 67 192] ; [43 92],[ 72.30964467 186.69035533] ; [37.69035533 97.30964467],0
b5,1,0.292775,1.106815,[173  99] ; [81 58],[168.0973236 103.9026764] ; [85.9026764 53.0973236],0
b2,1,0.312716,1.01917,[44 91] ; [20 57],[40.75471698 94.24528302] ; [23.24528302 53.75471698],0
b3,1,0.312716,1.01917,[44 91] ; [20 57],[40.75471698 94.24528302] ; [23.24528302 53.75471698],0
