Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.447339,[ 8 25] ; [90 25],[21.85135135 11.14864865] ; [76.14864865 38.85135135],1
r3,1,0.0,28.398414,[14 19] ; [99 15],[25.36734694  7.63265306] ; [87.63265306 26.36734694],1
n6,1,9e-06,19.786597,[ 8 24] ; [79 36],[18.93877551 13.06122449] ; [68.06122449 46.93877551],1
p2,1,4.4e-05,16.692503,[ 8 25] ; [74 41],[18.28378378 14.71621622] ; [63.71621622 51.28378378],1
r2,1,0.001088,10.671483,[19 12] ; [100  15],[25.26712329  5.73287671] ; [93.73287671 21.26712329],0
r1,1,0.00125,10.415415,[12 21] ; [77 37],[19.97959184 13.02040816] ; [69.02040816 44.97959184],0
u3,1,0.003903,8.328514,[ 1 13] ; [25 25],[5.6875 8.3125] ; [20.3125 29.6875],0
u2,1,0.004024,8.27305,[ 1 13] ; [24 24],[5.64516129 8.35483871] ; [19.35483871 28.64516129],0
p7,1,0.005041,7.864555,[ 6 27] ; [52 63],[12.93243243 20.06756757] ; [45.06756757 69.93243243],0
a1,1,0.016169,5.784422,[ 6 27] ; [  6 109],[ 2.67567568 30.32432432] ; [  9.32432432 105.67567568],0
n3,1,0.040746,4.186536,[ 8 10] ; [33 13],[11.53125  6.46875] ; [29.46875 16.53125],0
n2,1,0.040939,4.178538,[ 7 11] ; [32 16],[10.63636364  7.36363636] ; [28.36363636 19.63636364],0
p8,1,0.055704,3.660901,[ 4 28] ; [33 80],[ 8.16551724 23.83448276] ; [28.83448276 84.16551724],0
p3,1,0.060623,3.520267,[ 4 29] ; [32 82],[ 8.08163265 24.91836735] ; [27.91836735 86.08163265],0
b5,1,0.066082,3.377746,[16 17] ; [76 39],[20.51351351 12.48648649] ; [71.48648649 43.51351351],0
p11,1,0.06835,3.322202,[11 22] ; [59 56],[15.60810811 17.39189189] ; [54.39189189 60.60810811],0
s8,1,0.079514,3.074808,[ 1 32] ; [16 97],[ 3.84246575 29.15753425] ; [13.15753425 99.84246575],0
v3,1,0.088999,2.892391,[ 4 28] ; [30 81],[ 7.60839161 24.39160839] ; [26.39160839 84.60839161],0
v1,1,0.094202,2.80106,[ 6 26] ; [39 75],[ 9.8630137 22.1369863] ; [35.1369863 78.8630137],0
p6,1,0.098682,2.726723,[ 3 29] ; [25 86],[ 6.26573427 25.73426573] ; [21.73426573 89.26573427],0
d3,1,0.10716,2.595608,[14 19] ; [67 48],[18.06081081 14.93918919] ; [62.93918919 52.06081081],0
s6,1,0.126787,2.331408,[ 6 27] ; [36 77],[ 9.49315068 23.50684932] ; [32.50684932 80.49315068],0
