Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.755556,[ 2 13] ; [62 19],[10.  5.] ; [54. 27.],1
p11,1,0.18398,1.765178,[8 7] ; [58 24],[10.20618557  4.79381443] ; [55.79381443 26.20618557],0
p8,1,0.571063,0.320907,[ 4 11] ; [28 54],[ 4.94845361 10.05154639] ; [27.05154639 54.94845361],0
b1,1,0.842932,0.039261,[7 8] ; [36 46],[6.64948454 8.35051546] ; [36.35051546 45.64948454],0
