Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.171485,[72 26] ; [333  28],[86.47058824 11.52941176] ; [318.52941176  42.47058824],1
v4,1,2e-06,22.270447,[81 15] ; [349  11],[90.52631579  5.47368421] ; [339.47368421  20.52631579],1
n4,1,3e-06,22.016439,[49 49] ; [268  91],[67.97811816 30.02188184] ; [249.02188184 109.97811816],1
p10,1,8e-06,20.038653,[51 44] ; [273  82],[68.4 26.6] ; [255.6  99.4],1
p11,1,1.7e-05,18.45077,[53 45] ; [275  86],[70.03050109 27.96949891] ; [257.96949891 103.03050109],1
n5,1,4.3e-05,16.72541,[50 47] ; [263  96],[66.58114035 30.41885965] ; [246.41885965 112.58114035],1
r3,1,7e-05,15.807279,[81 16] ; [343  17],[89.99562363  7.00437637] ; [334.00437637  25.99562363],1
s6,1,7.2e-05,15.767504,[41 56] ; [228 125],[57.98444444 39.01555556] ; [211.01555556 141.98444444],1
p2,1,0.000157,14.285404,[58 39] ; [283  77],[72.3785558 24.6214442] ; [268.6214442  91.3785558],1
p9,1,0.00066,11.597742,[60 35] ; [282  71],[72.52232143 22.47767857] ; [269.47767857  83.52232143],1
s5,1,0.00316,8.712424,[14 79] ; [106 243],[25.24886878 67.75113122] ; [ 94.75113122 254.24886878],0
a5,1,0.005847,7.596774,[53 45] ; [249 112],[64.47930283 33.52069717] ; [237.52069717 123.47930283],0
p7,1,0.006572,7.38641,[32 59] ; [178 170],[43.53075171 47.46924829] ; [166.46924829 181.53075171],0
s8,1,0.010463,6.554265,[23 75] ; [134 225],[33.66739606 64.33260394] ; [123.33260394 235.66739606],0
p6,1,0.032363,4.579157,[15 79] ; [ 95 262],[22.92682927 71.07317073] ; [ 87.07317073 269.92682927],0
s7,1,0.034547,4.467408,[28 65] ; [148 203],[36.86486486 56.13513514] ; [139.13513514 211.86486486],0
u2,1,0.035408,4.425375,[25 13] ; [54 63],[19.36774194 18.63225806] ; [59.63225806 57.36774194],0
d1,1,0.047955,3.91158,[43 55] ; [199 162],[51.66884532 46.33115468] ; [190.33115468 170.66884532],0
p8,1,0.055578,3.664652,[27 68] ; [138 215],[34.98883929 60.01116071] ; [130.01116071 222.98883929],0
s1,1,0.057697,3.602373,[ 7 87] ; [ 11 342],[ 3.7852349 90.2147651] ; [ 14.2147651 338.7852349],0
v2,1,0.062656,3.465648,[36 54] ; [175 168],[43.85681293 46.14318707] ; [167.14318707 175.85681293],0
a1,1,0.063958,3.431667,[ 7 91] ; [ 11 350],[ 3.84313725 94.15686275] ; [ 14.15686275 346.84313725],0
d4,1,0.07493,3.171577,[69 27] ; [289  71],[75.36842105 20.63157895] ; [282.63157895  77.36842105],0
b1,1,0.076406,3.139748,[40 58] ; [113 248],[32.66666667 65.33333333] ; [120.33333333 240.66666667],0
s2,1,0.078687,3.091813,[37 60] ; [172 185],[44.65418502 52.34581498] ; [164.34581498 192.65418502],0
v1,1,0.091089,2.855017,[36 60] ; [167 187],[43.30666667 52.69333333] ; [159.69333333 194.30666667],0
v3,1,0.100548,2.696837,[23 67] ; [121 228],[29.52164009 60.47835991] ; [114.47835991 234.52164009],0
a2,1,0.108382,2.577657,[14 84] ; [ 78 283],[19.64270153 78.35729847] ; [ 72.35729847 288.64270153],0
a4,1,0.138053,2.199524,[34 64] ; [154 204],[40.40350877 57.59649123] ; [147.59649123 210.40350877],0
u1,1,0.149803,2.074256,[ 8 90] ; [ 49 312],[12.16993464 85.83006536] ; [ 44.83006536 316.16993464],0
d2,1,0.162416,1.951588,[37 60] ; [165 193],[43.06373626 53.93626374] ; [158.93626374 199.06373626],0
r1,1,0.166305,1.915943,[72 26] ; [287  72],[76.98468271 21.01531729] ; [282.01531729  76.98468271],0
u3,1,0.188198,1.731669,[24 13] ; [62 56],[20.52903226 16.47096774] ; [65.47096774 52.52903226],0
s4,1,0.194583,1.682576,[12 86] ; [ 63 292],[16.22516556 81.77483444] ; [ 58.77483444 296.22516556],0
a7,1,0.207075,1.59176,[64 34] ; [258 101],[69.05032823 28.94967177] ; [252.94967177 106.05032823],0
p4,1,0.249367,1.326845,[30 67] ; [133 224],[34.82599119 62.17400881] ; [128.17400881 228.82599119],0
a3,1,0.251683,1.313938,[60 38] ; [242 117],[64.76148796 33.23851204] ; [237.23851204 121.76148796],0
p12,1,0.254959,1.295925,[ 2 93] ; [ 17 342],[ 3.97577093 91.02422907] ; [ 15.02422907 343.97577093],0
n3,1,0.370606,0.801632,[25 15] ; [71 30],[27.23404255 12.76595745] ; [68.76595745 32.23404255],0
b2,1,0.391878,0.733108,[15 36] ; [ 73 131],[17.6 33.4] ; [ 70.4 133.6],0
b3,1,0.391878,0.733108,[15 36] ; [ 73 131],[17.6 33.4] ; [ 70.4 133.6],0
d3,1,0.433271,0.61404,[61 35] ; [244 116],[64.21052632 31.78947368] ; [240.78947368 119.21052632],0
a8,1,0.454153,0.560265,[10 82] ; [ 46 286],[12.1509434 79.8490566] ; [ 43.8490566 288.1509434],0
b5,1,0.503472,0.447611,[58 40] ; [227 134],[60.8496732 37.1503268] ; [224.1503268 136.8496732],0
u4,1,0.537699,0.379822,[ 1 97] ; [  7 354],[ 1.708061 96.291939] ; [  6.291939 354.708061],0
n1,1,0.592564,0.286358,[17 23] ; [38 63],[15.60283688 24.39716312] ; [39.39716312 61.60283688],0
a6,1,0.594444,0.283458,[67 30] ; [239 122],[64.80786026 32.19213974] ; [241.19213974 119.80786026],0
n2,1,0.612151,0.257055,[30 12] ; [77 25],[31.20833333 10.79166667] ; [75.79166667 26.20833333],0
s3,1,0.682683,0.167121,[49 47] ; [189 165],[50.77333333 45.22666667] ; [187.22666667 166.77333333],0
p5,1,0.73103,0.118168,[ 4 92] ; [ 18 341],[ 4.64175824 91.35824176] ; [ 17.35824176 341.64175824],0
d5,1,0.891967,0.018446,[74 23] ; [277  83],[74.50109409 22.49890591] ; [276.49890591  83.50109409],0
b4,1,0.922762,0.0094,[57 41] ; [208 153],[56.5795207 41.4204793] ; [208.4204793 152.5795207],0
p1,1,0.95698,0.00291,[ 5 92] ; [ 19 340],[ 5.10526316 91.89473684] ; [ 18.89473684 340.10526316],0
