Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.446981,[ 21 103] ; [10  4],[27.85507246 96.14492754] ; [ 3.14492754 10.85507246],1
r2,1,0.001394,10.213175,[123   3] ; [12  3],[120.63829787   5.36170213] ; [14.36170213  0.63829787],0
p1,1,0.012324,6.263698,[  9 119] ; [ 4 11],[ 11.63636364 116.36363636] ; [ 1.36363636 13.63636364],0
p4,1,0.012932,6.178354,[63 61] ; [12  2],[67.39130435 56.60869565] ; [7.60869565 6.39130435],0
b1,1,0.05393,3.714855,[37 91] ; [8 7],[40.27972028 87.72027972] ; [ 4.72027972 10.27972028],0
p3,1,0.066024,3.379193,[53 74] ; [10  5],[56.34507042 70.65492958] ; [6.65492958 8.34507042],0
s3,1,0.07988,3.067336,[54 70] ; [ 3 12],[50.84892086 73.15107914] ; [6.15107914 8.84892086],0
b4,1,0.086608,2.936308,[88 40] ; [7 8],[85.03496503 42.96503497] ; [9.96503497 5.03496503],0
p10,1,0.126864,2.33047,[94 32] ; [13  1],[96.3 29.7] ; [10.7  3.3],0
b3,1,0.210033,1.571202,[22 48] ; [6 6],[23.90243902 46.09756098] ; [4.09756098 7.90243902],0
b2,1,0.210033,1.571202,[22 48] ; [6 6],[23.90243902 46.09756098] ; [4.09756098 7.90243902],0
v1,1,0.228353,1.451089,[72 54] ; [11  4],[74.17021277 51.82978723] ; [8.82978723 6.17021277],0
d3,1,0.256107,1.289682,[87 41] ; [8 7],[85.03496503 42.96503497] ; [9.96503497 5.03496503],0
p12,1,0.263707,1.249193,[ 13 113] ; [ 3 12],[ 14.29787234 111.70212766] ; [ 1.70212766 13.29787234],0
d2,1,0.334395,0.931803,[59 67] ; [9 6],[60.76595745 65.23404255] ; [7.23404255 7.76595745],0
a5,1,0.399662,0.709343,[89 39] ; [12  3],[90.40559441 37.59440559] ; [10.59440559  4.40559441],0
a2,1,0.407076,0.687323,[29 99] ; [ 2 13],[ 27.74825175 100.25174825] ; [ 3.25174825 11.74825175],0
a6,1,0.412943,0.670313,[90 38] ; [9 6],[88.61538462 39.38461538] ; [10.38461538  4.61538462],0
s4,1,0.426323,0.632819,[ 11 116] ; [ 2 11],[ 11.79285714 115.20714286] ; [ 1.20714286 11.79285714],0
p6,1,0.430223,0.622222,[30 95] ; [ 5 10],[31.25 93.75] ; [ 3.75 11.25],0
p9,1,0.463396,0.53768,[99 27] ; [13  2],[100.08510638  25.91489362] ; [11.91489362  3.08510638],0
p7,1,0.464626,0.534728,[71 54] ; [10  5],[72.32142857 52.67857143] ; [8.67857143 6.32142857],0
u1,1,0.477825,0.503824,[ 17 111] ; [ 3 12],[ 17.9020979 110.0979021] ; [ 2.0979021 12.9020979],0
s6,1,0.516358,0.421162,[60 65] ; [8 6],[61.15107914 63.84892086] ; [6.84892086 7.15107914],0
p8,1,0.51913,0.415621,[64 61] ; [9 6],[65.17857143 59.82142857] ; [7.82142857 7.17857143],0
n6,1,0.519279,0.415325,[102  26] ; [13  2],[102.93706294  25.06293706] ; [12.06293706  2.93706294],0
p2,1,0.52587,0.402365,[102  25] ; [11  4],[101.06338028  25.93661972] ; [11.93661972  3.06338028],0
a8,1,0.629499,0.232741,[ 14 104] ; [ 2 10],[ 14.52307692 103.47692308] ; [ 1.47692308 10.52307692],0
a3,1,0.629737,0.232418,[86 42] ; [11  4],[86.82517483 41.17482517] ; [10.17482517  4.82517483],0
s2,1,0.658367,0.195513,[41 86] ; [ 4 11],[40.24647887 86.75352113] ; [ 4.75352113 10.24647887],0
n4,1,0.658722,0.19508,[95 32] ; [12  3],[95.6971831 31.3028169] ; [11.3028169  3.6971831],0
n2,1,0.665984,0.186335,[21  6] ; [2 1],[20.7  6.3] ; [2.3 0.7],0
a4,1,0.696098,0.152563,[53 75] ; [7 8],[53.70629371 74.29370629] ; [6.29370629 8.70629371],0
v2,1,0.722547,0.126065,[96 28] ; [11  4],[95.45323741 28.54676259] ; [11.54676259  3.45323741],0
d1,1,0.740001,0.110126,[74 54] ; [8 7],[73.3986014 54.6013986] ; [8.6013986 6.3986014],0
s8,1,0.815346,0.054538,[29 99] ; [ 3 12],[28.64335664 99.35664336] ; [ 3.35664336 11.64335664],0
d5,1,0.815346,0.054538,[99 29] ; [12  3],[99.35664336 28.64335664] ; [11.64335664  3.35664336],0
r1,1,0.815346,0.054538,[99 29] ; [12  3],[99.35664336 28.64335664] ; [11.64335664  3.35664336],0
p11,1,0.83474,0.043525,[97 31] ; [11  4],[96.67132867 31.32867133] ; [11.32867133  3.67132867],0
a1,1,0.848526,0.036481,[  7 121] ; [ 1 14],[  7.16083916 120.83916084] ; [ 0.83916084 14.16083916],0
b5,1,0.850125,0.035705,[80 48] ; [9 6],[79.66433566 48.33566434] ; [9.33566434 5.66433566],0
a7,1,0.861169,0.030585,[95 31] ; [11  4],[94.72340426 31.27659574] ; [11.27659574  3.72340426],0
u2,1,0.888662,0.019599,[22 19] ; [2 2],[21.86666667 19.13333333] ; [2.13333333 1.86666667],0
n5,1,0.891206,0.018708,[91 36] ; [11  4],[91.22535211 35.77464789] ; [10.77464789  4.22535211],0
n3,1,0.894349,0.017637,[19  8] ; [2 1],[18.9  8.1] ; [2.1 0.9],0
u3,1,0.962853,0.002169,[21 20] ; [2 2],[20.95555556 20.04444444] ; [2.04444444 1.95555556],0
d4,1,0.976869,0.000841,[102  25] ; [12  3],[101.95774648  25.04225352] ; [12.04225352  2.95774648],0
