Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.001124,10.610913,[13 24] ; [37 16],[20.55555556 16.44444444] ; [29.44444444 23.55555556],0
d3,1,0.00367,8.440499,[16 21] ; [39 14],[22.61111111 14.38888889] ; [32.38888889 20.61111111],0
p10,1,0.00696,7.283373,[25 12] ; [47  5],[29.93258427  7.06741573] ; [42.06741573  9.93258427],0
r2,1,0.012696,6.210947,[26 10] ; [47  4],[30.20689655  5.79310345] ; [42.79310345  8.20689655],0
b5,1,0.03394,4.497705,[20 17] ; [40 13],[24.66666667 12.33333333] ; [35.33333333 17.66666667],0
b1,1,0.037063,4.347523,[20 17] ; [17 36],[15.21111111 21.78888889] ; [21.78888889 31.21111111],0
a4,1,0.037778,4.314971,[16 21] ; [12 41],[11.51111111 25.48888889] ; [16.48888889 36.51111111],0
s6,1,0.048292,3.899796,[31  4] ; [36 15],[27.26744186  7.73255814] ; [39.73255814 11.26744186],0
p9,1,0.060329,3.528324,[28  9] ; [47  5],[31.17977528  5.82022472] ; [43.82022472  8.17977528],0
r4,1,0.075521,3.158749,[19 18] ; [37 16],[23.02222222 13.97777778] ; [32.97777778 20.02222222],0
d4,1,0.094128,2.802314,[26 11] ; [45  8],[29.18888889  7.81111111] ; [41.81111111 11.18888889],0
b4,1,0.112535,2.518262,[19 18] ; [36 17],[22.61111111 14.38888889] ; [32.38888889 20.61111111],0
b3,1,0.116141,2.468608,[ 5 25] ; [10 19],[ 7.62711864 22.37288136] ; [ 7.37288136 21.62711864],0
b2,1,0.116141,2.468608,[ 5 25] ; [10 19],[ 7.62711864 22.37288136] ; [ 7.37288136 21.62711864],0
p4,1,0.16208,1.954713,[25 12] ; [28 25],[21.78888889 15.21111111] ; [31.21111111 21.78888889],0
u2,1,0.17146,1.87013,[5 9] ; [13  9],[7. 7.] ; [11. 11.],0
n1,1,0.173273,1.854396,[6 7] ; [ 3 11],[4.33333333 8.66666667] ; [4.66666667 9.33333333],0
v4,1,0.192159,1.700986,[30  6] ; [48  4],[31.90909091  4.09090909] ; [46.09090909  5.90909091],0
d5,1,0.192905,1.695289,[24 13] ; [41 12],[26.72222222 10.27777778] ; [38.27777778 14.72222222],0
u1,1,0.207805,1.586654,[ 1 36] ; [ 5 48],[ 2.46666667 34.53333333] ; [ 3.53333333 49.46666667],0
p11,1,0.211398,1.561828,[25 12] ; [42 11],[27.54444444  9.45555556] ; [39.45555556 13.54444444],0
a2,1,0.224757,1.473738,[ 2 35] ; [ 7 46],[ 3.7 33.3] ; [ 5.3 47.7],0
p7,1,0.231857,1.429432,[23 13] ; [26 25],[20.27586207 15.72413793] ; [28.72413793 22.27586207],0
s4,1,0.245225,1.350306,[ 9 28] ; [19 34],[11.51111111 25.48888889] ; [16.48888889 36.51111111],0
a8,1,0.249601,1.325536,[ 2 32] ; [ 7 44],[ 3.6 30.4] ; [ 5.4 45.6],0
n6,1,0.250531,1.320339,[27 10] ; [44  9],[29.18888889  7.81111111] ; [41.81111111 11.18888889],0
d1,1,0.250778,1.318963,[15 22] ; [28 25],[17.67777778 19.32222222] ; [25.32222222 27.67777778],0
v2,1,0.309193,1.034118,[19 16] ; [22 29],[16.68604651 18.31395349] ; [24.31395349 26.68604651],0
s5,1,0.320344,0.987539,[14 21] ; [24 23],[16.2195122 18.7804878] ; [21.7804878 25.2195122],0
p12,1,0.323537,0.974593,[ 1 36] ; [ 4 49],[ 2.05555556 34.94444444] ; [ 2.94444444 50.05555556],0
r3,1,0.333769,0.934218,[31  6] ; [48  5],[32.47777778  4.52222222] ; [46.52222222  6.47777778],0
p1,1,0.383874,0.758257,[ 4 33] ; [ 3 49],[ 2.91011236 34.08988764] ; [ 4.08988764 47.91011236],0
p2,1,0.385149,0.754203,[27 10] ; [42 10],[28.68539326  8.31460674] ; [40.31460674 11.68539326],0
d2,1,0.409105,0.681402,[15 22] ; [17 36],[13.15555556 23.84444444] ; [18.84444444 34.15555556],0
v3,1,0.460003,0.545889,[12 24] ; [13 37],[10.46511628 25.53488372] ; [14.53488372 35.46511628],0
v1,1,0.489243,0.478191,[20 16] ; [24 26],[18.41860465 17.58139535] ; [25.58139535 24.41860465],0
a1,1,0.544557,0.36716,[ 5 32] ; [ 5 48],[ 4.11111111 32.88888889] ; [ 5.88888889 47.11111111],0
p8,1,0.552665,0.352564,[15 21] ; [25 27],[16.36363636 19.63636364] ; [23.63636364 28.36363636],0
p5,1,0.576287,0.312277,[ 3 34] ; [ 6 45],[ 3.78409091 33.21590909] ; [ 5.21590909 45.78409091],0
s8,1,0.58649,0.295859,[21 16] ; [27 26],[19.73333333 17.26666667] ; [28.26666667 24.73333333],0
u3,1,0.59256,0.286364,[7 7] ; [13  9],[7.77777778 6.22222222] ; [12.22222222  9.77777778],0
s7,1,0.618422,0.248091,[21 15] ; [27 24],[19.86206897 16.13793103] ; [28.13793103 22.86206897],0
n2,1,0.621705,0.243478,[11  3] ; [12  2],[11.5  2.5] ; [11.5  2.5],0
s1,1,0.711667,0.136618,[ 2 35] ; [ 2 51],[ 1.64444444 35.35555556] ; [ 2.35555556 50.64444444],0
a3,1,0.72646,0.122387,[23 14] ; [31 22],[22.2 14.8] ; [31.8 21.2],0
n5,1,0.737156,0.112642,[25 12] ; [34 19],[24.25555556 12.74444444] ; [34.74444444 18.25555556],0
s3,1,0.789154,0.071508,[27 10] ; [40 13],[27.54444444  9.45555556] ; [39.45555556 13.54444444],0
p3,1,0.830367,0.045895,[19 18] ; [26 27],[18.5 18.5] ; [26.5 26.5],0
n4,1,0.847239,0.037111,[23 14] ; [34 19],[23.43333333 13.56666667] ; [33.56666667 19.43333333],0
a5,1,0.847239,0.037111,[23 14] ; [34 19],[23.43333333 13.56666667] ; [33.56666667 19.43333333],0
p6,1,0.912507,0.012073,[14 22] ; [20 33],[13.75280899 22.24719101] ; [20.24719101 32.75280899],0
n3,1,1.0,0.0,[8 6] ; [8 6],[8. 6.] ; [8. 6.],0
