Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-05,16.10306,[33 13] ; [17 37],[23. 23.] ; [27. 27.],1
d4,1,0.008525,6.919657,[31 15] ; [48  6],[36.34  9.66] ; [42.66 11.34],0
p11,1,0.014305,6.000126,[39  7] ; [34 20],[33.58 12.42] ; [39.42 14.58],0
a8,1,0.014344,5.995319,[ 7 36] ; [ 1 49],[ 3.69892473 39.30107527] ; [ 4.30107527 45.69892473],0
b1,1,0.016053,5.797101,[29 17] ; [21 33],[23. 23.] ; [27. 27.],0
p7,1,0.01786,5.609805,[31 12] ; [25 27],[25.34736842 17.65263158] ; [30.65263158 21.34736842],0
d3,1,0.055299,3.673043,[27 18] ; [42 12],[31.36363636 13.63636364] ; [37.63636364 16.36363636],0
v1,1,0.077095,3.12511,[24 19] ; [20 33],[19.70833333 23.29166667] ; [24.29166667 28.70833333],0
v2,1,0.097229,2.750418,[25 18] ; [20 29],[21.0326087 21.9673913] ; [23.9673913 25.0326087],0
d1,1,0.115418,2.478426,[20 26] ; [32 22],[23.92 22.08] ; [28.08 25.92],0
s4,1,0.131992,2.268922,[ 5 41] ; [12 42],[ 7.82 38.18] ; [ 9.18 44.82],0
p6,1,0.141155,2.165324,[14 30] ; [10 43],[10.88659794 33.11340206] ; [13.11340206 39.88659794],0
s5,1,0.1482,2.090685,[ 8 38] ; [15 35],[11.02083333 34.97916667] ; [11.97916667 38.02083333],0
p4,1,0.164915,1.928565,[26 20] ; [23 31],[22.54 23.46] ; [26.46 27.54],0
p1,1,0.214054,1.543793,[ 2 44] ; [ 6 48],[ 3.68 42.32] ; [ 4.32 49.68],0
u3,1,0.228612,1.449474,[9 6] ; [15  4],[10.58823529  4.41176471] ; [13.41176471  5.58823529],0
r4,1,0.246695,1.341922,[32 14] ; [43 11],[34.5 11.5] ; [40.5 13.5],0
b2,1,0.268925,1.222222,[ 5 20] ; [10 20],[ 6.81818182 18.18181818] ; [ 8.18181818 21.81818182],0
b3,1,0.268925,1.222222,[ 5 20] ; [10 20],[ 6.81818182 18.18181818] ; [ 8.18181818 21.81818182],0
s7,1,0.274838,1.192439,[15 29] ; [23 28],[17.6 26.4] ; [20.4 30.6],0
d5,1,0.357152,0.847883,[33 13] ; [43 11],[34.96 11.04] ; [41.04 12.96],0
b4,1,0.368271,0.809489,[24 22] ; [33 21],[26.22 19.78] ; [30.78 23.22],0
s1,1,0.413962,0.667392,[ 1 43] ; [ 3 51],[ 1.79591837 42.20408163] ; [ 2.20408163 51.79591837],0
p3,1,0.424843,0.63688,[16 30] ; [23 31],[17.94 28.06] ; [21.06 32.94],0
n1,1,0.484118,0.489574,[5 7] ; [ 4 10],[4.15384615 7.84615385] ; [4.84615385 9.15384615],0
r3,1,0.496673,0.462038,[42  4] ; [47  7],[40.94  5.06] ; [48.06  5.94],0
a5,1,0.529795,0.394785,[27 19] ; [35 19],[28.52 17.48] ; [33.48 20.52],0
p5,1,0.556794,0.345286,[ 4 42] ; [ 3 50],[ 3.25252525 42.74747475] ; [ 3.74747475 49.25252525],0
s3,1,0.592965,0.285738,[26 18] ; [29 25],[24.69387755 19.30612245] ; [30.30612245 23.69387755],0
a7,1,0.5993,0.276052,[31 15] ; [39 15],[32.2 13.8] ; [37.8 16.2],0
a3,1,0.643559,0.214118,[31 15] ; [34 20],[29.9 16.1] ; [35.1 18.9],0
r1,1,0.657829,0.196172,[32 14] ; [39 14],[32.98989899 13.01010101] ; [38.01010101 14.98989899],0
b5,1,0.683812,0.165866,[28 18] ; [35 19],[28.98 17.02] ; [34.02 19.98],0
p9,1,0.74816,0.103084,[41  5] ; [47  7],[40.48  5.52] ; [47.52  6.48],0
s6,1,0.751914,0.09993,[27 19] ; [30 24],[26.22 19.78] ; [30.78 23.22],0
p8,1,0.778692,0.078975,[23 23] ; [25 28],[22.3030303 23.6969697] ; [25.6969697 27.3030303],0
n3,1,0.785351,0.074176,[9 4] ; [9 5],[8.66666667 4.33333333] ; [9.33333333 4.66666667],0
a6,1,0.786332,0.073483,[31 15] ; [35 19],[30.36 15.64] ; [35.64 18.36],0
a2,1,0.799165,0.064733,[ 6 40] ; [ 8 46],[ 6.44 39.56] ; [ 7.56 46.44],0
u1,1,0.812916,0.056011,[ 4 42] ; [ 4 50],[ 3.68 42.32] ; [ 4.32 49.68],0
p2,1,0.828015,0.047197,[35 10] ; [41 13],[34.54545455 10.45454545] ; [41.45454545 12.54545455],0
v4,1,0.866062,0.028447,[42  3] ; [49  4],[41.78571429  3.21428571] ; [49.21428571  3.78571429],0
p12,1,0.90872,0.013145,[ 1 45] ; [ 1 53],[ 0.92 45.08] ; [ 1.08 52.92],0
r2,1,0.922129,0.009556,[38  6] ; [47  7],[38.16326531  5.83673469] ; [46.83673469  7.16326531],0
a4,1,0.938777,0.005899,[15 31] ; [18 36],[15.18 30.82] ; [17.82 36.18],0
s8,1,0.954455,0.003262,[19 27] ; [22 32],[18.86 27.14] ; [22.14 31.86],0
d2,1,0.966446,0.00177,[16 30] ; [19 35],[16.1 29.9] ; [18.9 35.1],0
s2,1,0.970652,0.001354,[21 24] ; [25 29],[20.90909091 24.09090909] ; [25.09090909 28.90909091],0
v3,1,0.976652,0.000857,[12 30] ; [15 37],[12.06382979 29.93617021] ; [14.93617021 37.06382979],0
u2,1,1.0,0.0,[12  3] ; [16  4],[12.  3.] ; [16.  4.],0
