Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,43.074281,[108  20] ; [ 9 24],[93.01863354 34.98136646] ; [23.98136646  9.01863354],1
d3,1,4e-06,21.407351,[97 31] ; [11 22],[85.86335404 42.13664596] ; [22.13664596 10.86335404],1
p1,1,0.004179,8.204143,[  5 121] ; [ 6 27],[  8.71698113 117.28301887] ; [ 2.28301887 30.71698113],0
a4,1,0.006364,7.444205,[52 76] ; [ 5 28],[45.31677019 82.68322981] ; [11.68322981 21.31677019],0
a3,1,0.01085,6.489649,[88 39] ; [15 18],[81.75625 45.24375] ; [21.24375 11.75625],0
d2,1,0.013555,6.095198,[53 75] ; [ 6 27],[46.9068323 81.0931677] ; [12.0931677 20.9068323],0
a5,1,0.026015,4.955019,[78 50] ; [13 20],[72.34782609 55.65217391] ; [18.65217391 14.34782609],0
r1,1,0.037711,4.318015,[97 31] ; [19 14],[92.22360248 35.77639752] ; [23.77639752  9.22360248],0
a6,1,0.045409,4.003366,[79 49] ; [14 19],[73.9378882 54.0621118] ; [19.0621118 13.9378882],0
p12,1,0.046626,3.958822,[  1 126] ; [ 2 31],[  2.38125 124.61875] ; [ 0.61875 32.38125],0
a7,1,0.048199,3.90303,[96 32] ; [19 14],[91.42857143 36.57142857] ; [23.57142857  9.42857143],0
v2,1,0.081852,3.027742,[64 60] ; [11 21],[59.61538462 64.38461538] ; [15.38461538 16.61538462],0
p8,1,0.129625,2.296986,[47 80] ; [17 16],[50.8 76.2] ; [13.2 19.8],0
s1,1,0.134016,2.245351,[  4 124] ; [ 3 30],[  5.56521739 122.43478261] ; [ 1.43478261 31.56521739],0
b1,1,0.143434,2.140725,[48 80] ; [17 16],[51.67701863 76.32298137] ; [13.32298137 19.67701863],0
p9,1,0.200605,1.637963,[83 44] ; [17 15],[79.87421384 47.12578616] ; [20.12578616 11.87421384],0
a2,1,0.345646,0.889378,[ 15 113] ; [ 2 31],[ 13.51552795 114.48447205] ; [ 3.48447205 29.51552795],0
b4,1,0.357821,0.845528,[81 47] ; [18 15],[78.70807453 49.29192547] ; [20.29192547 12.70807453],0
b5,1,0.39814,0.713936,[75 53] ; [22 11],[77.11801242 50.88198758] ; [19.88198758 13.11801242],0
p4,1,0.40759,0.685819,[44 83] ; [14 19],[46.0375 80.9625] ; [11.9625 21.0375],0
p2,1,0.410136,0.678407,[91 36] ; [26  7],[92.86875 34.13125] ; [24.13125  8.86875],0
v4,1,0.41344,0.668886,[108  19] ; [29  3],[109.42767296  17.57232704] ; [27.57232704  4.42767296],0
n2,1,0.434682,0.610281,[22 18] ; [10  5],[23.27272727 16.72727273] ; [8.72727273 6.27272727],0
n3,1,0.434917,0.609657,[27 13] ; [11  3],[28.14814815 11.85185185] ; [9.85185185 4.14814815],0
s5,1,0.530942,0.392589,[ 21 102] ; [ 4 28],[ 19.83870968 103.16129032] ; [ 5.16129032 26.83870968],0
n4,1,0.544163,0.367879,[54 74] ; [12 21],[52.47204969 75.52795031] ; [13.52795031 19.47204969],0
s7,1,0.546382,0.363838,[29 93] ; [ 6 26],[27.72727273 94.27272727] ; [ 7.27272727 24.72727273],0
